,BTC,ETH,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0417342097471564,0,0.959565429770019,-0.0307717199963341,0.00932567309977776,0,0.0880632314528228,0.0080975153869506,0,0,0,0,0,0.0799537650576735
ETH,0,0,0.399739313947686,-0.556370581444742,-0.0443860227663864,0,-0.146343693887683,0.133344335283572,0.0424299231884965,-0.118006753826308,0,1.11911499711092,0,0,0.214065332157009
XRP,0,0.0388324127233809,0,0.277621055250454,0.0637045168776893,-0.0146083390203599,0.0219803084308356,0.0195885533729498,-0.0280520873120837,0.054678957034679,0,0,0,0,-0.0660793370727982
LTC,0.676455911084898,0,0.0140605865209777,0,0.0220755180920557,-0.0276321392731539,0.0502767120363803,0,0.0240692853552904,0,0,0,0,0,0
DOGE,0,0.135513886662071,0,0.604076922236287,0,0.0651150662819059,0.388860904713971,0,0.0873305316821371,-0.229143744606212,0,0,0,0,0.0616048615671646
DASH,0.6015047828409,-0.260775091321513,0.268050869942952,0,0,0,-0.269892474565823,-0.289727746938005,-0.0820933129361589,0.0807243016691643,0,-0.191020075055549,-3.90614519930921,-2.87032300514989,-0.271337708414208
XLM,-0.269799217910261,-0.0158896179050039,0.363313351174616,0,0.216013832003702,-0.0103465013022415,0,0.293237217831827,0.154196820026372,0.20707679328362,0,0.483460303762562,0,0,0
XMR,0,0.0437948286034487,0,0,-0.0380711182176522,-0.0709584844719272,0.756527045764413,0,0,0.0375031617866449,0,0,0,0,0.248259819232633
XEM,0,0.0755372685273465,0.351896398943975,0,0,0,0,0,0,0.0805481891110789,0,0,0,0,-0.0575762850800265
DGB,0,0.0749933871862068,0,0,0,0,0.955319453832118,-0.278749379751593,0.146629808021756,0,0,0,0,0,0.254990653299875
BV010082.INDEX,0,-0.0314666724422588,0,0,0.0319066538908724,0,0,-0.0313965563693728,0.00952466652934724,-0.00885300757870567,0,-0.131093269812491,0,0,-0.0631495246446051
CVIX.INDEX,0.180268649623298,0,0.208726069506955,-0.276882185371743,-0.045979013650182,-0.0192581281256261,0.0374387228726194,0.0221122007536789,-0.00972230887912201,0.028957748743771,-0.350042314491214,0,0,0,0.121579564714219
DXY.INDEX,0,0,0,0,-0.00526248695026079,0,0,0,-0.0155854099408149,0,0,0,0,0,-0.0212714193245109
SPX.INDEX,0.0542596846639675,0,0,0,0.00533794606561015,-0.0262504094541171,0,0,-0.0172427554716614,0,0,-0.0247895033243705,0,0,-0.11182145860149
VIX.INDEX,0,-0.0716855644670208,0,-0.295932751538879,0.0855254380312257,0.0304975639831172,0.00000000000000000346944695195361,-0.130191034227653,0,0.123968751117604,0,0,0,-2.9303184624235,0
