,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.142353984190779,0,0,0.00737917054632752,0,0,0.0629261421652357,0.340117152014375,0.123521481686661,0.0430749332174229,0,0,0,0,0,0
XRP,0,0,0.130968357232176,0.0195458372675569,0.132599994305222,0,0.075191924495137,0,0,0,0,0,0.12490816062684,0.0845487516238237,0.102498884638244,0,0,0,0,0.0380496399071418
ETH,0,0,0,0.0989597258812867,0.0504855297022994,0,0.00733665389885282,0,0,0.095931377159214,0,0.390749152351864,0.0951393950638112,0.0865042996436471,0,0,0,0,0,0
BCH,0,0,0,0,0,0.297261070044423,0.202924714873488,0.124176433946234,0,0.523978330724109,0.0766239705737895,-0.346048810002337,0.352743731250853,0,0,0,0,0,0,0
XLM,0,0,0,0.162135907065268,0,0.0386185505644298,0,-0.00763027859798461,0,0,0.0630505911818,0.254157219996487,0.13564478076449,-0.000000000000000000433680868994202,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.217583889990673,0,0,0.0276544614509873,0.411150636235054,0,0,0,0,0,0
LTC,0,0,0,0.0295597318505289,0,0.162038154563805,0,0.019787898806981,0.0341721028638039,0,0.118676505074106,0.192751278758601,0.0331600400605774,0.0981483708245596,0,0,0,0,0,0
BSV,0.870175999942693,-1.61383806970075,0,0.50016563397264,-0.267528827654473,0,-0.0397489643481205,0,0.579193373922074,0,0.36933778308109,0,0.456148026363388,0.304391793493019,-0.486803637979266,0,0,0,0,0
TRX,0,0,0,0,0,0,0,0.0180942183084992,0,0.322281005403807,0.0912157441058082,0.209051306418192,0.182982272016639,0,0.0504893225008356,0,0,0,0,0
ADA,0,0,0,0.120893734707812,0,0.189767120000547,0,0.00529903435008274,0.190353903982746,0,0.149371442278031,0.201353640335695,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0553558262600799,0.348877493185669,0,0.263734707179362,0.0451048410889605,0,-0.00000000000000000173472347597681,0,0,0.0993194116705603,0,0.0716841369183951,0,0,0,0,0
XMR,0.147292658669496,0,0.256330111569228,0.0204432594258638,0.11577705941315,0,0,0.0106174547857008,0.04421760135563,0.235051609627466,0.0530066369504748,0,0.00000000000000000173472347597681,0.0810039346414716,0,0,0,0,0,0
BNB,0,0,0,0,0.00777349098269933,0.150424214009203,0.438677431479143,0.0073651054053206,0.132101863152552,0.212401571668702,-0.03563939122824,0,0,0,0,0,0,0,0,0
DASH,0,0,0.311617304441521,-0.00000000000000000346944695195361,0.0565024275710085,0.25635704410024,0.0624523926065918,0,0,0,0,0.252192750229531,0.0257223561173669,0,0,0,0,0,0,0
XEM,0,0,0,0.121930580690603,0.389006319982927,0,0,0.00777422271964021,0,0.10248690226859,0,0.0637946382850498,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0819499784789716,0,-0.0599184706924123,-0.00109773727565081,0,0.107827553068316,0.0010660691030672,0,0,0,0,0.0295458742188973,0,0.084897923801976,0,0,0,0,-0.0547951266446393
CVIX.INDEX,0,0,0,0,0,-0.0477893963672119,0,0.0271145014016554,0,0,0.0881399323854424,0,-0.0996867426150994,0,0.0689137747339554,0,0,0,0,0.121740496097728
DXY.INDEX,0,0,0.000692379751143003,0,0,0.000000000000000000216840434497101,0,0.00613099057427829,-0.027227320917434,0,0,0,0,0.00683970387929142,0.0146790994151356,0.0207117857936002,0,0,0,0.00371073217414252
SPX.INDEX,0,0,0,-0.00684294502602071,0,-0.0101277774351238,0,0.0136857077648721,0,0,0,0,0,-0.0352850320177462,0.0332778739909086,0.108592729298192,0,0,0,-0.123168491298675
VIX.INDEX,0,0.428940845371162,0,0,-0.0862704236711356,0,0,-0.077210412811262,0.0378163801056577,0,0.1611700744625,-0.426902111195196,0,0,0.17172739146372,0,1.4062636893316,0,-3.17845677396155,0
