,BTC,ETH,XRP,BCH,LTC,XEM,DASH,MIOTA,ETC,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0374889285201811,0,-0.132199217351933,0.232735436716903,0.15398789582607,0.0168196477916457,0,0.0438597865193322,0.0465484137025208,0.107715628075987,0.0427078714652124,0,-0.0599212319438334,0,0,0,0,0,0.143064508768421
ETH,0,0,0.193054102688371,0,0,0,0,0.174522693808358,0.200470131185028,0.0141030396538721,0.081905156332022,0.0511658897754173,0.00563716212258748,0,0.150551983020332,0,0,0,0,0.123728435469714
XRP,0,0.011046035986655,0,0,0,0.0942928915634761,0.12527379129502,0.0165863670585433,0,-0.0646036076103032,0.00927594173102231,0.0396186121599248,0,0.166410709120347,0.470205936087787,0,0,0,0,-0.0719101422978127
BCH,-1.10836973196547,0,0.499817045865611,0,-0.387949842049709,0.862695588872596,0,-0.32368100508518,0.640473004154137,0,0.306660702810452,0.129105079013434,0.340242946758306,-1.1911942355543,0.479165782199593,0,-2.26580474705209,0,0,-0.474841779170727
LTC,0.21297115250557,-0.0500001301599661,0,0,0,0,-0.0774127206942504,0,0.259772531474793,0.115017689809875,0.069547616489111,0,0,0,0.149419650552061,0,0,0,0,0
XEM,0.140650364003927,0.0386063244335012,0.272435136447856,0,0.0746459687501697,0,0,0,0,0.0228141265880647,0.188840378977613,0.0783316783449677,-0.113368418026466,0.162862208302849,0,0,0,0,0,0
DASH,0.0789921861894066,0.115900648488427,0,0,0,0.112262702284897,0,0,0.163606319757617,0.0512219722850184,0.310726994549397,0,0,0,0,0,0,0,0,0.0870957948694524
MIOTA,0.371496471840781,0,0.799739064764397,0,0,0,0.152026119289217,0,0,0.0358284010267534,0,0.0217072569327028,0,0.22777689241334,0,0,0,0,0,0
ETC,0,0.24196994113365,0,0,0.146188509361864,0.022648844209746,0.020514735819181,0,0,-0.00601866586602288,0.247995006498165,0.00938192684504571,0,0,0.0205912908292255,0,0,0,0,0
NEO,0,0,0,0,0.076518354951675,0,0,0.137451261608956,0,0,0,0.0828723776603607,0,0.161826897772984,0,0,0,0,0,0
XMR,0,0,0,0,0.0121125454214415,0.118557014091313,0.390814872482402,0.0713587838222041,0,0,0,0.0205448297007204,0,0.226020693088513,0.0779134339869132,0,0,0,0,0
EOS,0,0.173072194032501,0.124332851037316,0,0,0,0,0,0.190051519132148,0.0594667696070885,0,0,0.259012111377446,0.163662034593265,0,0,0,0,0,0.115382507005078
ZEC,0,0.148250975894508,0,0,0,0,0,0.156287057934545,0,0.0325174623256865,0.0783295550964059,0.0289966241743584,0,0.108167456728911,0.0720375032716486,0,0,0,0,0
XLM,0,0,0.22632680359473,-0.0284473690212141,0,0,0,0.0968095102423447,0,0.0610482777663632,0.584623783357334,0.0844516224543953,0.125338246961569,0,0.0306131620304373,0,0,0,0,0
DOGE,0,0.0097601710017432,0.391598248441165,0,0.0686415545242293,0.0280955145805408,0,0.0127085571892844,0,0,0.321159218412529,-0.0468897928180423,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.0237856642535301,0,0.00949518385762261,0,0,0,0.0106274461883,-0.0270620944303123,-0.00150788757188034,-0.00388667857972496,0,0.0282141310647705,-0.0119666208395037,0,0,0,0,0,0.0210342076265077
CVIX.INDEX,0,0,0,0,-0.0101853018780668,0,0,0.0525593546299172,0,0.00681657033783636,0,0.0238863274098344,-0.109032577034391,-0.040738628066926,0.0372437970141986,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0.00357338214219671,0,0,0,0.00410010046894304,0,-0.00312332814697612,0,0,0,0,0,0
SPX.INDEX,0,0.00389270053856964,0,0,-0.000338717505226056,-0.00270947684297145,0,0.000613378259943916,-0.00432569814672953,-0.000332706887947253,0,0.00156175994315695,0.000435747769679626,0,0,0,0,0,0,-0.0612246832091495
VIX.INDEX,0,0.137725091466225,-0.272847565545625,0,-0.0425559883902141,0.0495106031502808,0.131689453748555,0,0.027750641791567,-0.0746702581015702,0.133521617177655,0.0220108852082124,0,0,0,0,0,0,0,0
