,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.326961540389142,0.155202698465772,0.221184791428807,0,0.0955916431037855,0.0680974428401068,0,0,0.0461776221727655,0.0612543852876399,0,0,0,0,0
ETH,0.203992684539357,0,0,-0.20233982852248,0.0971548094872518,0.2728415277834,-0.0102017173117789,0,0,0,0.0566960062992145,0.119258567295749,0.197019199178226,0,0,0,0,0.0090220264326358
XRP,-0.00000000000000000346944695195361,0.0819772626384235,0,-0.0711714582040635,0.0193880599739385,0,0,0.0654156351845538,0.0661076264291032,0.471245849676579,0,0,0.0205627432240192,0,0,0,0,0.0933019086485271
LTC,0.665945488552026,0,0,0,0.0159713350706891,-0.159814841367994,0.117591501049197,0.117215287987529,0.0796213536830624,0,0.119718685554396,0,0,0,0,0,0,0.0100825656986516
XMR,0.668428483797932,0.0920814361829159,-0.291713810610476,0.120878301083338,0,0,-0.0194517703646779,0,0,0,0.0973811875610745,-0.0199290181667382,-0.13715989887292,0,0.433500003540454,0,0,-0.137183525355622
DASH,0.284875777387399,0,0,0,0.187594042911865,0,0.308125486962994,0.145106743855757,0,0,0.0202417111102373,0,0,0,0,0,0,0.0588893494186688
ETC,0.280921005474797,0.33139497593599,0,0,0,0.0364699442726089,0,0,0.0879115387535575,0,0.296487422624912,0.0648928710161841,0.1174867368311,0,0,0,0,0
XEM,-0.418573184630964,-0.268726719598138,0.163556886257049,0.107538369633011,-0.064909336340696,0.548012403424493,0.0394148536074147,0,0.330227806075852,0,0,0.0636590133239865,0.0215271403829874,0,0,0,0,0.190828175849282
ZEC,0.485252236672734,0.093497717654066,0,0.295965313000728,0,0,-0.018836768576831,0,0,0,0,-0.148900305794568,0.138534113349226,0,0,0,0,-0.0811506314353347
DOGE,0,0,0,0.168609227194404,0,0,0.0991443368008178,0,0,0,0.180982433431449,0,0.0211631815478314,0,0,0,0,0
XLM,0,0.114542365075568,0,0.0980837599402057,-0.0195029179860971,0,0.204515058804706,0.074665925687175,0.0876413520383709,0,0,0.0838240275054482,-0.0558397864818499,0,0,0,0,-0.0265520020685525
NEO,0.178248465680953,-0.0769583368929667,0.45628723922936,-0.305277093146198,0.255278204856672,-0.476422014057839,0.0865537088702069,0.162036132419565,-0.13066159927804,0,0.83787243365903,0,0.104844204124873,0,0.330899561821153,0,0,-0.314027958690416
DGB,1.33733685105797,-0.0798334209947271,-0.0221811494859694,-0.824220209861789,-0.269060975243768,0,0.123740328023212,0.158925959625714,-0.0345189532343012,0,0,0.190225668558932,0,0.384757490732085,0,0,0,0.0285187385079754
BV010082.INDEX,0,0,0,0,0.084222656212807,0,-0.00917489136308314,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0.108611774015195,0,0.0511743618351446,0.0464386796472255,0,0.0297136293022488,-0.0629718858896901,-0.0266939888294323,0,0,0,0,0,0,0,0,0.0675343288047409
DXY.INDEX,0,0.0136265063998824,0,0.0224594184359298,0,0.0129857455498304,0,-0.00305572863176009,0.0044119122207666,0,0,-0.00620426688507326,-0.00729779210657102,0.0646227975417184,0,0,0,-0.00143452948583067
SPX.INDEX,0,0,-0.00734365431128906,0,0,0,-0.00544764702038363,0.00437163082312941,-0.00591724999991192,0,0,0.00537560977936649,0.00158032988788966,0.0455870211923662,0,0,0,-0.0539612208420632
VIX.INDEX,0,-0.205037888312547,0.154521372797943,0.105586712751206,0.150170113391169,0,-0.0561040751773711,-0.0131156205951131,-0.0654768617932486,0,0.0727998508558144,0.110024775107538,0,0,0.173744196130466,0,-5.73366946551113,0
