,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00501801262499988,0,0.531747225070939,0,0,0.0513054805668371,0,0.149365306851238,0,0.0803836459363196,0,0,0,0,-0.0193926066238389
ETH,0.281366241352121,0,0,0,-0.263538525397627,0.482974150963242,0,0.316520779606801,-1.05130059841615,0.0736518303089249,0.669298047064244,0,-0.317664084637487,0,0,0
XRP,0,-0.0444747401930885,0,0,-0.0102554116385273,0.121409973521059,0.00736797487780592,0.0154553433132524,0.0266794255094311,0.0830910056526367,0,0,0.211767481482263,0,0,0
LTC,0.845497404072963,-0.0342560959006426,0,0,0,0,-0.0526405507400427,0,0,0.0830283114482237,0,0,0,0,0,-0.0777120209426738
ETC,0,-0.608579261957571,0,0.5267369076815,0,0,0,-1.01580320538391,-0.983587445248312,0.220803015476215,0.456957609381467,0,0,0,0,-0.217674284079762
DASH,0.0445996582946961,0.0585528815517869,0,0.0721327800780016,0,0,0.00000000000000000173472347597681,0,0.121529634130186,0,0.0602179454478276,0,0.0961790617311869,0,0,-0.0186044155997943
XEM,1.2006725788274,0.16981790062799,0,0,0,0,0,0,0.172363935517911,0.597642834136227,0.0104794880624833,0,0,0,0,0.189722771234157
DOGE,0.367237905897888,0,0,0.296219778413033,0,0.132046522181985,-0.00316918359597879,0,0.0546790052248642,0.0409433222704208,0,0,0,0,0,0.119849705231204
XMR,1.03754807572304,-0.125627689051808,-0.128466170864747,0,-0.0891189439474301,0.195945578725887,-0.0835536823903599,0,0,0.0670479305484978,0.0710083409822746,0.240770175307454,0,0,0,0
XLM,0.132108301928786,0,0,0,-0.0341055107446682,0,0.202663230026409,0,0,0,-0.17798548888492,0,-0.330431584436467,0,0,0.143141440824343
DGB,0.123293079001169,0.494153386829824,-0.0471197781408941,0,0.0630468025332249,0.118686409430555,0.0971497181116852,0,0,0,0,0,0.289760357918773,0,0,-0.057187686900036
BV010082.INDEX,-0.206118556753645,0,0,0,0,0.125135816290054,0.0533297693297185,-0.141560294418859,0,0.0101675192988411,0,0,-0.070980212510129,0,0,-0.0899168939732917
CVIX.INDEX,0,-0.14698326430118,0.0770976229731328,0,0.0153426711919992,0.320755129220085,-0.0686382334059623,0,0.0565523891424353,0.130645991240489,-0.035174292124177,0,0,0,0,0.1337784245919
DXY.INDEX,-0.0194343821021035,0,0.00987341450085193,-0.00454125468793471,-0.00217196969555006,0.0166194963180986,0,-0.00816105479757473,-0.0080005444163322,0,-0.0137979694031671,0.0326405858170852,0.0920036755828692,0,0,-0.0195638001599637
SPX.INDEX,0,0,0,0,0,0,-0.00638754707238478,0,0,0.0116665534206302,0,0.0105720575275504,-0.00547823421698746,0,0,-0.0825760125979299
VIX.INDEX,0,0.182791037716189,-0.526669371535784,-0.159224149618626,0.101606464986727,0.40086062814104,-0.0975766778603767,-0.548223023446837,-0.122784998022429,0.442964988836418,-0.189176965979142,0,0.966797968286536,0,-0.546131681213867,0
