,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,ADA,LEO,TRX,DASH,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.418160847659265,0,0.0138015805150651,0,0,0,0,0.103671676443952,0.0160759240617477,0,0,0,0.236019042316259,0,0,0,0,0,0
ETH,0.278237951740823,0,0,0.246357291948927,0.0620140589828656,0,0.232147908781939,0.0522180925623347,0,0,0,0,0.0087349428420631,0.0671813267208412,0.00983593411798453,0,0,0,0,0.00863786673232683
XRP,0.166112333107281,0,0,0.128026554099857,0,0,0.201623843227897,0,0,0,0.197927742207323,0,0,0,0.109369927493046,0,0,0,0,0.0293079416620304
BCH,0.177895691838619,0.388481594704956,0,0,0,0,0.159318712916916,0.168274099463424,0,0,0,0,0,0,0.158941079423406,0,0,0,0,0.0323593163984976
LTC,0.0195738961068797,-0.00000000000000000346944695195361,0,0.191953158410002,0,0,0.33976649954425,0,0,0.0138707609569489,0.177561079775408,0,0,0,0.0506844753533615,0,0,0,0,0
BNB,0,0.0655641532970419,0,0,0.251431493947804,0,0,0,0.262630688598432,0,0,0,0,0,0,0,0,0,0,0.022539701184729
EOS,0,0.189367127475866,0,0,0.227266565500999,0,0,0.310103307464568,0.0998616657131672,0,0,0,0.0238010957770902,0,0.071549883545827,0,0,0,0,0
BSV,-0.0815658966356394,-0.230375022385578,0,0.449928979952647,0.112660723982762,0,0.118254067641373,0,0,0.18764311949305,0,0,0.292284187673422,0.204758115469252,0.123301729800687,-0.0231710534984221,0,0,0,0.0325603229481626
XMR,0,0,0,0,0,0.394741117633686,0.296436581981801,0.112536451531663,0,0,0,-0.000000000000000000216840434497101,0,0.266172234900764,0,0,0,0,0,-0.0585465175875168
XLM,0.0928009061679884,0.00000000000000000693889390390723,0.0949421147841744,0.103034750034896,0,0,0,0.00000000000000000346944695195361,0.0840779308332334,0,0.350409423693446,0,0,0,0,0,0,0,0,0.00220515286366273
ADA,0,0.0112321322840321,0,0,0.11872709179507,0,0.18933369008954,0,0,0.193818805012131,0,0,0.271640245607444,0,0,0,0,0,0,0.0259983910003285
LEO,0,0,0,0.159583944098675,0,0,0,0,0.241173560928728,-0.116355751084627,0,0,0,0,0.0519369154254491,0.226822715169225,0,0,0,-0.154400859284908
TRX,0.0531216358128492,0,0,0.171480115054838,0.2751578486031,0,0,0.183531025380051,0.163556030995371,0,0.288065673964583,-0.114726414761232,0,0,0,0,0.0316625952067401,0,0,0.0264799513699789
DASH,0.0637645948967151,0.304112279832651,0,0.01528494949074,0,0,0,0.0648387003630087,0.143086125070001,0,0,0,0.0393308083872387,0,0.0498174821402367,0,0,0,0,0
ETC,0,0.105850358178149,0.0429922939672408,0.357264761964892,0.23445634975033,0,0,0,0,0,0,0,0,0.121784932292573,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.209036725490659,0,-0.157111934223265,0,0,0.0431564591128085,0,0,0.303719789704551,0,-0.36334858784062,0,0,-0.132566480538049
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.0710349423931419,0,0.279673429122914,0,0,0,-0.158384392458295,0,0,0,0,0.019001507092217
DXY.INDEX,0,-0.0121494117377031,0,0,0,0,-0.0065085631589937,0.0119159745306763,0.000000000000000000433680868994202,0,0,0.0137147055957091,-0.00676293607674935,-0.00569679248532399,0.00716188563714203,0.0422733681513997,-0.0120411593700588,0,0,0.0010562444048726
SPX.INDEX,-0.0100141159995985,0,0,0,-0.0000000000000000000542101086242752,-0.00724073889960444,0,0,0,0,0,0.0107708962218552,0.00874537028669179,0,0,0.0264466992420861,0,0,0,-0.0830877208425718
VIX.INDEX,0,0,0.0687080500774533,0,0.304833763131244,0,0,0,-0.145985336836487,0,-0.00000000000000000346944695195361,-0.340784877409842,0.0863321569833837,0,-0.122292124914118,0,0,0,-5.46614528631899,0
