,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0593632463155156,0,0.22903604104988,0.174429915848495,0,0,0,-0.0896438295385778,0.0591595710826161,-0.0854133059581374,0,0,0.147031603000299,0,0,0,0,0
ETH,0.108308271568502,0,0,0.135681262784436,0.0875934405465015,0,0.0574140083660852,0.0837780255046151,0.13075329154143,0.0162573380081805,0.133572724704275,0.0634299045403082,0,0,0.0540314890881643,0,0,0,0,0
BCH,0.178329906559335,0,0,0,0,0,0.0959291003210733,0,0,0,0.41916216782536,0,-0.0481444115099543,0.0647132067419139,0.153402672145904,0,0.373859503646949,0,0,0
XRP,-0.0557271251903738,0.355280783033808,0,0,0,0.0557329904335842,0.0168676342908336,0,0.180261203319478,0.113302561272272,-0.00000000000000000346944695195361,-0.0608811588867809,0,-0.00747390964790902,0,0,0,0,0,0
LTC,0,0,0,0.238903784941352,0,0,0,0.455257682291774,0,0,0.204442118112536,0,0,0,0.0576521570219642,0,0,0,0,0
DASH,0,0.122590777880012,0.0369133175993346,0,0.126052470303766,0,0.00104577262363032,0.103521483944096,0.201117778747127,0.0334016151150287,0,0,0,0,0.0879056025346799,0,0,0,0,0
NEO,-0.0415596391022748,0.206531387521444,0.074499698984019,0,0,0.355197631932643,0,0,0,-0.171948839362327,0.0633737683983174,0.0754380352200413,0.727416980367952,0.148049372001172,-0.168914963305143,0,0,0,0,-0.130663801904855
XEM,0,0.0959876340913298,0,0,0.0977347325824984,0.168783892806456,0.0735701049067785,0,0.269363788345809,0.0660780181685635,0.154902752391613,0.0638691332454634,0,0.0834735112415506,-0.0301319823052989,0,0,0,0,0
XMR,0,0.305769950985559,0,-0.000000000000000000867361737988404,0.0813293998048418,0,0,0,0,0,0.262775857022551,0.0276140848107924,0.033753640083444,0.0248461512414751,0,0,0,0,0,0
MIOTA,-0.608448884451111,0,-0.0410751795342117,0,0,0,0.311621203503579,0.408936254820845,0,0,0,0.128322195230319,0.153848756398295,0,0.38555598984618,0,0,0,0,0
ETC,0,0.184390741894747,0.173018911199458,0,0.490921806589496,0,0,0.0281238864934303,0.0274712413058274,0.0277659054192037,0,0,0,0.0412950406690844,0.0141933435905099,0,0,0,0,0
ADA,0,0,-0.377029516581362,0.476626848832008,-0.267522660596039,0,0.162045681365135,0.178553668395225,0,0.608001955178584,0,0,0.0390675933845656,-0.20198033272287,-0.313718919556166,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.0787522519219628,0,0,0.0850065515386344,0.209751451387311,0.101642823516806,0,0.0510807000261078,0.150457229268961,0,0,0,0,0
XLM,0,0.331002299301271,0,0.11617517596977,0,0,0.14584514349068,0,0,0.778069223249965,0,-0.224183918171158,0,0,-0.13586915743995,0,0,0,0,-0.0547111060555647
EOS,0.330955890863024,0,0.127148925048169,0,0,0,0,0,-0.327564501086028,0.0443536178346495,0,0,0.711360421715971,0.0575039744337304,0,0,0,0,0,0
BV010082.INDEX,0.00930806191072374,0,0.0232492225625506,0,-0.0127969580235885,0,0.0207635729371338,-0.0168004667289567,-0.112334980252049,0.0274813962777008,0.0159738901526742,0,0,0.00805819562631524,0.0210674917711162,0,0,0,0,-0.0198753235301556
CVIX.INDEX,-0.0126251245461456,0,0.0701376271425284,-0.0154404982844421,0,-0.109968282357097,-0.0335885811435395,0.100941617111511,0,0,0,0.0537088529117159,-0.0282959362792657,0.0131958038293853,-0.0142674720023609,0,0,0,0,0.102223771732973
DXY.INDEX,-0.00911557689130982,0,0.0169288813162131,0,0,-0.0293904155689902,0.00775952735495215,-0.00186660316784954,0,0.00760395353024638,0.000428414862414912,0,0.00576224169751388,0.00247148527119753,0,0,0,0,0,0
SPX.INDEX,-0.000130212112906211,0,0.00271330240037199,-0.00355945693718159,0,0,0.00233392909994465,0.00392791206384017,0,0.00564851014829632,0,0,-0.019634217983462,0.000475593494079866,0,0.0182466346594213,0,0,0,-0.03343998467147
VIX.INDEX,0,0,-0.215493883959587,0.0271428301939336,0,0,0.0934078371414571,-0.00541361684832962,0,0.196980883629407,-0.0207098429638973,0,0.0660703930664761,0.0163266737066366,-0.0483133963415646,0,0.218846029360946,0,0,0
