,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,ADA,TRX,XMR,XTZ,ETC,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.154338734375124,0,0,0.155237610027001,0.138339547800888,0,0.0405468638007709,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0959980845471459,0,0.191901318374029,0.184559910842463,0.110911515294921,0,0.0854800499853797,0.110886554994931,0.116884694925392,0.0266839117531249,0,-0.00000000000000000346944695195361,0,0,0,0,0
XRP,0,0.104321115005494,0,0.146397626926897,0.0281820623350503,0,0,0.271686588648376,0,0,0.0639094804011607,0,0.0554923667942165,0,0.00686431021152485,0,0,0,0,0
BCH,0,0,0,0,0.206258194629182,0.284331644143374,0,0.350806814455633,0,0,0,0.0393579084219256,0,0.114576551749888,0,0,0,0,0,0
BSV,0.396677891058072,0,0,1.39540651249073,0,0,1.00939810699498,0,-1.40999843579277,0.171052810017886,0,-0.452812524807851,0.0482048467669968,-0.496021054503659,0,0,0,0,0,0
LTC,0,0.0754476934452191,0.0967361279511792,0.0617524163772716,0,0,0.579701590605494,0,0,0.0766323621845986,0,0,-0.00537640036405096,-0.00465900298449333,0.042479976437009,0,0,0,0,0.00857423834690987
EOS,0,0.332784872373635,0.0858961261889324,0,0.0609982208610045,0.413458222782662,0,0,-0.0637308999966752,0,0.191917368356232,0,0.0652652947857778,0,0.0298409656484217,0,0,0,0,0
BNB,0,0,0,0.0591170491844794,-0.0146910048923782,0.329374727037046,0,0,0,0,0.0842856463534929,0.194547357108477,0.0254984533190225,0,0.0966243056714933,0,0,0,0,0
XLM,0.298230073776022,0,0.331805727084815,0.00000000000000000173472347597681,-0.0293395446627223,0,0,0,0,0,0.229430108196174,0,0.0822205331990397,0,0,0,0,0,0,0
ADA,0,0.27824214515112,0.171051139398778,0,0,0,0,0,0.134263331623493,0,0.300925065755435,0.160573713054897,0.0402856725665035,0,0.0124427620329571,0,0,0,0,0
TRX,0,0.211308391651727,0.360618583012277,0,0.0100764156557392,0,0,0,0,0.228375103157292,0,0,0,0.127926209605009,0.078476885809717,0,-0.0949479263922019,0,0,0
XMR,0,0.0608449495498259,0,0,-0.0737947759775598,0.0311125379427917,0,0.606376307543757,0,0,0.020980934460238,0,0.0367335001931024,0,0.113703457176965,0,0,0,0,0
XTZ,0,0,0.579909142792007,0,-0.0425790038384871,0,0.315473093329262,0.271894893951534,0.264914158285246,0,-0.49591899630003,-0.299527094151978,0,0,0.146697635137156,0,0,0,0,-0.0893074527724418
ETC,-0.342344396537209,0,-0.336433210975068,0.343043293115347,-0.0560377876947585,0,-0.0336024525887348,0,0,0,0.372163667452706,0.216408314175944,0.167491886413057,0,0.345731384673686,0,0,0,0,0
DASH,0,0,0,-0.129844935975238,0.257791599489568,0,0.587302767818565,0.512295515274702,-0.482725927769912,-0.200978305550378,-0.101837861647318,0.147880007902638,0.0747954703770998,0,0,0,0,0,0,0.286465404144385
BV010082.INDEX,0,0,0,0,0.0338266214594756,-0.333852309929304,0,-0.0586882260671786,0.124627126907471,0,0.289794070893605,-0.0243400541372036,0.00838378041844292,0.0228560028159139,-0.00125798972551662,0,0.0861959706754484,0,0,-0.0583309530678426
CVIX.INDEX,0,0,0,0,-0.00234928087078369,0,0,0.335726161273733,0,-0.130740844654698,-0.0537316560232139,0.0912711322253539,0,-0.134202587374686,-0.0236093534044649,0.708661426023941,0,0,0,0.108182094518954
DXY.INDEX,0,0,0,0,0.00480384829670947,-0.0388779066574001,0,-0.00578759709512771,0.0400443652431976,-0.0163366978000653,0,0.0226015734934464,-0.00756286829106925,0.00334944586744145,0,0.06508234366241,-0.00707969516072373,0,0,-0.00733167164985424
SPX.INDEX,0,0,0,0.00419712768843904,0.00402114356260079,0,0.00625850693969377,0,0,0,0.0127729143412645,0,-0.00248656736513484,0,0,0.0379514927956847,0.0106017942288799,0,0,-0.0375787971992286
VIX.INDEX,0,0,-0.15813358033823,-0.349523761852512,0.108475445039211,0,0.0000000000000000138777878078145,0,0.414412430239749,0,0,0,-0.230181853851657,0.0313044782568366,0,0,0.0133911061185753,0,-5.154671159295,0
