,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.00623922164555785,0.0524356744097092,0,0.0638002556134052,0.182339272793407,0,0.27492631478999,0,0,0.107353822635688,0,0,0,0,0,0,0,0.061357879354803
ETH,0,0,0,0.162737168356244,0,0,0.103231851386943,0,0.0743778396719021,0.00000000000000000346944695195361,0.0480209312690673,0.168962841218905,0.0664329540391645,0.149068043535965,0.118846352807449,0,0,0,0,0
XRP,0,0,0,0,0.369865604172861,0,0,0,0,0.260348271432659,0,0.0809820974448653,0,0,0,0,0,0,0,0.0244656916781301
BCH,0,0.0528672263851122,0,0,0.134010510533474,0,0.16520230864039,0.171798295310804,0.177081064946478,0,0.119872186294872,0.0528749446300501,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0.192868376125346,0.602519397757488,0.00858233366359374,0,0.0703913626392889,0.292347557518285,0,0,0.087271367089604,0,0,0,0,0,0
XLM,0.211070700483099,0,0,0,0,0,0,0.249417662983288,0.180392746216769,0.00762769464463703,0.160228079301382,0,0,0.158750055446646,0,0,0,0,0,0
LTC,0,0,0,0.457321137372788,0.15973388825196,0.0501358311452552,0,0,0,0.0937886000170245,0,0.135506633976382,0,0,0,0,0,0,0,0.0509409802223083
ADA,0,0,0,0.311245287053457,0,0.271801466785905,0,0,0,0.132785317369146,0.11054437368544,0.0258209140782569,0,0,0.037245822762851,0,0,0,0,0
XMR,0.4712891153602,0,0,-0.0000000000000000277555756156289,0.177216632516673,0.0228440669701106,0,0.0769117810538936,0,0,0,0.0855444131764103,0,0.134544741872929,0.0784185471552469,0,0,0,0,0
MIOTA,0,0,0.17293787369363,0,0,0.0390543764923645,0.19391143478198,0,0,0,0,0,0,0.672976266452859,0,0,0,0,0,0
TRX,0,0,0,0,0.195731710024692,0,0,0.101431184428042,0,0,0,0,0.29460035341185,0.168830297583664,0.201724582368442,0,0,0,0,0
ETC,0.116510649238866,0.518981466755827,0,0,0,0.0755045622733613,0,0,0.0669096459597417,0.34366282602642,-0.119590487375567,0,0,0,0,0,0,0,0,0
DASH,0,0.00989878709237039,0,0,0,0,0,0.236798097514209,0,0,0.358332829259553,0.0910649685816325,0,0.06456774073135,0.0468628448972807,0,0,0,0,0
NEO,0,0.000000000000000000867361737988404,0,0.0579352425360075,0,0,0,0.0914863740377369,0,0.404004392477344,0.426826451810927,0,0,0,0.105494056897662,0,0,0,0,0.0376466265019285
BNB,0,0.516412652553569,0,0,0,-0.0710674997844975,0,0.118038753884168,0,0.210561761169941,-0.00000000000000000173472347597681,0,0,0,0,0,0,0,0,-0.126714302179486
BV010082.INDEX,0,0,0,0,-0.0503227969943532,0.0303822165761036,0,0,0.00821413310363434,0,0,0.0238418641186873,0.0972030598707343,0,-0.011854802486838,0,-0.123749979392378,0,0,-0.0237399682270034
CVIX.INDEX,-0.109381104475438,0,0.0816901759517761,0,0,0,0,0,0,0.0577863862151463,0,0.136944865373254,0,0.00000000000000000346944695195361,0.0135645220659867,0,0,0,0,0.160471189883103
DXY.INDEX,0,-0.0535865350294582,0,-0.000907938656587137,0.0136461513396494,0,0,-0.000000000000000000867361737988404,0.016654278148872,-0.0123533261875337,0,0.0262634142979943,0,0.00691191353199507,-0.00198642063795656,0,0.120058001096286,0,0,-0.00112737888927516
SPX.INDEX,0,0,0,0,0,0,0,0.0057216578877111,0,-0.0153883755453213,0,0,0,0,0,0,0,0,0,-0.0627160857957235
VIX.INDEX,1.04171063335712,0,0,0,-0.178221567425981,-0.115583158968889,0,0,-0.424022714067334,0,0,-0.0836967843435168,-0.23949626422831,0.218515386932323,0,0,0.261143783555621,0,-1.99203734832976,0
