,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.239135886073771,0,0.0532790144354866,-0.0585603213700437,0.22246391204775,0.281097286040632,0.110590647024624,-0.184277185925588,0,0.158171203912114,-0.326701280105139,0.0879817647415008,0,0,0,0,0
ETH,0.367268867110288,0,0,-0.00493913963877427,-0.0329752127184506,0.861787810196264,0.233074241867898,-0.118297013655719,-0.228045525402397,0,0.118411820533675,0,-0.0265350635395799,0,0,0,0,0
XRP,0,0.0393239407593115,0,-0.351079861865805,0,0,0,-0.141792949260909,0,0,1.19898615106325,0.439071622951278,-0.632246120703211,0,0.502650339952369,0,0,0
DASH,-0.235031964710747,0.0180729416844878,-0.0935867551195469,0,0,0,0,0.116422962093393,0.102646909966759,0,-0.0229478073360153,0,0,0,0.733101733021727,0,0,-0.307607393252739
LTC,-0.306470799579209,0,-0.0933941055841437,0.109992149557934,0,0.0363346230381835,0.185396458567295,-0.00883967575584133,0,0.394578568292301,0.240238450598325,-0.175824978678214,-0.092964854566439,0,0,0,0,-0.105185808008306
XMR,0.237139273070613,0.257143313207804,0.00982816179252717,0.0579128174479957,-0.132146266546102,0,-0.0996818056643607,0.0922752222867207,0.106393491520019,0,0,-0.0946355736490827,0,0,0,0,0,0
ETC,0.151171521314947,0.140021281139812,-0.0417246242231882,0.136808150454992,0.385921191727049,0.262430376796956,0,0,0.101423433669259,0.126599703040392,0,-0.0932449897026365,0,-0.489681048437639,0,0,0,0.181568883863474
XEM,0.375423636525985,0.196941693280435,0,0.0225324773054997,0,0,0,0,0.270126201709922,-0.131351508416442,0.0736153916454859,0.100576467281294,0.131201679989215,0,0,0,0,-0.0847472146059669
ZEC,0,0.0621667634078695,0.0124143348157553,0.247318647950922,-0.0842043007127381,0,0,-0.015295413816508,0,0.226781950581481,0,-0.0251871555846621,-0.137956265482368,0,0,0,0,0
DOGE,0.216619081803426,0.0948429275830862,-0.0106206032259193,0,0.136159411660389,-0.234184950526658,0,0,0.254790691756663,0,0.401119407754839,0,0.0310318739150393,0,-0.0656211775983466,0,0,0
XLM,0.260468227106761,0.0940587214687897,0.303460971402248,0.0600913920406751,0.216573830702245,0,0,-0.097261351667458,0,0.240807338528165,0,0,0,0,0,0,0,-0.252310075977402
NEO,0,0,-0.0603365565531369,-0.0327752878982886,-0.180380083269579,-0.201022738909577,0,0.0585061770085371,0.0996464231903307,0.116567185837903,0.136402935497803,0,0.110484089152458,0,-0.186451271513041,0,0,0.118925130807982
DGB,0.0325276173459324,0.158733772764995,-0.0963251804704147,0.0567152956577613,-0.0935305820124554,-0.164864222027887,0,0.110911922454756,0.0135965836455123,0.249214466841242,0.203630286265328,0,0,0,0.320751749381002,0,0,-0.291870664206793
BV010082.INDEX,0,-0.0144292939437122,-0.012960234179004,0.0506667927500423,0,-0.0375117107627041,-0.0602197714719106,-0.0576052177727232,0,0,0.0522477403613983,-0.0813825110565565,0.110527595796005,0,0.112169853622048,0,0,0
CVIX.INDEX,0.211547967740677,-0.0000000000000000000542101086242752,0.00532734450851394,0,0.0745627991925264,0.0118813841905997,0,-0.0821936643869049,0.0461926698640795,0,0,-0.0790992251762531,0.149955789163912,0,0,0,0,0.231043931426907
DXY.INDEX,0.0165679881865782,0,0,-0.00655135814774546,0.0017324434833981,-0.00224663447442162,0.00612052639303436,0,-0.013542876079096,0,0,0,0,0.0744103443582748,0.0263648238506677,0,0,0.00186576012363555
SPX.INDEX,0.0109603665406087,0.00393974163449999,0.000181593877735304,-0.00175922756746186,0.00370408793917149,0.000778413064457223,-0.00172165657707195,0,0,0,0,0,-0.00293379220727164,0,0,0,0,-0.0308512343489013
VIX.INDEX,0,0,0.0221280521268437,0.0123927554927948,-0.0210079923596387,0,-0.160994556414097,-0.143748609431965,0,0,0,0,0,-0.353245937708141,0.265330136734756,0,0,0
