,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.236915881394245,0,0.0836989633280173,0,0.0875244882539776,0.0411250186321041,0.0148589688767729,0,0.120679456758653,0,0.0136499842627536,0,0,0,0,0,0
ETH,0,0,0.0260676465121541,0.00279915338070303,0.0721306338686824,0.109023885798593,0.0781619651680409,0.158192232558031,0,0,0.303396577391173,0,0,0,0.0828905365096835,0,0,0,0,0
XRP,0,0,0,-0.0180615238478773,0,-0.0601710800671968,0.29426049028785,0,0,0.135514604256806,0,0,0.188621600388963,0.386506314452786,0.0599501884384712,0,0,0,0,-0.015702882496137
BCH,0,0,0,0,0,0.168603991497357,0,0,0,0.222052955307477,0,0.147010706388089,0,0.0720049299786034,0.231971096819514,0,0,0,0,0
LTC,0,0,0.033550294790066,0.161325778364456,0,0,0.047647313342061,0,0.149172682084294,0,0,0,0,0.0125030674002423,0.158084197114383,0,0,0,0,0
NEO,0,0.192781632305583,0.0109141353254568,0.121651820426431,0,0,0,0.1184201504107,0,0.0253235763249073,0,0.0433994957760722,0,0,0.26079054883719,0,0,0,0,0
XLM,0,0,0.281826014512641,0.0851258167669379,0,0.0558706443427963,0,0.164959797557984,0.0550868245108465,0,0,0.170337518875695,0,0,0.0692423848345786,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0.124056393503988,0,0.37772378433514,0.0959935877480922,0.0114936549382675,0.0394129855204597,0,0,0,0,0
EOS,0.0703211554579824,0,0.135867551896381,0.00755627038359615,0,-0.105791285046579,0.0423508271295988,0,0,0.264304121182187,0.0621961606720066,0,0,0.0261959341478516,0.449543045373593,0,0,0,0,-0.0187766378182776
XMR,0,0,0,0.0271710849642919,0.261379901614339,0.208418187058673,0,0.0789666115516208,0.0119967877700352,0,0.205168330090203,0.147683355886682,0,0,0.00000000000000000346944695195361,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0.213702207022108,0.095914674501734,0,0.0884527342354202,0,0.0745982333128912,0.149587358625027,0,0,0,0,0
MIOTA,0,0,0.199584751313445,0.11777449558383,0,0.028044029924356,0,0,0.106477631850743,0.164276369534184,0,0,0.1359909766784,0,0.0502553616486844,0,0,0,0,0
XEM,0,0,-0.00000000000000000693889390390723,0,0.236367205448096,0.130656816552453,0.215765993536415,0.224233148004521,0.0278270879400144,0,0,0,0,0.0838986520963736,0.0309658221516256,0,0,0,0,0.0508401330654524
TRX,0.566746444183824,-0.0305190982264831,0.292624258156285,0.275292658855449,0,-0.248320064419361,0,0,0,0,0,0,0.316737839573939,0,0,0,0,0,0,0.146421298205207
ETC,0,0,0.115271909767508,0.104861043425599,0,0.190334174941126,0.131234006624647,0,0.13332857461001,0,0,0,0.249460407796085,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0146989967941176,0.0156239357389211,0,0,0,-0.0320865714874412,0.0220443534300633,0,0,0,0,-0.00955011483554119,0.00717665765688266,0,0,0,0,-0.0376329931958516
CVIX.INDEX,0,0,0,0,0,0,0,0.138740520088094,0,-0.0535263684247229,0,-0.0810266805717266,0.0733739102475767,-0.0339276753653135,-0.0609048817092036,0,0,0,0,0.0451694714297965
DXY.INDEX,0,0.0214873553115965,0,0,0,-0.0161683253058141,0,0,-0.00967142710120994,0,0,0,0,-0.00785589785992753,0,0,0,0,0,0.00727330131223041
SPX.INDEX,0,-0.0142645311812874,0,0,0.00446315615613662,0,0,0,0,0.0203036147842214,0,0,0.0127407399548654,-0.0377259340747523,0,0,0,0,0,-0.0588904608091655
VIX.INDEX,-0.650577031876703,-0.0721282973557264,-0.253943673949826,0,0,0.392628094123138,0.0901530135598717,0,0.158652413840574,0.137369389818773,0,-0.371614759129481,0.205462014282698,0.242786746650791,0,-1.20398066381299,0,0,-3.58467438762791,0
