,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,ADA,XLM,TRX,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.12341460302803,0,0.0882097595997767,0.120202411644959,0,0.0591250574085435,0,0,0,0,0,0.0606830843225029,0,0,0,0,0
ETH,0,0,0.151718324612039,0.141675692525772,0,0.103736712322212,-0.000000000000000000216840434497101,0,0.109923037586864,0,0,0.0386479097643944,0.282325679898898,0,0.0985695980285016,0,0,0,0,0
XRP,0,0.158196287979575,0,0.069212259605115,0.0133796437403277,0.23472584594809,0,0,0.0736415500598683,0,0,0.0207025585443534,0.148394410705106,0,0,0,0,0,0,0
BCH,0,0,0,0,0.250634706884944,0.281166278243433,0,0.253750213771328,0,0,0,0,0.0480547500039954,0,0.00884700870326613,0,0,0,0,0
BSV,0,0.486922787116301,0,0.811999908883081,0,0,0.588814603185793,0,0.150969150711693,0,0,-1.24014372270384,0,0,-0.311799811217174,0,0.12768368352758,0,0,-0.0305253395630216
LTC,0,0.239054169211112,0,0.0726290209847412,0.0539358979003138,0,0.244902559551316,0,0,0,0.227765476104848,0,0.0278131342292797,0,0,0,0,0,0,0
EOS,0,-0.00000000000000000693889390390723,0.331217193754973,0.11080394636516,0.123412875072268,0.0768739912636519,0,0.191475002412733,-0.118262027086592,0,0.0320412564075598,0,0.236829935717361,0.00515680922257941,0,-0.123996203128646,0,0,0,0
BNB,0,0.0964451972471253,0,0.322630067943596,-0.0158125823175531,0,0,0,0.149458740865959,0,0,0,0,0,0.244007048104252,0,0,0,0,0
XTZ,0,0,0,0,-0.00506739112358325,0,0,0.22215016129059,0,0.324211049478543,-0.153765102798846,0,0.372144151531744,0,0.0706830875798838,-0.103939820530029,0,0,0,-0.0619706147798945
LINK,0,0,0,0,0.0809216259957498,0.0265494376031337,0,0.135683348049436,0.238887758166743,0,0.130240101762002,0,0.0626695004268072,0,0,-0.158813247517258,-0.0295331584092353,0,0,-0.0657995670855395
ADA,0,0,0,0,-0.012894352633094,0.253846898113623,0.134116910008418,0.0345466649707203,0,0.0522135220040262,0,0,0.287425022809579,0,0.12228372804885,0,0.0299187145985857,0,0,0
XLM,0,0.0441979671897257,0,0.137613092573834,0,0.0726065364378303,0.00315054995665436,0.0163294524481012,0,0,0,0,0.208377845850967,0,0,0,0,0,0,0
TRX,0,0,0,0.0776560073215073,0,0.276386054387165,0.188678194422312,0,0.00625757838743553,0,0.305325899191711,0,0,0,0,0,0,0,0,0
LEO,0.141044824378683,0,0,0,-0.0524923363978518,-0.139701318068321,0,0.183456199389528,-0.0355185860312521,0,0.226141850500943,0,0,0,0,-0.0803350826034565,0,0,0,-0.0400309201468486
XMR,0,0,0,0.0424079343943574,-0.0274621535174905,0,0.173830812827917,0.159906620933838,0.0260577252251112,0,0.321185096765008,0.237692032897036,0,0,0,0,0,0,0,0.0552520025739208
BV010082.INDEX,0,0.358656793875409,0.0339256755792382,0,0.0441132670433978,0,0,-0.672110034918828,0,0,0,0,0,0,0.0770739523939814,0,-0.133174296496526,0,0,-0.126371137493861
CVIX.INDEX,0,0,0,0,0.0456458650887578,0,0,-0.0438062685264726,-0.109367920880147,0,0.351237426845907,0,-0.384370670510899,0,0,0.0993836425360124,0,0,0,0
DXY.INDEX,0,0,0,0,0.000686299657505092,0,0,0.0000827910538887035,-0.00901970187505307,-0.0112892061859133,0,0,0.00955366471599037,0,0,0.0519343535202684,-0.0250739189560517,0,0,0
SPX.INDEX,0,0,0,0,0,0.00754955674497198,0,0,0,0,0.0296568070620242,0,0,0,0,0.0764432169635828,-0.00843941463553219,0,0,-0.114794348927642
VIX.INDEX,0,0,0,-0.410591724098778,0.0174173031784246,0,0.302327317872997,0.0308854286477802,0,0,0,0,0,0,0.12940307105742,-0.0592996645393653,-0.0103666457128695,0,-3.52165569342218,0
