,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0883153467837001,0.0410994756692934,0.141886002075254,0,0,0.0806556359861967,0.00227323261439943,0.0756296004623739,0.123798489247924,0,0.0440721483725465,0,0,0,0,0,-0.0187463533699098
ETH,0,0,0.160813676478031,0.0515736492503005,0,0.38756549085983,0,0.0731088517554761,0.0176982421151795,0.0479992142870438,-0.00000000000000000693889390390723,0,0.157503659099125,0,0.11437334383793,0,0,0,0,0
XRP,0,0,0,-0.000000000000000000433680868994202,0,0.281751079371788,0,0.03076184970235,0.0322575525959581,0.00826955692357868,0.237336625326812,0,0,0.0559895312071131,0,0,0,0,0,0
EOS,0,0,0,0,0.188355979545329,0.360814708176682,0,0,0.210406036558311,0,0.0893597306496079,0.169712819673614,0,0,0.147408170553507,0,-0.0729809292433943,0,0,0.0221399856695348
LTC,0,0,0,0.0203423457944749,0,0.483397992170715,0.141459965554659,0,0,0,0.0608958886629866,0,0.193216830479197,0,0,0,0,0,0,0
BCH,0,0.0754723074898922,0.264083231680379,0.255960944791833,0.197685440829613,0,0,0.032856728231913,0,0.259899632292388,0,0,0,0,0,0,0,0,0,0.105404418329641
XLM,0,0,0,0.0107505552082284,0,0.139580666068821,0,0,0.0121262095181045,0.0625003223210961,0.330444829283394,0,0.121165053894111,0,0,0,0,0,0,-0.0294151958305109
TRX,0,0,0.0873633893643448,0,-0.0368273297725295,0,0.221847913611217,0,0.0278048915226257,0,0.38590867128022,0,0.0524989923522618,0,0.0460688952370199,0,0,0,0,0
BNB,0,0,-0.16927983472674,0.144351176026223,0.142589252551621,0,0,0.398856825507486,0,0,0,0.217994727993737,0,0,0,0,-0.0223683926223666,0,0,-0.0610961273047204
BSV,0,0.0570856944982445,0,0.115535260562106,0,0.343868357912967,0.113131769118132,0.025529907556788,0.0225279248505335,0,0,0.119842040141941,0,0,0,0,0,0,0,-0.0399770647531428
ADA,0,0.244553981859476,0,0.225292868227312,0.146424279563886,0.0152592257845061,0,0.0281957380604831,0.108953201415344,0,0,0.0590869742548031,0.0602002136847325,0,0.0229570451809277,0,0,0,0,0
XMR,0,0.236566527492803,0,0.0049099038465471,0.0384754273831586,0,0,0,0,0.141981632602892,0.190676330147574,0,0,0.0685993406970777,0.127097596495427,0,0,0,0,0
MIOTA,0,0.0380409023059375,0,0.469782005961626,0,0,0,0.0196819110399553,0,0.0646079065250096,0.109992563019366,0.0698997658114142,0,0,0.0214035281603444,0,0,0,0,0
DASH,0,0,0,0,0,0.0697494978876799,0.0752489188909442,0,0,0.0455665803205536,0.265184821582433,0.216858677732033,0.185982076551499,0,0,0,0,0,0,0
MKR,0,0.493299917159894,-0.319724259306718,0.282814598854552,0,0,0,0,-0.0046587415210474,0,0,0.321538382246704,0,0,0,0,0,0,0,-0.0638370221273569
BV010082.INDEX,0,-0.483706408856901,0.180943138337318,0,0,0,-0.0453676258820486,0.0774540469964364,0,0.0488688296484884,0,0,0.13259964356692,0.109763446756561,0.0962232367516469,0,0.0312336159144682,0.372461000746682,0.376856287549712,0
CVIX.INDEX,0,0.226101771308546,0,-0.0977282289665651,0.13752006188745,-0.101022278079597,0,-0.244967893315252,0,0.0350886641570532,0,-0.130710038355468,-0.064104422154008,0,0.0806324260459994,0,0,0,0,-0.00946557787086287
DXY.INDEX,0,0,0,0.00294158884206841,0,-0.0124923710432251,0,-0.0457905242474845,0,0.0223802735963525,0,0.0174298617284621,0.0047522395041895,0.0262288582959631,-0.0113931037588372,0.102969974907333,0,0,0,0.0227713112956858
SPX.INDEX,0,0,0.0349240922420513,0.0139592890089152,0,0,0,0,0.0123799609077018,-0.0105425186254315,0,0.00000000000000000173472347597681,0,0,-0.0212925545166339,0.197450823866349,0,0,0,-0.0876227590601618
VIX.INDEX,0,-0.189383153310903,0,0.280815683226043,-0.232115509537454,0,0,0,0.441079153537443,-0.104363126509562,0,0.0403355319323604,0,0,0,-0.0894927733823764,-0.222237571992542,0,-2.71373405656288,0
