,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,LINK,LEO,XLM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0447774210920918,0,0.207160323347488,0.108127666439298,0,0.12803737750941,0.0932034801065815,0,0,0,0,0,0,0,0
INNBCL,0,0,27.9773245561642,0,0,0,0,-9.51021497076775,-13.1742153493733,1.78577068426824,-1.03225436167318,0,-32.5360934150524,0,-9.98442025259907,-2.40463258562471,2.8714067827007,0,6.17678711199608,-0.960046250914836
ETH,0,0.00150158970995853,0,0,0.184980088552934,0.0161535977200808,0,0.0170443426555486,0.227337814094811,0,0.25525925404051,0.052240270618568,0,0,0.22494088251797,0,0,0,0,0
XRP,0,0,0.0457808969848321,0,0.178827808247223,0,0.181638966880444,0.089348863408523,0.105777765931902,0.0069808430875914,0.102333337334667,0.0165799216696413,0,0,0,0,0,0,0,0
BCH,0,-0.00292855254086198,0.330047413103528,0,0,0.234176555006641,0,0,0.162517412854793,0.0101448923331002,0.0689549896162427,0,0,0,0.101009049939133,0,0,0,0,0
BSV,0,-0.00580646609807792,0,0,0.332199579696788,0,0.000000000000000000216840434497101,0.366101299889562,0.288350404043393,0,0,0,0,0,0,0,0.0699695404037086,0,0,0
LTC,0,0,0.00726828617938029,0.211973370375121,0.0797056343900852,0.0977746258109908,0,0.0180362155093134,0.323459824669234,0,0.115533160749349,0,0,0,0.0422299487346845,0,0.0366694949150988,0,0,0
BNB,0,-0.00445058190421711,0.358342059555593,0,0.256058246108388,0.0443202670180018,0,0,0,0,0.0727024101869137,0.0731971541211426,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.520935509279957,0.14962601256698,0.170150338555616,0,0,0,0,-0.00353213488261567,0,0,0.0608247220227899,0,0,0,0,0
TAGZ5,0,-0.000286427581551225,0,0,0.711916403363429,0,0,0,0,0,0.0577194582789114,0,0,0,0,0,0,0,0,0.102587002325144
XTZ,0,-0.0000000000000000000271050543121376,0.159661709453848,0,0,0.224761041955502,0,0.105478206546085,0,0,0,0.481783045224982,0,0,0,0,0,0,0,0
LINK,0,-0.00392994467635031,0,0,0.110069353833403,0.205262548192573,0,0,0,-0.00401368639607908,0.664554614310843,0,0,0,0,0,0,0,0,0
LEO,0,-0.00284985512923753,0.0154683636203636,0,0,0.0783012250953987,-0.258944533423499,0.0798464807476206,0,-0.0177735111582202,0.100270543916217,0.059472497391053,0,0,-0.0616908834991508,-0.0397503619798146,-0.00241187368111055,0,0,-0.0449932482634174
XLM,0,-0.00305781734141546,0,0,0.242260659186814,0,0,0,0.316142903602344,0,0.154245997011904,0,0,0,0,0,0,0,0,0
XMR,0.135237315892301,-0.00104063381529949,0.113919138734638,0.114558901562889,0,0,0,0.0998284145001,0.331295337416849,0,0.128646911149255,0,0,0,0,0,0,0,0,0
BV010082.INDEX,1.09504019323986,-0.00513014488849049,0.304596325565896,0,0,0.0352408167753407,0,-0.816396790415167,-0.670942879930403,0.266795968261617,-1.0694658975301,0.425823850027628,0,0.748358377620092,0,0,0.0340012180179362,0,0.218722033212932,-0.0446047955935339
CVIX.INDEX,0.0679987884414062,-0.00703793469693068,0,-0.119449851499001,0,0.0924818101487078,0.183534555179616,0,0,-0.143043121544514,0.308184551371179,0,0,0,-0.748513444379319,0.239604614386161,0,0,-0.326021263663267,0.312585999207721
DXY.INDEX,0.0927446501918042,0.0000823812028940429,0,-0.0770428766956805,0,0,0,0,0,0,0.00440353752567654,-0.0152255260916379,0,0,0,0,-0.0165458664350719,0,-0.0206530423001835,-0.0093305354670546
SPX.INDEX,0,0.0123110887754891,0,0,0,-0.0308569305519415,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.303403294956155
VIX.INDEX,0,0.0288734602512541,0,0,0,-0.0236243655669684,0,0,0,0,0,-0.149131666113986,0,0,0,0,0.0559310158811009,0,-1.85417903516757,0
