,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0654729074984626,-0.0393125979468036,0.0643295803991782,0.146365946009533,0,0,0,0.0432961370373791,0,0,0.0278498519801538,0,0,0.0657384493481956,0,0,0,0,0
ETH,0,0,0,0,0.26104735214952,0,0,0.344285415829887,0.0139298286769499,0,0.0351542610827156,0.0283737642668057,0,0,0.253580416217866,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.271697109096111,0,0,0.289251563018643,0,0,0,0.311440821082951,0,0,0,0,-0.0116569945648206
BCH,0,0.192597835238904,0.0694766183861876,0,0.0620746511470462,0,0,0.169062349669205,0,0.281127260761649,0.0215646794779596,0,0,-0.00000000000000000693889390390723,0,0,0,0,0,0
EOS,0,0.438582151239322,0,0,0,0,0,0.168907518782009,0,0.101465039424787,0,0.172278706018066,0,0.120084205253412,0,0,0,0,0,0
XLM,0,0,0.199289825292902,0,0,0,0,0.0339167663316214,0,0.327013961383561,0,0,0,0,0,0,0,0,0,-0.0436685130283422
LTC,0,0.211891797654342,0,0.129284599755903,0.0213257150579257,0,0,0.103855616939183,0.0243179787484675,0.0697361907766592,0.123676718451217,0.0463779179866571,0,0,0,0,0,0,0,0
ADA,0,0,0.1275032961309,0.13492149625872,0,0.15637996252812,0,0,0.218534047702784,0.158919325259137,0,0.0668934373591772,0.172668737521802,0,0.00744742529530652,0,0,0,0,0
XMR,0,0.217467783123457,0,0.131251166774115,0.179131919372259,0,0,0,0,0,0.12023914864399,0.0865961758606558,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.0260041256084511,0,0.25435240912808,0,0,0.255581978736717,0,0,0.153760936855898,0,0,0,0,0,-0.134427131213718
MIOTA,0,0,0.0824086790727091,-0.000991099891916954,0.0184708796446351,0,0,0,0,0.2791178313148,0,0,0.302697953966193,0.336371224106523,0.0453394842992643,0,0,0,0,-0.044590412536825
DASH,0,0.186670985364727,0,0,0.154033613194484,0,0,0.220388241908448,0,0,0.161700864785613,0,0,0.0493725359757737,0,0,0,0,0,0
BNB,0,0,0.00294270020949181,0.139438866481137,0,0,0,0.259911833867563,0,0,0.112576388295637,0.142198190257621,0,0,0,0,0,0,0,0
NEO,0,0.0200575209953619,0.040401731772251,0.166066815120044,0,0,0,0.177415870889918,0.0930299305677577,0,0.49291131392019,0.0157296352628401,0,0,0,0,0,0,0,0
ETC,0,0.232266765280615,-0.073051268167341,0,0,0,0.290362529866242,0.520702510017846,0.0560333613216491,0,0,0,0,-0.223517739664028,0,0,0.11698162415031,0,0,-0.0362584653948212
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.0377104783216376,0,0,0,0,0,0,0,0,0,0,-0.0306925356563771
CVIX.INDEX,-0.20249858193587,-0.0494028282364253,0.0626268113073078,0,0,0,-0.183184883134147,-0.0533647190608981,-0.156138903144557,0.0626113988358933,0.111543151310247,0,0.408963811085771,-0.0955226888474868,0.140184790620451,0.0659052142368933,0,0,0,0.0413701033674135
DXY.INDEX,0.0223289127675913,0,-0.0156757183628335,0,0.00378919644414463,0,0,0,0,-0.0302619157025093,0,0.00220313188566658,0,0.0260647463804859,0,0,0.0685482851361471,0,0,0
SPX.INDEX,0,0,-0.0112362257136176,0,0,-0.00853006942138016,0,0,0,-0.00378207783308856,0.0160530858841409,0,0,0,0,0,0,0,0,-0.0881487541693931
VIX.INDEX,0,0,-0.0686247144378096,0.0246406249023654,0,-0.190226587949384,0,0,-0.191213576621771,-0.258115572766577,0.459172280220799,-0.134840528439198,0.0601610993889015,0,-0.000000000000000000216840434497101,0,0.0660104414999722,0,-6.69993432663227,0
