,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0609604286324147,-0.0491768029408983,0.0534856723752956,0.138952705751879,0,0.0930751397820649,0,0.0457176446983957,0,0,0,0,0,0.0465816863118143,0,0,0,0,0
ETH,0,0,0,0,0.222339332773993,0,0,0.387108782641108,0.0195371646638375,0,0.0181652616891624,0.0406951416697771,0,0,0.227983955459826,0,0,0,0,0
XRP,0,0,0,0,0,-0.00000000000000000173472347597681,0,0.27141219799021,0,0,0.289830050461514,0,0,0,0.311217533371588,0,0,0,0,-0.0116490624211158
BCH,0,0.186890113247624,0.0797358611288441,0,0.0491612797437703,0,0,0.145586940574013,0,0.294430278365166,0.0314989795226374,0,0,0,0,0,0,0,0,0
EOS,0,0.452207116597941,0,0,0,0,0,0.196984382329862,0,0.0856127553419499,-0.00000000000000000173472347597681,0.178726830845519,0,0.0913243669935534,0,0,0,0,0,0
XLM,0,0.00000000000000000173472347597681,0.206454855108505,0,0,0,0,0.0896245464475447,0,0.291538918472876,0,0,0,0,0,0,0,0,0,-0.0533376776105126
LTC,0,0.193231832444821,0,0.0738165932504887,0.225263837247831,0,0,0.0171459373359603,0,0.115529196517926,0.0928606780078983,0,0,0,0,0,0,0,0,0
ADA,0,0.148063310596637,0.0809080913007073,0.0896160448132514,0,0.128131956505358,0,0,0.0634130346943042,0.113551828604819,0,0,0.166748927587712,0.212752921182881,0,0,0,0,0,0
XMR,0,0.403573798175643,0,0.125304143236199,0.0889638540254392,0,0,0,0,0,0.0857834643684896,0.10511306336669,0,0,0,0,0,0,0,0
TRX,0,0.178354878923399,0,0,0.134369565630658,0,0,0.0961597417514237,0,0,0.330265762215794,0,0,0.112064407546734,0,0,0,0,0,-0.050449919948512
MIOTA,0,0,0.0830109894918539,0,0.0180722604868223,0,0,0,0,0.279730766032949,0,0,0.298699232349377,0.336685525117289,0.0462599353401147,0,0,0,0,-0.0433310422744973
DASH,0,0.162302630865168,0.000000000000000000867361737988404,0,0.148695342810033,0,0,0.221981491821852,0,0,0.137195418023797,0,0,0.093331203286486,0,0,0,0,0,0.0179258092400071
BNB,0,0,0,0,0.0295246439791064,0,0.164357453914122,0.124571813096728,0,0.00698383421478962,0.0724890307780568,0.121815165621486,0,0.151776392921497,0.00883912943672328,0,0.113809275188328,0,0,0.048193337574852
NEO,0,0,0.0385928818600097,0.163055977967345,0,0,0,0.170900208266618,0.20369514316395,0.00000000000000000346944695195361,0.399188199836318,0.0321379948659387,0,0,0,0,0,0,0,0
ETC,0,0.234382970412279,-0.0754168962970151,0,0,0,0.285875233507212,0.533341503558257,0.0545451134326167,-0.0037487880792383,0,0.00341415586316701,0,-0.231515020585412,0,0,0.116266532925549,0,0,-0.0366998130785376
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.0626452116518873,0,0.0190677774326751,0,0,0,0,0,0,0,0,-0.0290510175880473
CVIX.INDEX,0,-0.0322163407473244,0.056293902057784,0,0,0,-0.310452767169592,0,-0.15611991394144,0.0487714783379762,0.0890468378792984,0.00655029221508757,0.307374330341043,-0.0273749906113131,0.181476254148068,0,0,0,0,0.0598716322897807
DXY.INDEX,0.0299497867432621,0,-0.0142397318330317,0,0.00355693755783577,0,0,0,0,-0.0339783869076484,0,0,0.00907465535910737,0.0237525988927046,0,0,0.0611849627846429,0,0,-0.0000737839365753783
SPX.INDEX,0,0,-0.00583506837338701,-0.000314742881294184,0,-0.0252145976386884,0,0,0,0,0.0155572459951985,0,0.0270871347068291,-0.0244418647431075,0,0,0,0,0,-0.0932830237376898
VIX.INDEX,0,0,-0.063671337863854,-0.0425056113571032,0,-0.185679615300586,0,0,0,0,0,0,0.0646383069807791,-0.086920696738324,0.0503402023216148,0,0.509001960571484,0,-5.88974140944371,0
