,BTC,ETH,XRP,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.142823014261033,0,0.0118848449417062,0,0,0.0722694338294842,0.304369653911411,0.123906858687992,0,0.0919915121513096,0,0,0,0,0
ETH,0,0,0,0.100178283365059,0,0.0503988262503334,0,0,0,0.0917761976997466,0,0.395134439558953,0.0993863619366166,0.0858089433375195,0,0,0,0,0,0
XRP,0,0.223144759546668,0,0.0451669392169528,0,0,0.222406487170234,-0.0117850233834126,0,0,0,0,0.0470605424589761,0.0334079028847755,0.0881720549971169,0,0,0,0,0
BCH,0,0,0,0,0.297261070044424,0,0.202924714873483,0.124176433946234,0,0.523978330724112,0.0766239705737898,-0.346048810002338,0.352743731250854,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,-0.113197692903709,0.704356991914863,0,0,0.0827571086344314,0.0831500573294817,0,0,0,0,0,0
XLM,0,0.0360995478427961,0,0.13863270921014,0.0254688042024579,0,0,0,0,0.0437471925881526,0.0641865422525966,0.24172542847577,0.139089164784522,0.000000000000000000433680868994202,0,0,0,0,0,0
LTC,0,0,0,0,0.217347482656618,0,0,0.0315042464722785,0,0.004333001949639,0.0723112531291436,0.212875554055055,0.108067249408905,0,0,0,0,0,0,0
BSV,0,0.709557304222666,-1.00898348154523,0.40821564356111,0.0546483539187561,-0.376800238110896,-0.384573255022465,0,0.687395405704788,0,0.29569865948824,0,0.442780904802854,0.429658917435596,-0.513551804986561,0,0,0,0,0
TRX,0.155590785598975,0,0,0.0278388725253093,0,0,0,0.0197078907238513,0,0.313016002657944,0,0.256550568480893,0.0676093154265217,0,0.0298959081490885,0,0,0,0,0
ADA,0,0.0429233060862631,0,0.109657928711844,0.258191161404801,0.00976174819847226,0,0,0.222192634521696,0,0.130544723935965,0.142862951465759,0,0,0,0,0,0,0,0
MIOTA,0,-0.00000000000000000173472347597681,0,0.0681501360135377,0,0.334425594503493,0.269322393550925,0.0413143437465555,0,0,0,0.0538170400035148,0.0903421806814396,0,0.0107863708243149,0,0,0,0,0
XMR,0.132918282128559,0.259229228791002,0,0.0205075796761607,0,0.116069862873095,0,0.0053385443587718,0.0568633509680102,0.2247217523873,0.0516369818754717,0,0,0.0950664475161024,0,0,0,0,0,0
BNB,0,0,0,-0.0632506626172667,0.127648421630177,0.0497568556186417,0.290999430403059,0,0.0157858723674932,0.517405391533083,0,0,0,0,0,0,0,0,0,0.0506469802259998
DASH,0,0.433353776179506,0,0,0.086596825468086,0.147754527110229,0,0,0,0,0,0.225475255116179,0.042198997071974,0,0,0,0,0,0,0
XEM,0,0,0,0.165513900138132,0,0.28447482664492,0,-0.000000000000000000867361737988404,0.0686503679525911,0.184759186401721,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0.248108614713028,-0.258636236742316,-0.0427201702001421,-0.00831415956262031,0,-0.089935778705956,0.125737144594338,0.0114551829970785,-0.12186879066753,0,0.0740428287241758,0,0.000000000000000000867361737988404,0.0527837209117858,0.0570945690647163,0,0.0551901792749225,0,0.0621774094217983,-0.0722189992628167
CVIX.INDEX,0,0,0,0.066446153908016,-0.0857316615670917,0.0734091610494435,-0.0192984926385082,0.0198093383256749,-0.0884487513426978,0,0.0900219048086977,-0.0707044965680158,-0.0736957905246667,0,0.0598905297711356,0.120679883996394,0,0,0.325821374063614,0.154286635103636
DXY.INDEX,0,0,0,0.000765011765409303,0,-0.0008982105371908,0,0.00609845015678422,-0.0283984115711246,0,0,0,0,0.00687604448377722,0.0143801355475904,0.0332995835070977,0,0,0,0.00336906323336728
SPX.INDEX,0,0,0,0,0,0,0,0.0124022351234792,-0.00477272449482403,0,0,0,-0.00856432395777585,-0.0396267589356983,0.0264464450090875,0.0653728034619274,0,0,0,-0.114607000986149
VIX.INDEX,0,0,0.631684282878082,-0.00000000000000000693889390390723,0,0,0,0.019621975033126,0,0,0,-0.535100073458244,0.0669489049109335,0,0.1598177268442,0,0,0,-4.46587629140023,0
