,BTC,XRP,ETH,XLM,BCH,EOS,BSV,LTC,TRX,ADA,XMR,XEM,MIOTA,BNB,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.14179384254723,-0.0146491055671506,0.0435450970226367,0.0094962394920506,0,0.0596221247148765,0,0.372015060216235,0,0,0.109944714848846,0,0,0,0,0,0
XRP,0,0,0,0,0,0,-0.0298424820994109,0,0,0.47083051153949,0,0.207757480373242,0,0,0,0,0,0,0,0
ETH,0,0.160955758841119,0,0.0531757380418309,0.0923486067214983,0.0131646068260427,0,0,0.0000000000000000138777878078145,0.117222832745848,0.379044053102906,0,0,0.0132188262888258,0.114807472527739,0,0,0,0,0
XLM,0,0.0701511011468522,0.196987753360894,0,0.203166280029371,0.189335286629644,-0.00235983456366721,0,0,0,0,0,0,0,0.0362754151361104,0,0,0,0,0
BCH,0,0,0.325853213224689,0,0,0.576932869583941,0,0,0,0,0,0,0.167507144214653,0,0,0,0,0,0,0
EOS,0,0.0424038247934983,0,0.562608917132192,0.204202265205061,0,0.021844040866264,0,-0.154406194850753,0,0,0,0,0.0267252272815814,0.193199534498175,0,0,0,0,0.0232396942698623
BSV,1.95297331846996,-1.35362207839897,0,-1.05002679102544,0.742969215755081,0,0,-1.12413801854611,0.687860737418407,0,0,-0.555952942946089,0.520919169056693,0.279375032731693,0.541005745763631,0,0,0,0,0.0137463329928231
LTC,0,0,0,0,0.144532966212273,0.238208390773848,0.0132837034492454,0,0,0,0.259146169498761,0,0.124413692124839,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0,0.00905938171213302,0,0,0.47455313020259,0,0,0.195333231318635,0.264762437400785,0,0,0,0,0,-0.00435831853261692
ADA,0,0,0,0.0459321092113089,0.136846990558792,0.2651111292057,0,0,0.301606543767381,0,0.0734125728810397,0,0.118850704998888,0,0,0,0,0,0,0
XMR,0.237693114534417,0,0.413391575067315,0.0226992650480678,0,0,-0.00544442386668324,0,0,0.139617845035565,0,0,0.15453399180684,0,0.070033523573538,0,0,0,0,0
XEM,0,0,0,0.258112062430561,0.0419036507126504,0,0,0,0,0.231225367841663,0.0912634041902741,0,0.0451534887224298,0,0,0,0,0,0,0
MIOTA,0,0.0933607606593943,0,0.180723684010892,0.0423566407494644,0.0835738171853427,0.0213913013151459,0,0.241731398456467,0.149171243374326,0.00000000000000000693889390390723,0.0760743324715694,0,0,0,0,0,0,0,-0.056030721724436
BNB,0,0,0,0.183898817539738,0.0490000213093733,0.165769046633993,0.0372803491238259,0,0.0418605543802005,0,0.185154525878716,0,0,0,0.270361131109287,0,0,0,0,0
DASH,0,0,0.0681801950144088,0,0,0.199849974469539,0,0.0576064861781066,0,0.403365422654787,0.0395453437490353,0,0,0.262648026153583,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0362440818349808,0,0,0.0142568150879569,0,0,0,0,0.105324746347563,-0.230016634491857,0.128051193369444,-0.0120305300240022,0,0,0,0.316800269381054,-0.0330345132516422
CVIX.INDEX,-0.109656999698325,0,0.47926068172283,-0.0115759337341104,0,0,0,0,0,0,-0.260020501301348,0.0468886275131283,0,-0.101928518185952,0,0,0,0,0,0.0631186209062735
DXY.INDEX,0,0,0.00217408785679755,-0.0138253705951516,0,0.00602170132970517,0.00433444589136942,0,-0.0302983779012122,0,0,0.0103921021234577,0.0157166098184971,0.00100425374626424,0,0.0365990702185357,0.0283417004304436,0,0,0.000410659059548857
SPX.INDEX,0,-0.0446016724078392,0,0,0,-0.0196655534317772,0.00896667969095529,0,0,0,0,0.0142638444723825,0,0,0.0198924983237254,0.0204245751638785,0,0,0,-0.120822498535093
VIX.INDEX,0,0,0,-0.0684005059989152,0,0,-0.000161985077784435,0,-0.0527091521482385,0,-0.0557235780466958,0.234723780925267,0,0.133342927543757,0,0,1.18462036476395,0,-5.42764557128314,0
