,BTC,ETH,STO,XRP,BCH,LTC,INNBCL,BSV,EOS,BNB,XTZ,LEO,XLM,TAGZ5,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.244211317721382,0,0.0038198566509245,0.00915528898689937,0.10140085421933,0,0.204473278344506,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.299805142662526,0,0.00337422000764028,0,0.126155278688984,0,0.253065058350578,0,0,0,0.225501893512306,0,0,0,0,0
STO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.119402747282508,-0.00126514702579949,0,0.0908324360223695,0.0644450402201762,0.0031377505017694,0,0.0943153023120746,0,0.146460498082898,0,0,0.0278601887903698,0.170376114318304,0,0,0,0,0.00604950442002308
BCH,0,0.230143655320625,0.0142569152481523,0,0,0,-0.00182375907375366,0.197534819844501,0,0.259823698640982,0,0,0,0,0.126519422085463,0,0,0,0,0
LTC,0,0.316425952073274,0,0,0,0,-0.00205296058774394,0.043446260649255,0.274463843389781,0,0.0302778429884363,0,0,0,0.139142067144206,0,0.0386677009551163,0,0,0
INNBCL,0,25.2948783304652,-0.679460032849306,8.89626468884401,0,0,0,-6.40341782388234,-7.29556734126444,5.79378660583333,-11.1569721631421,0,0,0,-15.23658196619,-4.83374947177894,0,0,0,-2.40288452874769
BSV,0,0,0.0253520407441236,0,0.432645867292157,0,-0.0202593959752855,0,0.116808377335338,0,0.310758777097619,0,0,0,0,0,0,0,0,-0.0533366546461518
EOS,0,-0.0000000000000000138777878078145,0.0128365944100082,0.243749479093099,0.174689599586053,0.0459311961420263,0.00436068381561478,0.0842166547470511,0,0.103875720152325,0,0,0,0.0406043561695868,0.265914920767973,-0.0733071227811754,0,0,0,-0.0510276197375535
BNB,0,0.209169420504227,0.00461455148219835,0,0.363437844302159,0,0,0,0.121660275583497,0,0.163550663516633,0,0,0,0,0,0,0,0,0
XTZ,0,0.505822388391973,0,0,0,0,-0.00303709056182626,0.0455667467977048,0,0.47411549977403,0,0,0,0,0,0,0,0,0,0
LEO,0,0,-0.014391333212955,0,0,-0.167390754531651,0.00680834896365243,-0.0443423298034277,0,0.227446633419165,0,0,0,-0.0345904278246797,0,-0.0489862128164339,0,0,0,0
XLM,0,0.0376501760773827,0.00927804842008845,0,0.242594841104265,0,0,0,0,0.12780253657889,0.117283743999144,0,0,0,0.137099839458011,0,0,0,0,0
TAGZ5,0,0.26431819438416,0.015151703218803,0,0.243628647294104,0,0,0.0222498834966095,0.107277401466075,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0.210979839836757,0.0153039915560779,0,0.297258009593689,0.0517057414540391,-0.0000000000000000000271050543121376,0,0.285129213849008,0,0.0784939182652637,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.465458823594515,0.0028177020340412,0,0,0.0345573003736658,-0.00690299702040388,0,0,-1.15090591415742,0,0,0.136548437384056,0.0794664799717137,0.402346333121715,0,-0.0531475358356324,0,0,-0.134730610430732
CVIX.INDEX,0,-0.0568105431391562,-0.0267531301054696,0,0,0,0,0.0498551489470755,0.198025333715787,0,0,0,0.197518073460809,-0.398288990981269,0,0.417748365265243,0,0,-1.52550116676151,0.0730502378045036
DXY.INDEX,0,0,0.00188792148664404,0,0,0,0.000161705665828622,0.00750321149377352,0,0,-0.00891198457168966,0,0,0,0,0.0534181099302697,-0.0306219468894124,0,0,0
SPX.INDEX,0,0,-0.0366919188637055,0,0,0.0100780526966059,-0.00176485712368446,0,0.0391074105034896,0,0,0,0,-0.0234811492479261,0,0.0215671082349418,0,0,0,-0.173008342406686
VIX.INDEX,0,0,0.0141291253390694,0,-0.286758565333957,0,-0.0107484804562865,0,0,0.285785488527944,0,0,-0.198162746335165,0.257317659096193,0,-0.168381720486426,-0.0916395465947885,0,-3.04114446217439,0
