,BTC,ETH,XRP,LTC,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0846085521300751,0.0315349381271814,0.28457024946569,0,-0.0471447289475024,-0.0249741979647787,-0.00308310499548532,0.0839997106006865,0.017540850263922,0,0,0,0,0.0217454616024549
ETH,0,0,0.441652154940675,0,0.200220225372549,-0.580468074722007,0,0.171716674882342,-0.218062983698682,-0.00917868673625538,1.36225866593096,-0.249805837894788,0,0,-0.210248601695396
XRP,0.52502387140135,0.106418498729449,0,0.0336547455947431,0.156405881137883,0.198935279948444,0.0577322450207721,0.0669403132255685,0.163847852180901,-0.10855928949078,-0.454318787531512,-0.216651053575275,0,0,0.0528757223022134
LTC,0.295592782101647,-0.0323269259187943,0,0,-0.0127329152274957,0.0294606545631519,0,0,0.0325009841911241,0.00356607819648688,0,0,0,0,0
DASH,0,0.0380522182445824,0,-0.183029311225661,0,0,-0.0843060535515908,0.0721851729159935,0,0,0.270967186477367,0,0,0,0
DOGE,0,-0.011270860526679,0.0409137456159129,0.3205834382716,0,0,0,-0.102573278454013,0.249079742771013,0.0561060054078119,0.205166588888639,0,0,0,0.0539510726810733
XEM,0,0,0,0,-0.0763790570982108,0,0,0,0,0.14451935207743,0,0,0,0,0
XMR,1.74038993647211,0.453581837843412,0,0.0589079010705678,0.529367554219327,0,0.102583684050267,0,0,-0.078854310305818,-0.250404308031812,-0.430229546642865,0,0,-0.371957199309952
XLM,0.335688994836547,-0.137110063538957,0.369485622144186,0.519202844944427,0.0507620208982277,0.320268668904726,0.185586807365224,-0.0654855524849862,0,0.0956004376260831,0,0.311096208349983,0,0,-0.00000000000000000693889390390723
DGB,4.52745758668301,0.607365797188815,-2.13814212423431,-0.879227741960585,0.129438944418955,0.451125911556927,0.0430177711688038,0.00747158437926423,0.37385503661488,0,0,-0.768027446027046,1.42512432135305,0,-0.158221938048752
BV010082.INDEX,0,0.0909453390443511,0.091352020027041,0.253383192904654,0.0776399414731352,0.141566309749732,0.0788112134845953,0,-0.0856520965338578,-0.0969010003246076,0,0.164364199507146,0,0,-0.0587576577284865
CVIX.INDEX,0.105061919025535,0,-0.1477668599973,-0.437405986327999,0.0649732277799145,0.0796920396646459,-0.0169443418202496,0,0,-0.00704864656935776,0,0,0,0,0.164776323559479
DXY.INDEX,0.0360872507567312,0.00867838924728001,-0.0378019821024593,0.0289906335781219,0.000000000000000000867361737988404,0.000325575230000657,0.00625950548420431,0,0,0.00666842229442086,0.0143631980079886,0.0756463924614536,0,0,0.0152608803501532
SPX.INDEX,0,-0.0121861576180731,0,0,-0.00878958347981203,0,0,0.00575121753858916,-0.000634605172187313,-0.00570148094979106,0.0397439141817199,-0.0127685849219582,0,0,-0.0912042302518559
VIX.INDEX,0,-0.12657099227,0.193616109899589,0,0.124941287206198,0.205606644106079,0,-0.0460673795061043,0,-0.105320252103766,0,0,0,-3.54687311333652,0
