,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,TRX,ADA,LEO,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.279783484366119,0.261837906182545,0.049765958205472,0,0,0,0,0.0335559949219834,0.0202068237706691,0,0,0,0.0392851370414021,0.358545037294096,-0.151643360828122,0,0,0,0.0362961943707128
ETH,0.437620078047987,0,0,0.034008306044754,0.0713631477077968,0,0.035647943494451,0.0485357383370343,0.0566773693339123,0,0,0.0914269217524467,0,0,0.0705475074272577,0,0,0,0,0
XRP,0.0172577706328206,0,0,0.30289188137206,0,0,0.17156326996202,0.00364059461844525,0,0,0.0240197487983987,0.209723524878772,0,0,0,0,0,0,0,0
BCH,0.252910925587102,0.382193216449493,0,0,0.0285970900641613,0,0.189219544690313,0.174534873662597,0,0.0161486343280768,0,0,0,0.00193892019133645,0,0,0,0,0,0
LTC,0,0,0,0.191400563607824,0,0,0.318120932441185,0,0,0.119121630850811,-0.000000000000000000867361737988404,0.171012314737647,0,0.0121088839517445,0,0,0,0,0,0
BNB,0,0.119652325880305,0,0,0.136084594968411,0,0,0.00000000000000000346944695195361,0.212369133724909,0,0,0,0,0.0848257972313099,0,0,0,0,0,0
EOS,0,0,0,0.125191057800984,0.26364141290165,0,0,0.231988603588922,0.12010334513928,0,0,0.208612025969207,0,0,0,0,0,0,0,0
BSV,0,-0.124134116090865,0,0.263052147537258,0,0,0.267281408782429,0,0,0,0.529176337276363,0,-0.0295679972332984,0,0.221851300018498,0,0,0,0,0.173209580000075
XMR,0.00000000000000000693889390390723,-0.112963170093256,0,0,-0.21618038775852,0.342248926772395,0.436232310029153,-0.0390904715361237,0,0,0.330253971632187,0,0.410449458467158,0.145007271145088,0,0,0,0,0,0
XLM,0.0682410589446796,0.114207894497253,0,0.0913124874354169,0,0,0.00284425660313644,0,0.139469877890702,0,0,0.32653815187719,0,0.0295075177001216,0,0,0,0,0,0
TRX,0.19564603281956,0,0,0,0.170459509101555,0,0.0000000000000000277555756156289,0.200546019713372,0.356633252951721,0.0616744369085082,0,0.244603113889354,-0.149387879819432,0,0,0,0,0,0,0.0349086659807328
ADA,0,0.207379070259004,0,0.0000000000000000277555756156289,0.116415605918125,0,0.0232075241881927,0,0.00000000000000000173472347597681,0.233503572737541,0.229718990635401,0,0,0,0,0,0,0,0,0
LEO,0,-0.102906481978898,0,0.234796989002923,0.0608388530748546,0,0,-0.00000000000000000693889390390723,0.384396779675604,-0.0482082506065066,-0.240316218062722,0,0,0,0,-0.140301682781119,-0.0842144225510899,0,0,-0.0872611204267521
XTZ,0,0,0,0.115944742443059,0,0.0811586411365459,0,0.363205591468526,0,0,0.155188989187785,0,0,0,0,0,0,0,0,0.224086201214662
DASH,0.24517302774489,0.122024769992432,0,0,0,0,0.125432996036378,0.0810720232094577,0.147338261160913,0,0.0727914059068061,0,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.195817094819421,0,0.117141694615122,0,-0.0280942999223096,0,0.237574403969376,0,-0.580822597649187,-0.601669856140025,0,0.657458134653088,0,0.225074986322861,0.100838091142673,0,-0.482870220481331,0,0,-0.0732017323333793
CVIX.INDEX,-0.205245660432022,0,0.167259781332659,0,0,0,0,-0.00313254223213123,0.0789239984373027,0,0,0,0,0,0,-0.19848935344372,0,0,0,0.150637167109158
DXY.INDEX,0.0152312400745746,0,0,-0.00214379992370675,0.0284996052675864,0,0,0.00092702431089923,0,0,-0.0224761088126202,0,0,0.00341717432416142,-0.0327578792472348,0.0625563749224117,0,0,-0.101318576360335,-0.00840942425236862
SPX.INDEX,-0.00752529440339494,0,0,0,0,0,0,0,0,0,0.00840509775630979,0,0,-0.00575834891593842,0,0,0,0,0,-0.0825214639460552
VIX.INDEX,0,0,0.695400762184365,0,0.0636217386574084,0,-0.543712513379629,0.144482426855881,0,0,0.142445846792257,0,-0.0769246927509428,-0.24629412545091,-0.0135103991824903,0.444599713314909,-0.0055630520610779,0,-3.36079524279092,0
