,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,BAT,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.153217405937026,0.0560548449349892,0.0423411374678882,0.0481386571541691,0.112311739607078,0,0.116726148503496,0,0,0.0373375839896517,0,0,0,0,0,0
ETH,0,0,0.0233297314849261,0.0435702980732725,0.245786586216259,0,0.00751955283888415,0.0113491712189405,0.185747882737523,0.101748489157378,0.00000000000000000346944695195361,0,0,0.0721895980453623,0,0,0,0,0,0
XRP,0,0,0,0.028061852281415,0.0136101415137353,0,0,0.00956324241834427,0.0528523740252395,0.0800458686295052,0.015707266909863,0,0,0.136662416010828,0,0,0,0,0,0
BCH,0,0,0,0,0,0.165799440473142,0.59382124979238,-0.0527907543236647,0,-0.0577543005032174,0,0,0,0,0,0,0,0,0,-0.285321941074564
LTC,0.0518776073845568,0,0.0633588025895465,0,0,0,0,0.0195843676105357,0,0,0.765949967328139,0,0,0,0,0,0,0,0,0
DASH,0.142032681744303,0,0,0.0890435631235472,0,0,0.0931444119757537,0,0.0991414958721941,0.0507685781230829,0.0985155682264472,0,0.0238217037261358,0.132233441748041,0,0,0,0,0,0
XEM,0,0.186681653532431,0,0,0.138961715852398,0.19568104521278,0,0.0707281230403072,0,0,0,0,0,0.0640907734794577,0,0,0,0,0,0
NEO,0,0,0.141297189595806,0.0467255263356719,0,0,0.434519545886893,0,0.242766121922397,0.13235967539076,0,0,0,0,0.107176255994518,0,0,0,0,-0.293983908957058
MIOTA,0,0.0935615131511548,0,-0.0924526108728007,0,0.0315332465130848,0,0,0,0.058233297621272,0,0,0.391909448942243,0,0.312169949536909,0,0,0,0,-0.0186275598609547
XMR,0,0,0.270174490065031,0.0745042322987258,0.0374150992327532,0.0296715063940093,0.10801623922072,0.0534778219504309,0,0,0.0898781292383119,0,0.214150997192244,0,0,0,0,0,0,0
ETC,0,0,0,0.0270230817875914,0.597112527509211,0.0742070667933416,0.000000000000000000867361737988404,0,0.121044956394586,0.016539657477479,0,0,0.0264256844515702,0.0142593674690842,0,0,0,0,0,0
ADA,0,0,0,0.000589060155793634,0,0,0,0.000327570446392881,0,0.000753239459330712,0,0,0,0,-0.00187136340190012,0,0,0,0,0.000457078176167055
ZEC,0,0,0,0.0457243188228918,0,0.256046288400837,0.163346765338008,-0.020248555949369,0.190972375216291,0.0180018340270041,0.213127712058431,0,0,0,0,0,0,0,0,0
BAT,0,0.168108176516902,0,-0.119466305540463,0,0,0.312419667019852,0,0.0519820890264782,0,0,0,0.269158253056638,0,0.0121941401047984,0,0,0,0,-0.0639094595971508
EOS,0,0,0,0.0724620203784613,0.396570641846052,0,0,0.161330902975898,0.248890702381043,0.124666715013323,0,0,0.140060689769249,0.0915317973542581,0,0,0,0,0,0
BV010082.INDEX,0,0.00277136295805449,0,-0.00347200149620691,0,-0.0639805019549773,0.0390300171090461,-0.00561509711095893,-0.0164561709258183,0.00801637625920555,0,0,0.0712838357105182,0.00665880895018188,0,0,0,0,0,-0.0858003823831027
CVIX.INDEX,0,0,0,0,0,0,0.0385292001690019,0,0,0,0,0,-0.02585054909846,0.0420263123547465,-0.0659330757696392,0,0,0,0,0.0760561033668938
DXY.INDEX,0,-0.0172340725116465,0,0.000565193630341403,0.00614623916624559,-0.0185045137518376,0,0.00390100499831948,-0.0000000000000000000542101086242752,0,0,0,0,0,0.0173622794834288,0,0,0,0,-0.0024020852290664
SPX.INDEX,0.000763977315135706,0,0,-0.0000014361929209277,0,-0.0107721057302236,0,-0.000605508710831702,0,-0.00368332338294254,0,0,0,0.00863112208186421,0,0,0,0,0,-0.0475562244609376
VIX.INDEX,0,0.0383475634767105,0,0,0,-0.31424476552663,0.0185850506141443,0,0.110193060226657,0,-0.0548238687202738,0,0.211508806945318,0.193663219676455,-0.304175630855395,0,0.614523396826455,0,0,0
