,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0696624400806245,-0.0359070456179335,0.0624271614848266,0.0362220180432045,0,0,0.0652289129049564,0,0,0,0.0194478747470492,0.061470933664795,0,0,0,0,0
ETH,0,0,0.0086072171516769,-0.0451514899927583,0,0.119280013884482,0,0.130462399510735,0,0,-0.0799140848332844,-0.000000000000000000216840434497101,0.0660983984931851,0,0,0,0,-0.0543987362662327
XRP,-0.453645475132348,0,0,0,0,0,-0.458712460408931,0.260185395430928,0.491734958510724,-0.0000000000000000000542101086242752,0,-0.159992845743916,0.135909784898944,0,0,0,0,0
XEM,0,0.0939144761739874,-0.0499021387373997,0,0.192747082143026,-0.422426901086542,0,0.0192899301297075,0.1235927773497,-0.145441668653207,0.303177857268393,-0.0029928527198871,0.36332273041924,0,0,0,0,0.0487357901936416
LTC,0.515252786616626,-0.0143123515172186,0,0,0,0,0.181900789223555,0.119114565639603,0.109486573521471,0.0837824308999225,-0.0342570651706379,0,0,0,0,0,0,0
ETC,0,0.127865237869112,-0.0140611983405929,0.0374934863935123,0.144576346418683,0,0.183214481284173,0,0,0,0.0819887979391487,-0.0371603310191167,0.0344186388701693,0,0,0,0,0.0691286044392805
DASH,0,0.0392065336833862,-0.0873498238412622,0.205072442544842,0.061416599274359,0,0,0,0.000659738025417196,0,0.409341163827171,0.000000000000000000433680868994202,0.115246548344252,0,0.0345389956719829,0,0,-0.138451609681665
XMR,0,0.290318348970095,0,0.210386953779411,0.117547920896195,-0.271203311851232,0.175891491819338,0,0.0528090712829673,0,0.10737671776509,0,-0.071857941552558,0,0,0,0,0
XLM,-0.37457153351599,0,0.364238413039243,0,0,0,0.167272640971367,0.321591713865771,0,0.034690367843111,-0.155652253179774,0.128444055591527,0.193834847492702,0,0,0,0,0
DOGE,0,0,0,0.00899488073916613,0.272983674278764,0,0,0.022764022638631,0.251215337695547,0,0.254204554161936,0.0112294530953877,0.125942562285101,0,0,0,0,0.462882867054748
ZEC,0,0,0,0,-0.103146466137056,0.0755537790772089,0.126484809923505,0,-0.0107472671503852,0.143561653006199,0,0.0214345869471842,0.00835105015361544,0,0,0,0,0
DGB,0,0.0441412971866147,-0.00000000000000000173472347597681,-0.0983274778667361,-0.248884428024517,-0.0630082215090519,0,0,0.075729996902111,0,-0.181879235408866,0,0,0,0,0,0,0
NEO,0.620653464209918,0.446548488907947,-0.00611965250469849,0.0367043041377099,0.287212750641045,0,0.237816540654356,0.231532797641508,-0.0259818740403082,-0.0804563166891128,0.170847618705655,0.144824814537625,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0270310328062323,0,0,0,0.0192930256203628,0,0,0.0112735655109254,0,0,0,0,0,-0.0405778073707911
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0197603958477468,0,0,0,0,0,0
DXY.INDEX,0,0.00519284677547044,0.0017213581095291,-0.0148032478466283,0,0.0202593753774729,0,0,0.00736025434111031,-0.00672450331888362,0,-0.00270946267595188,-0.00722394686552856,0,-0.00399912806563005,0,0,0.0115781568776369
SPX.INDEX,0,0,0,-0.00275938036357503,0,0,0,0,0.00328893762235018,0,-0.00282032960719624,0.00170226279757909,0,0,0,0,0,-0.0377896640349056
VIX.INDEX,0,0,0.0181821995688309,0,0,0,0,-0.0857236516113905,0.0852916377508095,0,0,-0.0834842947189727,0.0352865998991157,0,0,0,0,0
