,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.22213520471198,0,0.0805086391367853,0,0.0953631888530427,0,0,-0.00000000000000000173472347597681,0,0,0,0.0545473400001084,0.00953068082876873,0,0,0,0,0,0
ETH,0.118985732398374,0,0.306817689685934,0.054315690997299,0,0.190624812938575,0.0777240664257267,0.0762584682621138,0,0,0.0827325860828422,0.023046452159191,-0.00000000000000000173472347597681,0.0281579326194445,0.0807265543297156,0,0,0,0,0
XRP,0,0.219026570640493,0,0,0,0.123052922315242,0.0483090721986908,0.114281938176452,0,0.102767233507074,0,0,0.00635126870672596,0.0486172028601479,0,0,0,0,0,0
BCH,0,0.0785864771249675,0,0,0.222409605664799,0.140527510124827,0,0.121446085394225,0.292000643497246,0,0,0,0,0.00607886017272817,0,0,0,0,0,0
LTC,0,0.0359877814517967,0,0.185974795738602,0,0.219676076765489,0.119023308471719,0,0.110337091510059,0,0,0,0.252450189997508,0.0420419566362532,0,0,0.0464329784364323,0,0,0
EOS,0,0.0837665610800107,0,0.114522209172794,0.486524242725498,0,0,0.0666097364953833,0.126768818688616,0,0.147717165107954,0,-0.096181805511914,0.104914182478433,0.0950351826993654,0,0,0,0,0
BNB,0,0,0,-0.05032164921658,0,0,0,0,0,0,0.171513222317635,0.337611246087563,-0.0732400088619688,0,0,0.0510458148697554,0,0,0,-0.211947553345201
XLM,0,0.145749499671811,0.322468783112732,0.0781243326708986,0,0.130782686155361,0,0,0,0,0,0.0235060869738705,0,-0.00000000000000000173472347597681,0.0376755236760275,0,0,0,0,0
ADA,0,0,0.0805676173126112,0.328429638607765,0.0975383330560683,0,0,0.0643447326853852,0,0,0,0,0.0939876956797353,0,0.140600655603883,0,0,0,0,0
TRX,0,0.0273664841965284,0,0,0,0.150561333576945,0,0.246460475600537,0.00000000000000000693889390390723,0,0.253862106568537,0.142154015104095,0.0843736549022134,0.0830186639733992,0,0,0,0,0,0.0724101811637916
XMR,0,0.320702675456005,0,-0.0660687189465555,-0.0228141987924833,0,0.103190704593195,0.21864774538271,0,0,0,0.2736111140188,0,0.00951664194099343,0.0842551753684673,0,-0.0285571779219899,0,0,0
DASH,0,0.428484914365792,0,0,0,0.000000000000000000216840434497101,0.066359886997842,0.123801492571174,-0.00000000000000000173472347597681,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0.47062172165185,0,0,0.101756857188029,0.195374126380181,0.123255539943204,0,0,0,0,0,0,0,0,0,-0.0137946232665742
XTZ,0,0,0.651103980396482,-0.172659424677765,0,0.131410881237635,0,0.964446365476951,0.202690216052413,0,-0.479437084184596,0,-0.168978629381909,0,0,0,-0.560626039249736,0,0,0.0222138472663693
MIOTA,0,0.424305903433142,0,0,0,0,0.0434565713642714,0.0740576117582903,0.106709255371992,0,0,0,0,0.0189716870277714,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.0675583127825921,0.0138897072350522,0,0,0,0,0,-0.0365492096221858,0,0,0,0,0,-0.114993698132264
CVIX.INDEX,0,0,0,0,0,0,0,0.301041635397435,0,0,0,0,-0.0590066655348263,-0.228816796138251,0,-0.242388286381176,0,0,0,0
DXY.INDEX,0,0.00229743057115744,0,0.00261342602968776,0,0,0,0.00831403276531479,0,0,0.0119776759639194,0.0176319143705238,0.0144310747716855,0.00196464598125029,-0.0715826684593448,0,0.012223408482955,0,0,0
SPX.INDEX,0,0,0,0.0145230566495342,0,0,-0.0058204733360213,0,-0.0164839803971211,0,0.0414359372657042,-0.00896046541833307,0,0,-0.0188391196053307,0.00497972798409818,0.007575151254476,0,0,-0.0866149367498404
VIX.INDEX,0,0.00116584229544194,0.010183665138381,0,0,-0.406765396532729,0,0,0.0241888331009434,0.409651087279875,0,-0.472641635045173,0.37401255888326,0.0436661507466837,0,-1.05196473187481,0.0569646525361595,0,-1.53425582077284,0
