,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00605717662187958,0.0795664205224061,0.324022844395411,0.175204642863086,0.217096555590416,0,0.128000256274058,0,0.0522817172017174,-0.0639147473603681,0.0426696372715887,0.066162197508948,0,0,0,0,0
ETH,0,0,0,0,0.114753593471343,0.257229200590277,0.0640647160283823,0,0,-0.0086097020539114,0.00764040538565047,0.223358077697415,0,0,0,0,0,0
XRP,0.0313336308573595,0.108306690961634,0,0,0,0,0,0.070261333926295,0.22704417381351,0.0505759364954197,0,0,0,0,0,0,0,0.0613444777224546
LTC,0.651782762014495,0,0,0,0,-0.13490489924224,0.118588122535003,0.111553262662021,0,0.0766140763022536,0.0968092035193008,0.00577295348594994,0,0,0,0,0,0
XMR,0.430744166661899,0.294313168558261,-0.383810516669134,0.348668661867107,0,0.109651204950178,-0.150034420649703,-0.115455132327305,0,0,0.167546915848728,-0.0333426938136456,-0.117375670177067,0,0,0,0,-0.0709744711813489
DASH,0.241967992776968,0,0,0,0.191961088995706,0,0.241276167341803,0.124721159429913,0,0,0,0.000000000000000000433680868994202,0,0,0,0,0,0
ETC,0.265326071539416,0.347561022332572,0,0,0,0.026333965561742,0,0,0,0.112338221140444,0.288684651252263,0.0629248148675371,0.0985161151520776,0,0,0,0,0
XEM,0,0,0.0154503138872531,0.257561650288727,-0.0836782840156819,0,0.0398076449642921,0,-0.451478330668263,0.251922169448902,0.312261807600679,0,-0.168694409666531,0,0,0,0,0
DOGE,0,0,0,0.226034703227878,0.000000000000000000867361737988404,0,0.0226823821206605,0,0,0,0.186149186749836,0,0.0503307066051386,0,0,0,0,0
ZEC,0.51009009974933,0.0191641103051337,0,0.258378547580754,0,0.021637316594669,0,0,0,0,0,-0.111962895681248,0.212997951823842,0,0,0,0,-0.0647596058230883
XLM,0,0,0,0.0902358854430504,0,0,0.248565470598752,0.0749013100654094,0.0574861998812886,0,0,0.093014616511231,-0.0333776081165262,0,0,0,0,-0.000000000000000000867361737988404
NEO,0.319997467631544,0,0.471571698937488,-0.283024035961611,0.139503991420655,-0.450247036228886,0.0606802242946997,0.0701544913587867,0,-0.0774685295756781,0.775782881024034,0,0.0501925778187743,0,0,0,0,-0.295015089404832
DGB,1.14067173575533,0,-0.177728725455989,-0.658450556528936,-0.441359699918367,0.287269919721885,-0.00000000000000000346944695195361,0.0448482021748741,0,-0.0299796909494428,0.213076198508308,0.197021208458133,0,0,-0.867631568325059,0,0,0.289188513307997
BV010082.INDEX,0,0,0,0,0.0735466630586051,0,-0.0254059086178434,-0.0376199080281777,0.0815088462413795,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0.120301350713716,0,0.122831404059439,0.0398981839755934,-0.0360752128508644,0.033912337491427,-0.104143769421446,0,-0.0309121197469856,0,-0.0172581923682587,0,0,0,0,0,0.0603718530452689
DXY.INDEX,0,0.0102637470610532,-0.0236234297298958,0.0170056005167133,0,0.0074798065312128,0,-0.00599731651244471,0,0.00470089692120786,0,-0.0037510682796414,-0.0107849357709041,0.146596826075813,0.0238209360217092,0,0,-0.00902741936060144
SPX.INDEX,0,0,-0.00630518731036733,0,0,0,-0.00605183037687962,0.00490043918493911,0,-0.00611557570090852,0,0.00565506813647829,0.00104625649970969,0.0370637414306294,0,0,0,-0.0532131260141674
VIX.INDEX,0,0,0.466291738293616,0.0938560442413944,0.188658200520092,0.0505807130323327,-0.480095687406909,-0.199782134853528,-0.0526121797295004,0,0.0760028002258081,0.0659310461487001,0,0,0.138659554281279,0,-2.72931726271612,0
