,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,NEO,XLM,DOGE,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.166855730542655,0,0,0.0904425459948813,0,0.102647258192536,0,0,0.00113876303445087,0.0120950088481467,0.0532776347091225,0.0374965314972941,0,0,0,0,0
ETH,0,0,0,0,0.185417304675704,0,0,0.0480178250943597,0,0.0440423972000085,0,0,0.0849093901145931,0.0170891878970585,0.215624432012115,0,0,0,0,0
XRP,0,-0.149394649944534,0,-0.0979225174675228,-0.271509209813224,0,0.397137511397529,0,0.241272415608212,0.0115337688655964,0,0.253357335607776,0,-0.0431859258016945,0,0,0,0,0,0.00638217598965325
LTC,0.470061412660931,-0.0808714059841365,-0.127966438072862,0,0,0,0,0,0.0924794788620543,-0.0445942079952321,0.175366616630062,0,0.0853675382292585,0.0201682194149169,0,0,0,0,0,0.0338217961203401
ETC,0,0.234151568321161,-0.0947338317309165,0.150544518839179,0,0.0226469686974751,0.0581852498073976,0,0.141040417636155,0.0463206101125867,0.0423436409780198,0.0262305545190897,0,-0.0489825920571782,0,0,0,0,0,0
XEM,0.0947378547500718,0,0.223340372025916,0,0,0,0,-0.051229957923422,0.123025861633398,0,0.0622294412423353,-0.0822766258657498,0.332361434466523,-0.0476924845140244,0,0,0,0,0,0
DASH,0,0.0529020908674728,0.0485864376401727,0,0,0,0,0,0.39360086624702,0,0.0756609754829574,0.0625279226163293,0.0320064722572634,0,0.0301160732675136,0,0,0,0,0
MIOTA,0,0.0758249423900634,0,0,0,0.0657817330482195,0.203094704481161,0,0,0,0,0.0282613713044805,0,0.0572589109926673,0,0,0,0,0,0
XMR,0,0,-0.119748783118427,0.142084293305637,-0.174799258903112,0.211171769091019,0.613774918581615,0,0,0,-0.140208236791719,0.0989223092416533,-0.0719364809199912,0.0183091957388353,0,0,0,0,0,0
ZEC,0,0.123335453691665,0,0.000596399799095943,0,0,0,0,0,0,0.0567278559936853,0,0.208085078103376,0.0121964877345227,0,0,0,0,0,0
NEO,0,0.0607598539505243,0,0.680392313245923,0.191975325489232,0,0.162827746832093,0,0,0.377737859221387,0,-0.00160162873150707,0,0.126906151258448,0,0,0,0,0,0
XLM,0,0,0.490421500828317,-0.28914488451827,0.0542262423756823,0,0.031038813982055,0,0.524775542247307,-0.195471171499504,0.106542355505531,0,0,0.0737277474505882,0.167229453297545,0,0,0,0,0.125140756896068
DOGE,0,0.00687380430173318,0,0,0.194527868132844,0.308862136833643,0.145493571582953,0,0,0.267089087789171,0.0396115974323511,0.106614653571549,0,0.0528201979891686,0,0,0,0,0,0
DGB,0,0,0.595357375356288,-0.215676223458091,-0.0512923543600007,-0.258655305507625,0,0,0.422717184999515,-0.375663321638951,0.171999645000619,-0.338036720740589,0.839643373581668,0,0.319897850875928,0,0,0,0,0
BAT,0,0,0.162678349831135,-0.10323582392239,0,0.0214727398646144,0,0,0,0,0,0.0363886849968996,0.134165501533513,0.0387007041981299,0,0,0,0,0,0.0581483790219627
BV010082.INDEX,0,0,0,-0.0268446718610066,0,-0.0286100931256964,0,0,0,0.0267159395145722,0.00809543733476531,0.0219890922794106,0,0.00777890273465369,0.000251244568942797,0,0,0,0,-0.0055445544166862
CVIX.INDEX,0,-0.0975608070931507,0,-0.0782533979292875,0,0.0446133746594602,0,0,0.0628897010398708,0,0.0379967528773882,-0.00972233381988649,0.0922731478205931,-0.0183383779061937,-0.000330558714507827,-0.0463561072291799,0,0,0,0.0276917668736443
DXY.INDEX,0,0.00924399617888265,0,-0.00311969649795917,0.00984737392487572,0,0,0,0,0.00349094911176267,-0.00221959914371181,0.00439817352847852,-0.0170496602796306,-0.00136158793081394,0.00193710709721027,0,0,0,0,-0.00437853832060956
SPX.INDEX,0,-0.00203014014266518,0.00195396698142721,-0.0055965901951427,0.00714606709660625,0.000892606416639493,0,0.0000000000000000000542101086242752,0,0.0030605108608053,-0.00161086123076065,0,0,0,-0.00264012717342286,0,0,0,0,-0.0448629406089935
VIX.INDEX,0,0,0.125085908084102,0,0.164376307372361,0.0330110726665846,0.251170006255623,0,-0.201634783858501,0,-0.132244733034626,0,0,0,0.0764033939530067,0,0,0,0,0
