,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,ADA,TRX,XMR,XTZ,ETC,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.100172150961057,0.00643212080864179,0,0.0991020795521797,0.221904111044426,0,0.0839747176367597,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0964655326619392,0,0.188580463051265,0.185737643544221,0.112889156759131,0,0.0863157877054561,0.111494117090594,0.115246600711263,0.0253221796852377,0,-0.00000000000000000346944695195361,0,0,0,0,0
XRP,0,0.213238958376621,0,0.143745175180569,0.0220233804409782,0.0000000000000000138777878078145,0,0.176721989749519,0,0,0.0423367949236701,0,0.030426758931382,0,0.0162681558147263,0,0,0,0,0
BCH,0,0,0,0,0.206092548707872,0.29707621165485,0,0.368943208878147,0,0,0,0.0257329549592163,0,0.100795451494546,0,0,0,0,0,0
BSV,0,0,0,1.06970011268567,0,0,0.818444216786522,0,-0.969260282391404,0,0,-0.119281912709745,0.144648939181331,0,-0.208045392900165,0,0,0,0,0
LTC,0,0.0864138452433871,0.0956700189207204,0.0581539711683836,0,0,0.579493377712303,0,0,0.0668297171579954,0.000606751598709758,0,0,0,0.0410337097130606,0,0,0,0,0.00941623685538019
EOS,0,0.327248870327838,0.0828337511232841,0,0.0637452540327614,0.399730938180882,0,0,-0.0531852307648108,0,0.202747725097556,0,0.0593768189486459,0,0.0297207460343174,0,0,0,0,0
BNB,0,0,0,0,0,0.379100428130269,0.00904478620292521,0,0,0,0.0144223429387473,0.230730856387466,0.0169436648716749,0,0.0987971108679014,0,0,0,0,0
XLM,0,0.17758295738605,0.276166104604189,0.123491878473452,-0.0536328744619442,0,0,0,0,0,0.137377881892069,0,0.124113876563833,0.00646443447010794,0,0,0,0,0,0
ADA,0,0.216806992153482,0.163183703285001,0,0,0,0,0.106403025715321,0.10622468921147,0,0.298186263503039,0.163859892888144,0.0599651054382485,0,0,0,0,0,0,0
TRX,0,0.184234177569432,0.357613439358075,-0.00000000000000000346944695195361,0.00895836057673485,0,0,0,0,0.266186437147422,0,0,0,0.132475121874403,0.0800314302293808,0,0,0,0,0
XMR,0,0.0608449495498248,0,0,-0.0737947759775597,0.0311125379427913,0,0.606376307543759,0,0,0.0209809344602378,0,0.036733500193102,0,0.113703457176965,0,0,0,0,0
XTZ,0,0,0.56885634583355,0,-0.0410429313980314,0,0.308250615170023,0.259920676789394,0.276893114031494,-0.00000000000000000173472347597681,-0.481389370491702,-0.294637141077707,0,-0.00524071677898337,0.146965012234458,0,0,0,0,-0.0863898554508517
ETC,-0.342370410922461,0,-0.336449098523563,0.34308405670968,-0.0560455278622841,0,-0.0335965758715469,0,0,0,0.372159470170441,0.216419820235057,0.167487432862823,0,0.345727691385562,0,0,0,0,0
DASH,0,0,0,0,0.214370493924996,0,0.594037815795973,0.277997404286815,-0.537772974259757,0,-0.0746326580639907,0.116738676581057,0.113494731941433,0,0,0,0,0,0,0.281830091708921
BV010082.INDEX,0,0,0,-0.0209652668695029,0.0320546785662323,-0.32525325307217,0.0343107758950012,-0.129215082215311,0.132906905300292,0,0.296132204041518,0,0.00627527691002706,0.025009515544018,0,0,0.0878066549308425,0,0.117576462956004,-0.0445213303243687
CVIX.INDEX,0,0,0,0,-0.00222287545983809,0,0,0.33086162561613,0,-0.130094629703665,-0.0559653645036075,0.0929811226453797,0,-0.133087006649096,-0.0241005484156663,0.711120760268562,0,0,0,0.104919851801539
DXY.INDEX,0,0,-0.0000000000000000000135525271560688,0,0.00486328809035168,-0.0387936503397586,0,0,0.044122958759328,-0.0149695106548636,0,0.00962971446154972,-0.00617418974789123,0,0.00280012416254165,0.0668307138400117,-0.00912301623406972,0,0,-0.00819116839878724
SPX.INDEX,0,0,0,0.00378052472641273,0.00386403173121373,0,0.00874928176376063,0,0,0,0.0111255442540482,0,-0.00131267143550311,0,0,0.0303682896290805,0.0122509648032158,0,0,-0.0379037687861033
VIX.INDEX,0,0,-0.185272785615533,-0.438207053731787,0.132045170436393,0,0,0,0.520729451607843,0,0,0,-0.226960123881726,0,0.0305972699843775,0,0.154311769715522,0,-4.63512567555921,0
