,BTC,ETH,BCH,XRP,LTC,MIOTA,DASH,ADA,XEM,BTG,XMR,EOS,XLM,ETC,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.448996339757703,-0.103138517583274,0,-0.152206154401955,0.129355235640041,-0.000000000000000000867361737988404,0,-0.0267952156743057,0.0127747950837902,0,0.145240910974291,0.020925078043398,0.0710077841945842,0,0,0,0,0,-0.176037278909491
ETH,-0.188404815712434,0,-0.0680141848736109,0.0434109562418529,0.186289346074405,0,0,-0.0317698421065635,0.00266918639348392,0.0499209041164811,0.111212837035585,0.0557843491712243,-0.0125740227128163,0.0773537188381824,0.109425426388314,0,0,0,0,0
BCH,0,0,0,0.208568379350837,0,0,0,-0.0613831409535142,0,0.0907020981669014,0,0,0.0773497106471209,0.0395009285982003,0.06071220096618,0,0,0,0,0
XRP,0,0.318744854012581,0.109651168862879,0,0.0501996019486816,0,0,0.149581201898245,0,-0.035991781467027,0.159828261398786,0,-0.0231128491729519,0.0654695836243915,0,0,0,0,0,0
LTC,0,0.132833724920359,-0.124249503622639,-0.067717107513109,0,0.0194800060694728,0,0,0,0,0,-0.00738950058508951,0,0.254721002114455,0,0,0,0,0,0
MIOTA,0.0466644703759163,-0.148541383819936,0,-0.305201235215992,0,0,0.028504309859645,0.134699572272727,0.240314018903485,-0.142061022324354,0.3099862171282,0,0.0831003425080534,0.20713616218501,0.0861539726661125,0,0,0,0,0.0364108498090939
DASH,-0.236517734082878,0,0.0336222163981325,0,0.074871676471655,0.0581443979268459,0,0.00715566334114199,0.0182312726474046,0,0,0,-0.0125336831720588,0,0.0258159288732754,0,0,0,0,0
ADA,0,0,-0.13458035451994,0.420557609186374,0,0.100845812717555,0,0,0.131032270612223,0,0,-0.208627543053888,0.0428053334538222,0.165260630203297,0.343929968576722,0,0,0,0,0.470228204555168
XEM,-0.0874572031889379,0,0,0.0757579237460441,0,0,0.142109408700205,0.117286679502629,0,0.0149894879823875,0,0.0508492629136643,0.191550752908835,0,0.147667594707246,0,0,0,0,0
BTG,0.363146865037215,0,0.977770433149675,0,0.672315335895116,0,-0.382950493759279,0,0.00395594758191238,0,0,-0.690857778997656,0,0.299656536527391,0,0,0,0,0,-0.190416679663405
XMR,0.0489224651430824,0,-0.118074323129927,0.0754553230853345,0,0.117932092817332,0,0.0838058815483755,-0.0295096569461593,0.027091333914619,0,0,0,0.209290531776053,0.233974711822556,0,0,0,0,0
EOS,0,0.485263421278067,0.0948097132301206,0.0631013990683379,0.142560528605669,-0.229139970697624,0.0138637863735522,0.15873691990708,0.119940082962577,-0.0148069341768521,0,0,0.0594557008079897,-0.203661085488148,0.372817307227697,1.1146401269833,0,0,0,0.398326567169119
XLM,0,0,0,0.0438885982902573,0.113564308072841,0.35644236769595,0,0.0890826145220852,0,-0.0810061351732465,0.0968325329331846,0.34815214078936,0,0.107822449193207,0,0,0,0,0,0
ETC,0,0.0981804501441155,0.138510517076162,0,0.165662457865119,0.0290989165905113,-0.345687133069061,0.175145772663277,0.0542981471908162,0.00000000000000000173472347597681,0,0,0,0,0.177154590161162,0,0,0,0,0
NEO,0,0.464945523053264,0.0550860418093527,0,0.153892358230902,-0.0505742058098392,0,0,0.0100276863300985,-0.107163864415428,0,0.0624485695883177,0,0.0956701336132703,0,0,0,0,0,0
BV010082.INDEX,-0.0424138372628366,0,-0.0445365356375027,-0.00836462088590041,0,0.0141507899622469,0.0232309368645798,-0.0167761189146365,0,0.00243520969171341,-0.00848200779003314,0.00606924491394372,0.00587078973347182,0.0276346377126978,0,0,0,0,0,0
CVIX.INDEX,0,0.0159941287851781,0,0,-0.0220849691229783,0.011768301656433,0.0509502199281204,0,0.0334375502358185,-0.000861083570670674,0,-0.0100955434630316,0.0194375553103186,0,0,0,0,0,0,0.0980158477734793
DXY.INDEX,-0.0238736000027403,0,-0.0235729613119064,-0.000677653856110904,-0.00707177519741684,0,0,0,0.00432351103522925,-0.00461188834109823,-0.00629323500141391,0.00356246408802075,0.00291563440717919,0.00649740795076199,-0.00554180727692969,0,-0.0975354804621667,0,0,-0.0204347502854659
SPX.INDEX,-0.00841990190047774,0,0,0,0,0,0,0,0.00143621859040819,0.00131885056531932,0,0,0,0,0.0111457461648627,0,0,0,0,-0.0236408194920264
VIX.INDEX,0,0,-0.114079550733576,0.15380414122617,-0.13887707577851,0.175283492710646,0.127105361557975,0,-0.0682063552900233,0,-0.313257599236401,0.126920736642422,0,0.0933192750916744,-0.0792232018355376,0,0,0,0,0
