,BTC,ETH,XRP,BCH,LTC,EOS,ADA,NEO,XLM,MIOTA,DASH,XMR,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.186572033403334,0,0.104798913488238,0,0.0335044789239483,0,0.119556022508921,0.0717163263202728,0,0.0916900566644613,0,0.014363306967848,0,0,0,0,0
ETH,0.0772656429943874,0,0.0748112090206617,0,0.11437728898624,0.0641350721481851,0,0,0,-0.0771941398888746,0.43729391379614,0.048959079892192,0.0603936303679695,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.01384679319696,0.255812292893873,0.0407476664174019,0,0,0,0,0.0949017861371068,0.148804352573098,0.0944482047201925,0,0,0,0,0
BCH,0,0,0,0,0.140134022170979,0.04056719552021,0,0.151774456591715,0,0.115237186635232,0.32205603035133,0,0.0289772805284976,0,0,0,0,0,0,0
LTC,0,0,0.0323430819296947,0.212966066637937,0,0.0298169672115701,0.0721973258332101,0,0,0.0311138516883155,0,0,0.0174101270701446,0.0288657930770075,0.193320276902649,0,0,0,0,0
EOS,0,0,0.0931344811938489,0,0,0,0,0.11635781499162,0.0865979118016617,0,0,0.121210046820531,0,0.124658810573543,0.322006841266707,0,0,0,0,0
ADA,0,0,0.220379611566411,0,0,0.301659332940074,0,0.122005827651549,0,0,0,0.0668170533534886,0,0.15961085844509,0.0153200779641302,0,0,0,0,0
NEO,0,0,0,0.106344474529164,0,0,0.145278764722815,0,0,0.0355964585212961,0,0.190305696475506,0,0,0.304958169013705,0,0,0,0,0
XLM,0,0,0,0.0373227451288244,0,0.0576284317311977,0.0863697802536418,0.0315431927688197,0,0,0,0,0.293900027657914,0,0.277028231913877,0,0,0,0,0
MIOTA,0,0,-0.000000000000000000867361737988404,0.273058143333343,0.144869617791387,0.040389700983264,0,0.00479139462166904,0,0,0,0.229243732857994,0,0.189523380552029,0,0,0,0,0,0
DASH,0,0.271412639429673,0,0.101458164648848,0,0,0.105916718392324,0.076607454828444,0,0.0418495516086097,0,0.148658944940656,0.0763490355853343,0.00244024738260903,0,0,0,0,0,0
XMR,0.465963280298573,0,0,0,0.184303683711576,0,0,0.172423919922572,0.0506680594005646,0.0903492449448179,0,0,0,-0.0387104844557934,0,0,0,0,0,0
TRX,0,0,0,0.0308578394160488,0,0.229103709746467,0,0.263879069513826,0,0,0,0,0,0.212934648297726,0,0,0,0,0,0
XEM,0,0,0,0,0.0457554309482602,0,0.312299163969492,0.0823977700568717,0.169778477774043,0,0,0,0.199151703882968,0,0,0,0,0,0,0.0310215676488473
ETC,0,0,0,0.368052579446176,0,0.265051217177848,0,0.105207497305627,0,0.0495206098892977,0,0,-0.00000000000000000346944695195361,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.103997868171375,0,0.0597381037917635,0,0,0,0,0,0.0140187538045502,0.159513738305683,0,-0.123503298432706,0,0,0,0,0,0,-0.0300977653254998
CVIX.INDEX,0,0,0,-0.0732058706090642,0.040705984408433,0,0.08000124078394,0,0,0,0,0,0,0,-0.0177343228430033,0,0,0,0,0.0476385426212937
DXY.INDEX,0,0.0298466438421049,0.0133644981146474,-0.0168746887590901,-0.00606241917594121,0,0,-0.00137661433501959,-0.0144731503317324,0,0.0152881025891498,-0.015530009960877,0,-0.0032850106761483,0.000000000000000000433680868994202,0,-0.0209519228593925,0,0,0.00971871149124814
SPX.INDEX,0,0,0,0,0,0,0,0.0252223618991324,0,0,0,0,-0.0520202949247344,0.0175994591261235,-0.0023597643886132,0,0,0,0,-0.0539168766390556
VIX.INDEX,-0.653597960473489,0,-0.226252427855224,-0.156376539710009,0,0.0950878452248378,0,0.296669269299448,0.0616465242052384,0,0,0,0.449477776180036,0.173203751558408,-0.105073425571717,0,0,0,-4.50772882651893,0
