,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,XEM,NEO,XMR,ETC,ZEC,EOS,XLM,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.166360906976398,0.125540653675618,0.139809841275139,0.0696150216339418,0,0.0769630387386126,0,0,0,0.047396524039471,-0.10547008069353,0,0,0,0,0,0.0018288301956197
ETH,0,0,0,0.130300407596537,0,0,0.0642326351159829,0.0368896970240724,0,0.0158333208465195,0.235865455478216,0.0273508761617656,0.028797841467426,0,0.183865395274472,0,0,0,0,0
BCH,0,0,0,0.362187915136688,0,0,-0.653267851022416,0.969482751812239,-0.079810492514317,0.0388065038765528,0,0.605310445975074,0.0272051530496994,-0.853289231092441,0.0756890361272051,0,0,0,0,-0.225741053690392
XRP,0.263340660829853,0.29603878601791,0,0,-0.0441562770534664,0,0,0.112973158134478,0,0.0351839510009859,0.0132272935644331,0,0.0194042319275621,0.188638437543085,0,0,0,0,0,-0.0304558659976762
LTC,0,0,0,0.119339392942555,0,0,0.0861076185978315,0,0.0097171902364932,0,0,0,0.109189300732452,0,0.0208112244718475,0,0,0,0,0
DASH,0.248385787233418,0.000000000000000000867361737988404,0,0,0,0,0.123857612409979,0.18437889389754,0.0137166707558717,0.0455676122141513,0,0.233425868114093,0.0532639170653537,0,0.0155046020196239,0,0,0,0,0
MIOTA,0.262908310057849,0,-0.0399445920566242,0,0,0,0,0.102268796689436,0.0248265952961546,0,0,0.526558831061077,0.0152601305750552,0.123333098213816,0.041149055959406,0,0,0,0,-0.0804102061966536
XEM,0,0.116228308398773,0,0,0,0.190769614140685,0,0,0.0204340325229797,0,0,0,0.141656431504335,0,0.0976297935271702,0,0,0,0,0
NEO,0,0,-0.0454461807514448,0,0,-0.100772530218646,0.127898083295326,0.363721491798018,0,0.0187701465440458,0,0.157387950523014,0.0549073951637686,0.0541652097515251,0.0412381158114906,0,0,0,0,-0.066822052392259
XMR,0.0510616353353565,0.105880799281829,0.0332285319476987,0.167427764694663,0.0446062908225475,0.155949135472166,-0.00000000000000000693889390390723,0,0.0283864424068868,0,0,0.0720307399174369,0.0416135089077005,0.159957414486432,0,0,0,0,0,0
ETC,0,0.276529045842247,0.00821415372935286,0.0607364927738081,0.248837086762087,0,0.0340260676042302,0,0,0.0997825141464127,0,0,0,0,0.00986405158951201,0,0,0,0,0
ZEC,0,0.158453977022174,0.0187187288616754,0,0,0.0926495000073238,0.183697322695591,0,-0.0022019420871363,0.0142397288464537,0,0,0.0342410097002433,0.174854980291868,0,0,0,0,0,0.0538589954580985
EOS,0,0.223710744327016,0,0,-0.318912135865333,0,0.038894081164929,0,0.15454470488205,0,0.581378690823514,0.31019108423641,0,0.0781553787038774,0,0,0,0,0,0.0187181958343368
XLM,0,0.23461332710559,0,0,0,0,0.119628794148739,0.127210047149455,0,0.330254657898572,0,0,0.103439559849921,0,0.156012583065587,0,0,0,0,0
BAT,0,0.120978478937376,0,0,0,0.0634412403022773,0.0655727893344858,0.144962438236356,0.144521224386296,0,0,0.209675240664937,-0.0286207276737486,0.334148769223536,0,0,0,0,0,0
BV010082.INDEX,-0.0120869378016461,0,-0.0137768546720213,0,0.0425798800008674,0.000770912156766173,0,0.0281953426454093,-0.0184488948017573,0.0206654895054354,-0.00170797596355839,0.0394589007063764,0,-0.0580913639414689,0.0175596110362262,0,-0.0708543399718129,0,0,0
CVIX.INDEX,0,0,0.00654449407660341,0.0277940521790662,0,0,0.0256710522746447,0.0124332440894021,0.014708478263295,0.0835976983254677,0,-0.0512447520297903,0.0227614418431794,-0.136985707354817,0.0295614035197624,-0.0615742819995973,0,0,0,0.0613845049864231
DXY.INDEX,0.00595299088533356,0,0,0.000470195764839382,0.0057389609935311,0,0.00785322039269873,0,-0.00571684834897895,0,0,-0.00952866850072393,0.004437281543008,-0.00368723419470231,0.00234689718112004,0,0,0,0,-0.00186156893318213
SPX.INDEX,0,0,0.000452330485606892,0,0,-0.0140631354691049,0.00253514345436521,0,0.000454878407406457,-0.00378231426480923,0,0,0.00233647562177536,0,0,0,0,0,0,-0.0515420915601606
VIX.INDEX,0.0239503314638719,0.25479198500649,-0.0958337996804914,0,-0.174161960389176,-0.157832608822158,0,0,-0.293930949509884,0,0,0,0.0673491008872663,0,0.210005928666086,0,0.660165743120335,0,0,0
