,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,ADA,TRX,XMR,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.000383668362474959,0,0.227118734496419,0,0.172715117094543,0,0.073392437969553,0,0,0,0.218195690713801,0,0,0,0,0,0,0
ETH,0,0,0,0,0.103644335260121,0.275074596444268,0.321974941030247,0,0,0,0,0.0213819308861091,0.00943684463701658,0,0.00648194027766734,0,0,0,0,0
XRP,0,0,0,0.286540351534013,0.00000000000000000693889390390723,0,0.129548948781312,0.0245344558571341,0.0115207940364439,0.11843443550731,0.137533039547445,0,0,0,-0.110221518644392,0,0,0,0,0
BCH,0,0,0.245085153597902,0,0,0,0.293875565007997,0.0706857107209435,0,0,0,0.263013946302821,0,0,0.070653138385594,0,0,0,0,0
LTC,0.235522513223578,0.00798085981620321,0.028993883752304,0.0494473872238799,0,0.417500090744539,0,0.0442350246543576,-0.00925959201772003,0,0.113769960768602,0,0,0,0.0806215465014615,0.0376654963993442,0,0,0,0
EOS,0,0.28605402663679,0,0,0.337091244804707,0,0,0,0,0,0.138477965426975,0.210788107150841,0.0345454369335339,0,0,0,0,0,0,0
BNB,0.0427517900756068,0,0,0.228459759523638,0.258579649542281,0.0805888975727377,0,0,0.0876632041768162,0,0,0.0378480595065288,0.0445835904519656,0,0.071045843009889,0,0,0,0,-0.00899949006494372
BSV,0,0,0,0.461592505565933,0,0,0,0,0,0.208212612063875,0.183980003148706,0.0449061632806908,0,0,0.0393471605540899,0,0.42499656232522,0,0,-0.076354290221726
XTZ,0,0,0.409382560974861,0,0,0,0.283188996726465,0,0,0,0.342961235303511,-0.121094903117371,0,0.0468383336693397,0,0,0.14129754938889,0,0,-0.0497543011511981
XLM,0,0,0,0,0,0.238229683178834,0,0.180558720897148,-0.03598769978247,0,0,0,0,0,0.0600011285003026,0,0,0,0,0
ADA,0,0,0.0932107467721887,0.0179913696318922,0.0601240836327051,0.405659863781024,0.153784209342387,0.0161499687784874,0.0252834552205319,0,0,0,0,0,0.119096269903944,0,0,0,0,0.027567381442714
TRX,0,0,0.0650546209902775,0.356025169071166,0,0,0,0,-0.00480937943414373,0.153930091130293,0.463434806460723,0,0.116902863102629,0,-0.00000000000000000693889390390723,0,0,0,0,0
XMR,0,0,0,0,0,0.257721258782798,0.12361836692293,0,0.0748194000789517,0,0,0.196608686455457,0,0,0,0,0,0,0,0
LEO,0.314286625598017,0,0.0628785454244799,0.0354500891730193,0,0,0,0,0.100022259453614,0.0371266383681259,0,-0.187520533162934,0,0,-0.0961467624943318,-0.141046611665527,0,0,0,0.0577914370482261
ATOM,0,0,0.131223018488822,0.0827598928313504,0,0,0.0433565086074301,0,0.0557713072950923,0.372343408237153,0.422692584412247,0,0,0,0,-0.365582941064539,0,0,0,0
BV010082.INDEX,0,0,0,0.118557976208159,0,0,0,0,0.0112748073521489,-0.414766970876117,0,0.176162464720929,0,-0.297577862634381,0,0,0,0,0,-0.00000000000000000346944695195361
CVIX.INDEX,0,0,0.0858348937602433,0.0264386533782144,0,0,0,0,0.13686850711972,0.023359928115669,0,0,0.0223354219361393,0,0,-0.109013338047874,0,0,0,0.0737485675697066
DXY.INDEX,0,0,0,0,0,0,0,0.0097459987897471,-0.0117313312545705,0.00412823193283627,0,-0.00705305371817262,0,-0.0251516407461129,0,0.0305353951003288,0.00905204336412877,0,0,-0.0044600328749558
SPX.INDEX,0,0,0,0,0,0.0186443063466519,0,0,0,0.000188241302403949,0,0,0,0,0,0.0560891663542878,0,0,0,-0.0376665723055134
VIX.INDEX,-0.211497071332124,0,-0.470168792879838,0,0,0,0,0,0.0141325234910474,0.102246126648657,0.555060106380935,0,-0.0890441339465396,-0.375457886056494,-0.177023019026273,0,0.834484616891995,0,-3.38577344792615,0
