,BTC,ETH,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0315565752935477,0,0.968352883533013,-0.0570523725975043,0.00450654797208205,-0.0183116643630319,0.117472943915371,0,0,0,0,0,0,0.105802790003795
ETH,0,0,0.155657709776416,0,-0.00000000000000000346944695195361,-0.0910254390107403,-0.37403789987072,0.0957511296082775,0.0358629488328667,-0.0102961487034378,0,0.955204546981756,0,0,0.100987877205004
XRP,0.034260414500109,0,0,0,0.0339396891434626,0,0,0.0000000000000000000542101086242752,0.0477380350624539,0.055810187856461,0,0,0,0,0
LTC,0.767074614515656,0.0124017787725611,0,0,0.02762833392315,-0.0272237110097397,0.0505042952749144,-0.0164496893588541,0,0.0111509828393066,0,0,0,0,-0.0118170326544731
DOGE,0,0.181216504043936,0.273356393338989,1.67756849249447,0,0.128763679142661,0.769601840540511,0,0.0169224780608617,-0.306005190446103,0,0,0,0,0.111409429220427
DASH,0,-0.24315191078531,0.191233242157703,0,0,0,-0.0509078781284793,-0.3580339996974,-0.0411240874160582,0.0272499969657534,0,0,0,0,0.165969868475937
XLM,0,0,0.146630962420259,0,0.231654090463844,-0.0762631170120985,0,0.175454069127062,0.0470284175348826,0.137798937807749,0,0.425119840716298,0,0,-0.0437901203989604
XMR,0,0.0457219278908577,-0.150764170670552,0,-0.0355219025684109,-0.0355585458491091,0.841027538666186,0,0,0.0912642656338524,0,0,0,0,0.0551640842848414
XEM,0,0.152329568124645,0.633099175166258,0.0831571244942548,-0.185805288931122,-0.373252049140102,0,0,0,0.137791750476146,0,-1.4086533188034,0,0,-0.0643111552289385
DGB,0.619291019500884,0.0969470884674458,0,0,-0.58040833523954,-0.10674839346384,0.910943702717405,-0.395151248986234,0.141352723619998,0,0,0.603924640740618,0,0,0.14477091703515
BV010082.INDEX,0.0343071240258587,-0.0279863833609058,-0.00543048542450731,0,0.0328282794383513,0,0,0,0.00642663305627273,-0.0116493856814108,0,-0.198812639929953,0,0,-0.0637903965081708
CVIX.INDEX,0,0.0170772953221107,0.105754985763339,-0.0734539019600945,-0.0226017676051254,-0.0848084120946318,0.0459807507287475,0.00313974325536325,0.00165982740739955,0.0223441885344656,0,0,0,0,0.107911635002954
DXY.INDEX,-0.0165095067346933,0,0,0,-0.0206615978241215,0,0.0181526473970317,0.00502317335232875,0,-0.0103097543996363,0,0,0,0,-0.0135290082329422
SPX.INDEX,0.0182876608765003,0,0.0028206781825179,0,0,-0.00616758329078185,0,0.0117780868241645,-0.000325833441933251,-0.00201473925997114,0,-0.0528713731082598,0,0,-0.125913189228987
VIX.INDEX,0,-0.153786666567095,0.128687089938444,0,-0.0000000000000000000135525271560688,0,0,-0.114225946192457,-0.0878728785464996,0.147956585666821,0,0,0,-3.28545565279595,0
