,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.199630851681571,0,0.0602722776002567,0,0,0.0545881314904173,0.0857080620957333,0.0374372272677814,0.0952003336130379,0,0,0.0704387430807225,0,0,0,0,0
ETH,0,0,0.216029215760003,0.158784069625672,0.262005385778482,0,0,0,0,0,0,0.148488843350474,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0636566506454527,0.225032246917168,0.172048818547435,0,0.0197275606754341,0.163077760662412,0,0,0.0461144058583755,0,0.103404099073204,0,0,0,0,0,0
BCH,0,0.201337353940383,0,0,0.168956605409983,0,0,0,0.249946141359452,0.000224076191990039,0.132737151247477,0.0488697860759715,0.056432533011141,0.0437159971644256,0,0,0,0,0,-0.0368389421721059
LTC,0.204081275756866,0.159222228730592,0.0388324435719708,0.171036389214186,0,0,0.00136735175213428,0,0.0115383837457351,0.0692277782741542,0,0,0,0.0361032360080926,0.101765737327242,0,0,0,0,0
EOS,0,0,0.130944265801401,0,0,0,0,0,0.103820041342466,0.015987499772226,0.190319789676028,0,0,0.119082970695713,0.306996245423003,0,0,0,0,0
ADA,0,0,0.0756634628116115,0,0,0.37311052389838,0,0,0.128433714150747,0,0.119573093020667,0,0,0.14566593437085,0.068568886178145,0,0,0,0,0
XLM,0,0,0.224229081480876,0.0421281544067585,0,0.0659543873792506,0,0,0.0367942272477491,0,0,0.233809243180174,-0.00000000000000000173472347597681,0.0126572256139237,0.191329341275683,0,0,0,0,0
NEO,0,0,0,0.106344474529164,0,0,0.145278764722817,0,0,0.0355964585212962,0.190305696475505,0,0,0,0.304958169013704,0,0,0,0,0
MIOTA,0,0,0,0,0.268991377990684,0.047303180337853,0,0.224751240773926,0.117607081987021,0,0.0686646844492065,0.198821355580809,0.00734799652196226,0.0334808976090392,0.0774950488808419,0,0,0,0,-0.0350812840028658
XMR,0.404839813091215,0,0,0,0.170091336315518,0.0396812157452007,0,0,0.157395576481456,0.118101160675735,0,0.0139484411406751,0,0,0,0,0,0,0,0.00635077806816653
TRX,0,0,0,0.026822779332434,0,0.225623456765491,0,0.0492299449446681,0,0.60983453605478,0,0,0,0.0926620005970743,0,0,0,0,0,0.121590195250359
DASH,0.325058059613226,0.140791278534505,0,0.0793512715460836,0,0,0.108094153987469,0,0.0212659731022421,0.0553354939877976,0,0.0984256756535077,0,0.0226800948091363,0.0052691709701961,0,0,0,0,0.056436986754863
XEM,0,0,-0.0425027465149298,-0.211878375495335,0.268230715044351,-0.0870531803834431,0.305552595323952,0.335798235542644,0.128959103661337,0,0,0.257132361935408,0,0,0,0,0,0,0,0
ETC,0,0,0,0.27271524311122,0,0.310934220613727,0,0,0.0965644350426371,0.0475600560274121,0,0,0,0.108891696617136,0,0,0,0,0,0
BV010082.INDEX,0,-0.00532088315284078,-0.0382742132131067,0,0,0,0,0.067361422867276,0,0,0,-0.0679484784775771,0.104685283548304,0.000000000000000000216840434497101,0,0,0,0,0,-0.0450952996025374
CVIX.INDEX,0,-0.13689190158451,0.111391830423873,-0.137625813600927,0.0680314763337386,-0.0176551168438735,0.0795323872713175,0,0,0,-0.00258850669206971,0,0.167946943351273,-0.100362564566801,-0.0252933404852682,0,0,0,0,0.0470384343125658
DXY.INDEX,0,0.0130027855631543,0.0100372432551861,-0.0117440279014874,0,0.00201436867073209,0.013724782790979,0,0,0,-0.0205975824537547,-0.0103753097236463,0,0,0.0038528951050032,0,0,0,0,0.00787623965409687
SPX.INDEX,0,0,0,0,0.0139204972415992,0,0,-0.00491119930576436,0,0.0171528117426119,-0.0000000000000000000271050543121376,-0.0569080478736016,0,0.0164261662263112,0,0,0,0,0,-0.0625744598529426
VIX.INDEX,0,-0.269614412114088,-0.0672856021928672,0,0,0.231095640358394,0,-0.104464630870582,0,0,-0.156002257839809,0.1924833521986,0,0,0.0373823910673726,-0.653143235154475,0,0,-4.4245304385106,0
