,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.240505980153255,0,0.0476627379490633,0,0,0.0823064956632619,0.0140498881209791,0.0536377373774196,0,0,0,0,0.129992565303787,0,0,0,0,0,0.0127741356980441
ETH,0.434042948369306,0,0.00896284818203958,0.0966866430433588,0.064926587362894,0.365631753982671,0,0.057748464745796,0,0.0590917980677901,0,0,0,0,0,0,0,0,0,0
XRP,0,0.206508878753802,0,0.00000000000000000693889390390723,0,0,0.10634908946241,0.105859039845005,0,0.067054083970822,0.0879025022324756,0.105688834018375,0,0.178401466286694,0,0,0,0,0,0
BCH,0,0.0271359391518004,0.101135252029989,0,0,0,0.198591486574249,0,0,0.197908201243659,0,0,0,0.140645732663664,0,0,0,0,0,0
EOS,0,0,0.107982555451541,0.576349323098692,0,0,-0.148569431623396,0.108833944428725,0.0148367290810074,-0.0977689682371333,0.414513023584417,0.724251524286544,-0.994341799003735,0,0,0,0,0,0,0
LTC,0,0.402559200590372,0,0.0682546965916188,0,0,0.144349744701774,0,0.0170375360302586,0,0.100914439383838,0,0.0631272383290808,0.0406699449441188,0,0,0,0,0,0.0166338473280588
XLM,0,0,0.193451675589096,0.145755281697674,0.0575572140973542,0,0,0.170041915274233,0.0132196554499295,0,0.0312662928815222,0,0,0.14098063511686,0.0444475767416493,0,0,0,0,0
ADA,0,0,0,0.0981991154973566,0.0456839663032828,0,0,0,0,0.132552004400619,0.275706830924954,0.174839363876496,0,0.06249166702283,0,0,0,0,0,0
TRX,0.090262017625622,-0.293037455719604,-0.333317296700546,0.249388845508733,0,0,0.356081135006481,0,0,0.0687261555412683,0,0,0.488698304251315,0,0.188257991346701,0,0,0,0,-0.124481788689741
MIOTA,0,0,0.34067941313663,0,0,0,0.151168628878043,0,0,0,0.0268763578563549,0,0,0,0.265300245670716,0,0,0,0,0
NEO,0,0,0,0,0.104874934565546,0.0183153546885299,0.0913973969781178,0.0296597218755,0,0.217711222005448,0,0,0.0726759858310872,0.0113625919326411,0.243375880714173,0,0,0,0,0.0228859230437678
XMR,0,0,0.340038997775804,0.0246286619295342,0,0,0,0.112201816125442,0.0968187405723496,0,0,0,0.147490795744205,0.0540577136781157,0.0357264057234434,0,0,0,0,0
DASH,0.167642209306756,0,0,0.0676023470894103,0,0,0.118138774470103,0.0350385223731329,0.00000000000000000346944695195361,0.158603643372151,0.132047073839088,0.0209908063403474,0,0.0831937727487587,0.0387399245028398,0,0,0,0,0.0459886516066259
XEM,0,0.242896166871097,0.0204377057601071,0,0,0,0.28806366235674,0.0365554700547134,0.0724599066137306,0,0.0608931357920785,0,0,0,0.194163169090275,0,0,0,0,0
ETC,0,0,0.460646737469227,0,0,0,0.0669719017777607,0.109002977734962,0,-0.000000000000000000216840434497101,0.137532414080576,0,0,0.039786684988321,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0327525126622129,0,0,0,0,-0.020131064243674,0,0,0.0582572588033567,0,0,0,0,0,0,-0.062712158787571
CVIX.INDEX,0,0,0,0.106622457971477,0,0,-0.10629028200999,-0.0906302546943549,-0.0190484442192958,0.0228192940197473,0.114624325281499,0,-0.118052114670148,0.0809400648099976,0,0.240187306769457,0,0.465553021258129,0,0.0239432512965373
DXY.INDEX,-0.00402895532413667,-0.00131460509800735,0,0,-0.00336403014023435,0,-0.0108025669973484,0.0117421323615076,0.0090064196568624,-0.0156971498665131,0.00765219285909843,0,0,0.0175157186230161,0,0,0.0783739198976962,0,0,0
SPX.INDEX,0,0,0.0363094379379166,0,0,0,0,-0.0025525291690876,0,-0.00428281306094089,0,-0.0494166948143408,0,-0.00518296844945479,0,0,0,0,0,-0.124682062818688
VIX.INDEX,0.309993431806349,0,0,0,0,0,0,0,0,-0.00000000000000000346944695195361,0.188809756534863,-0.240078048685526,0.127711838466712,-0.0999672544793125,0,0,0,0,-2.07041057401743,0
