,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0531604824014196,0.0428324220534857,0.0269382076228867,0,0,0.0711446566198402,0,0.116541746465323,0.000525553093740996,0,0.0122904936123382,0,0.130663488062195,0.0463414229861807,0,0,0,0,0
ETH,0,0,0.309210363557529,0.0846798487926852,0.017244557798582,0,0,0.0474616929926018,0.0964071571353034,0.0814222787457746,0,0,0,0.132116843596966,0.158856016899281,0,0,0,0,0
XRP,0,0.115562296708616,0,0,0.0159198040656816,0.0486933764981537,0.144531760599229,0.0954446856884143,0,0,0.100057955431523,0.264052641926136,0,0.0349550928847914,0,0,0,0,0,0
BCH,0,0.175792729561152,0.0164860261207747,0,0.0410944776165566,0,0,0.139595493471046,0.208643380121492,0,0,0,0,0.201090159813488,0,0,0,0,0,0
EOS,0,-0.2443697387202,0.381236404646049,0.443814893836347,0,0,0,0,0,0.050049690384805,0.221637745692724,0.329478234728516,-0.688914337079654,0,0.434606815624827,0,0,0,0,0
LTC,0,0,0.239821464110292,0.111135911007222,0,0,0,0.0649706909829206,0.034391039625833,0,0.117657531424724,0.0517797710603793,0,0.0283188974095397,0,0,0,0,0,0
XLM,0,0,0.132320085421763,0.0503392971315679,0.186004457456046,0,0,0.151111819001232,0.108259670795835,0.00601203079491335,0,0,0,0,0,0,0,0,0,0
ADA,0,0.108740607873081,0.291882368120417,0,0.117741727038262,0,0,0,0.0800615527402912,0.153415614631059,0.0928793487128241,0.104932197172611,0,0,0,0,0,0,0,0.0360594803229542
MIOTA,0,0,0.307494524787202,0,0,0,0.224163805460897,0.246153280896328,0,0,0.155203651829989,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.34397108082232,0,0,0.35501918662905,0.00000000000000000693889390390723,-0.0854401985693086,0,0,0.356204006634127,0,0.086557148176745,0,0,0,0,0,0.0514641935507488
NEO,0,0,0,0.0167154723357122,0.0607928732478626,0.158104493791572,0.228498890277399,0.0199808749053799,0.182335061654219,0.0776622772688193,0,0,0.173593038648309,0,0,0,0,0,0,0.0328552001116227
XMR,0,0,0.254493456757719,0.0307099978824057,0,0,0,0.121956869962508,0,0,0,0,0.270374811858986,0.0915401736757993,0.0143994518211671,0,0,0,0,0
DASH,0,0,0.143180334229807,0.00000000000000000693889390390723,0,0,0.0613052044487859,0,0.116617104496586,0,0.0277555671866242,0.015390172667644,0,0.270700751112212,0.0216775496440406,0,0,0,0,-0.0556079133232585
XEM,0,0.0709051363436423,0,0.132584377272238,0.00000000000000000173472347597681,0,0.428336872412368,0.0689858888736386,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.282794651104933,0.0870699059980155,0,0,0.187181069027358,0,0,0,0,0.144062499769433,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0612131687879919,0,-0.0556233428792461,0,0.0899080377201503,0.00691998543255608,0,0.0290617255829283,0,0,-0.024616175419486,0,0,0,0,-0.290643346067079
CVIX.INDEX,0,0,0.0271657664055834,0,0,0.0984717373340205,-0.116274357533922,-0.139253100995074,0.0121259013254106,0.0249195365715086,0.103129620936623,0,0,0.107143018124646,0,0,0,0,0,0.0708626021144762
DXY.INDEX,0,0,0.0120903680077662,0.00484318313647708,0.00223046917503931,0,-0.024119654081076,0,-0.00564782908765736,0.0028079440935798,0,0.0315520310465893,0,0,0,-0.0109670319714338,0,0,0,0.0214512484577241
SPX.INDEX,0,0,0.0159865599738634,0,-0.00190073921556376,0,0.0173630972786304,-0.0214899476320092,-0.0121920329021655,0,0,0,0,0,0.00817150998883395,0,0,0,0,-0.0881855127052375
VIX.INDEX,0,0,0.358205023531977,-0.0283720450608701,-0.300582166312379,0,-0.191726205428683,0.0459128923599185,0,0,0.403433261963124,-0.193380003171743,0,-0.0691804496266715,-0.115549528831719,-1.25834561029395,-0.333315103577423,0,0,0
