,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0649238377282241,0,0.306877477820012,0.153638169773858,0,0,0,0,-0.0976728367778348,0,0,0,0.155618278447542,0,0,0,0,0
ETH,0,0,0,0.153627642929138,0.246684913227932,0.0000000000000000000271050543121376,0.0338121163346724,0.0623914733387847,0.0673990745334125,0.0839991635814939,0.0702014416002794,0,0.0165918818733419,0.0131355342696616,0.0348773721378568,0,0,0,0,0
BCH,0.201384159514577,0,0,0,0,-0.0483062464745426,0.08720575611085,0,0,0.431421799652004,0,0,-0.0710617893202601,0.0558415490126403,0.13623937084326,0,0.335073997918217,0,0,0
XRP,0,0.190663934572196,0,0,0,0.0702446419785228,0.0489098354045864,0,0.29687712347025,0,0,0,0,0,0.0470815147279215,0,0,0,0,0
LTC,0.440427888988043,0,0,0.225088931841501,0,0,0,0.26577342694084,0,0.187081036641489,0,0,0,0.0109458811775689,0.043834451024727,0,0,0,0,0
DASH,0,0.0841952982377157,0.0524979079645699,0,0.116585003460144,0,0.0188587165241776,0.079583129105324,0.249049352705306,0,0.0552002295716775,0,0.0135078708619129,-0.00392064900249839,0.0763159021132522,0,0,0,0,0
NEO,0,0.407862573922122,0.0363660889234593,0,0.0215065709401357,0,0,0,0,0,-0.100171066329857,0.663074133232118,0.0432249945546678,0.145328728622109,-0.1828634490959,0,0,0,0,-0.429501181002892
XEM,0,0,0,0,0.156268143179073,0.170776710225871,0.102807516678845,0,0.275929871258017,0.109076668235282,0.091394094985807,0.132957525080729,0.029030916590189,0.0318708767065918,-0.0386518047998479,0,0,0,0,0
XMR,0,0.0983969127745131,0,0.0806540767661231,0.186734920205336,0,0.113185559311661,0,0,0.22830991750887,0,0.0977327178670229,0,0,0,0,0,0,0,-0.0603852276618028
ETC,0,0.0501075386493247,0.144917634414241,0,0.619763982008637,0,0,0.0562861028549653,0,0,0.134007702021699,0,0,0.0471196525752323,0.00383620197600016,0,0,0,0,0
MIOTA,-0.941052954107336,0.309379111572636,0,0.0119222592701717,0,0,-0.206504084686671,0.477056307581839,0,0.225742708843695,0,0.453571813201531,0.307574928339788,0.0914777843989106,0.365990649062639,0,-0.0133535543972293,0,0,0
ZEC,0,0,0,0,0,0,0.0815374197133537,0,0,0.243245906772558,0.0641288865774142,0,0.0629032123951322,0.0408989981836694,0.116034731571217,0,0,0,0,0.0623114947909244
ADA,0,0,-0.166477396643308,0.453994424024745,0,0,0.14778863833529,0.118687966520287,0,0,0.502562652190979,0,0,-0.245909801248189,-0.46165458216602,0,0,0,0,0
XLM,0,0.271000085676584,0,0.105321061310134,0,0,0.169498859619,0,0,0,0.751906704773599,0,-0.224440817369633,0,-0.0784966198446568,0,0,0,0,0
EOS,0.360153546728126,0,0.0988741087257948,0,0,0,0,0,0,0,0,0.569161960865576,-0.0347879936268477,0.0447543436510772,0,0,0,0,0,0
BV010082.INDEX,0,0.0370080883761846,-0.0266456132187929,0,-0.0300118951866278,-0.116252014037816,0.0314482905544895,0,-0.0127729032469253,0.024007584776251,0.00832429214267585,0,-0.0176502111200636,0.0032333465687424,0.0548565193794614,0,0,0,0,-0.0518665100206943
CVIX.INDEX,-0.0744796236964876,0,0.05465781410369,0,0,-0.188802469689971,-0.0169732374898426,0.0489353733456488,0,0,0,-0.00316050876809688,0.0549437760733358,0.0169982552549748,-0.0102681148043444,0,0,0,0,0.0903570451289509
DXY.INDEX,0,0,0.0113372860852266,0,0,-0.0369131971747195,0.00611337846427122,0,0,0.00116928565736293,0.00558166705778195,0.00955926790712182,-0.00013445605540364,0.0018545678925644,-0.00092725360096263,0.0205251669339047,0,0,0,-0.0142862554859081
SPX.INDEX,0,0,0,0,0,-0.000631189763133664,0.00310896529882329,0,0,0,0.00426446215162074,-0.0107201711979685,-0.00257567546403398,0.000475879446904595,-0.000800593738149859,0,0,0,0,-0.0351670586814539
VIX.INDEX,0,0,-0.15617119181189,0.0508624051971522,0.127192537180181,0,0,-0.0386251538543221,-0.0649498009478292,0,0.106801158553033,0.169931605236346,0.0710810501267663,0.0524718551228873,-0.0995249394477302,0,0.564105113544397,0,0,0
