,BTC,ETH,XRP,INNBCL,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LEO,XMR,XLM,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00150824175366482,0,0.00426826190174899,0.271948567814383,0.0488015084934523,0,0,0,0.171408393754321,0,0,0,0,0.0322701767272672,0,0,0,0,0
ETH,0,0,0,0.00342442494632067,0.271482216201961,0.00677307761710923,0.191488505095931,0.0852472521954145,0.00881110144141309,0.231022157801637,0,0,0,0,0.203024642019988,0,0,0,0,0
XRP,0,0.172772535500313,0,-0.0017827312588481,0.092881421180409,0,0.0738431755481571,0.106090539151411,0.0391570273052608,0.126822488794345,0,0,0,0,0.111066542153669,0,0,0,0,0.00546839555140566
INNBCL,0,20.9652575559766,1.58680719127336,0,-2.82408198280175,-0.770081181366211,0,0,0,0.4570815731657,-3.6703280508598,0,-21.8853411190896,0,0,0,-1.59363863286556,0,0,-1.82924059508351
BCH,0,0.2602666341544,0,-0.00242564506409516,0,0.203562466378282,0,0.17497934262875,0.123313423494391,0,0,0,0,0,0.198900249595314,0,0,0,0,0
BSV,0,0,0,0.00239460394854364,0.506700913516012,0,0,0.369929160649455,0,0,0,0,0.201775047352228,0,0,0.000142253332780806,0.0322354288980524,0,0,-0.0481088531337845
LTC,0,0.349260513179162,0.0090916519517869,0.0000232534430528239,0.0123584569109401,0,0,0.133512231379621,0,0,0,0,0,0,0.32568306588844,0,0,0,0,0
EOS,0,0,0.101995881516349,0.00322376974085798,0.263094077219741,0.225980327282293,0.211433393358142,0,0.0474894391575579,0,0,0,-0.00000000000000000693889390390723,0,0.0878652286856484,0,0,0,0,0
BNB,0,0.157622317933548,0,0,0.301032683349668,0,0,0,0,0.165062966606518,0,0,0.184901436458328,0,0,0,0,0,0,0
XTZ,0,0.282029776880304,0,-0.00330537393637111,0,0.0457526733642142,0,0,0.54126611693308,0,0,0.1926665797793,0,0,0.189465618553096,0,0,0,0,-0.00148543383790542
TAGZ5,0,0,0,0,0.404085657083083,0,0,0,0.0743213374783996,0.00629125911635305,0,0,0,0.012233026275026,0.192447096687248,0,0,0,0,0.0857318531457401
LEO,0,0,-0.00961589960538039,0.00144763962999482,0,0.109328465806915,-0.134581044079383,0,0,0.141893638774942,-0.0379281175695571,0,0,-0.0596179702435136,0,-0.0419924274622562,-0.0192159226501766,0,0,-0.0513914342574228
XMR,0.111609217722636,0.0376368708352591,0.055493808371504,-0.000333976154282112,0,0,0,0.352197822620576,0.0446886266222319,0.140517143538618,0,0,0,0,0.175972298873409,0,-0.0277585950232918,0,0,0
XLM,0,-0.00000000000000000010842021724855,0,0.000220926634965985,0.31977938731566,0,0,0.000000000000000000216840434497101,0.164374825029843,0.0382204273842657,0,0,0.0379326687834151,0,0.0971879861722273,0,0,0,0,0
ADA,0,0.0425711309139302,0,0,0.186718807401881,0,0.292948673562122,0.0382041207671213,0.114435002274878,0.164187414697629,0,0,0.0798682313601506,0,0,0,0,0,0,0
BV010082.INDEX,0,0.99322420879946,0,-0.0271104331226754,0,0,0,-0.381083806074298,-1.10293478324737,-0.134713951619211,0.213480943827066,0,0,0.418643547106258,0,0,-0.0126586446442687,0,0.332072684777012,-0.0706422703524993
CVIX.INDEX,0,0,0,0,0,0.211349594802833,0,0,0,0.327253622626839,-0.546221205865645,0,0,0,0,0.287741211263555,0,0,-0.0563581353674596,0.408751405849272
DXY.INDEX,0,0,-0.0652593202641975,0.000510393415348009,0,0.0299465608491419,0,0,0,0.0326931409154874,0,0,0,0,0,0.0311652352807502,-0.0105076720903495,0,-0.0189841697557064,-0.00882234603362964
SPX.INDEX,0,0,0,0.00309532602730103,0,-0.182827858125217,0,0,0,0.178588830378004,-0.038017899271144,0,0,0,0,0.208595334572802,0,0,0,-0.228162776533996
VIX.INDEX,0,0,0,0.0090558482103623,-0.265244056835055,-0.0933250917773729,0,0,0,0.46119156688366,0.389851279663079,0,-0.601203952071486,0,0,-0.0264544211052799,0,0,-1.68081561780325,0
