,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.159910789398258,0,0.0529660534367303,0.0906259824083442,0.0384945895903645,0.0134380848710672,0.0511134795952143,0,0,0,0,0.00435365434541162,0.0312338699936424,0,0,0,0,0,-0.000476997448740084
ETH,0,0,0.0993936973470486,0,0,0.300188194049671,0,0,0.022895322633772,0,0.0483661530935402,0.145014023954289,0.0263093061969889,0.0222028338492343,0,0,0,0,0,0
XRP,0,0.125510891976359,0,0,0,0.104233281289167,0,0.131908245793667,0,0,0,0.185183173816228,0,0.116179804199307,0,0,0,0,0,0
LTC,0,0.217831089697772,0.201167247797032,0,0.162769720519514,0.109608276088303,0.100539297148899,0,0.113762832142068,0.233325891823469,0,-0.148733169680307,0,0.142163366122284,0,0,0,0,0,-0.00000000000000000346944695195361
BCH,0.190577424570704,0.119029812790818,0,0,0,0.350300216573164,-0.0588210689324839,0.0957668767446762,0.132623595018495,0,0.191576312232197,0,0,0,0,0,0,0,0,0
EOS,0,0.246366251618773,0,0.208642580980715,0.189825485312406,0,0.00199202403142088,0,0.00000000000000000346944695195361,0,-0.182689258619176,0.16196367222441,0.188583696303843,0.0988739602156889,0.247101823088502,0,0,0,0,0
BNB,0,0.21757211234203,-0.240095843160953,0.362157457964129,-0.158458197970318,0.00779330381234557,0,0,0,0.551041542839018,-0.0975146693564279,0.186329973893634,0,0,0,0.091763606663166,0.00000000000000000346944695195361,0,0,-0.0596822260219345
XLM,0,0.113687684937728,0,0.137935412292718,0.01930832744941,0.105879477272538,0,0,0,0,0,0,0.166746386911692,0.11466936950331,0,0,0,0,0,0
ADA,0,0.0572143679311327,0,0.198040532050325,0.288070796159159,0,0,0.0290369697135057,0,0,0,0,0,0.321670280019399,0,0,-0.102717679008242,0,0,0
TRX,0,0.106868089241986,0.419947627355614,0,0,0.0205102731499095,-0.107634145832237,0.0188612624734985,0,0,0,0.101220015033023,0,0.113341686926737,0,0,0,0,0,0
BSV,0,0.195068762918496,0,0.0391034276039888,0.212869156662436,0.0312455112762285,0,0,0,0.0191430194221873,0,0,0.140087433837234,0,0.0789537253411624,0,0,0,0,0.0158562022991377
XMR,0,0.339411558508847,0,0,-0.0836233090235064,0,0,0.185079164712155,0,0.221825228134536,0,0,0.116066399059011,0.0134360279640374,0,0,0,0,0,0
DASH,0,0.0801372508442652,0,0.159142538983261,-0.00000000000000000346944695195361,0.0326310329158666,0.0726081206694777,0.109708896239787,0.122916813765202,0,0,0.125826787883363,0,0,0,0,0,0,0,0
MIOTA,0,0.283035792377154,0.235098694223621,0.0380155682910348,-0.0315370099463201,0,0.00315246552983536,0,0.095980527211214,0,0,0.153696841140385,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0.179410866263307,0.0957835534838911,0,0.33346724230422,0,0.0279125580701492,0.0749903760121623,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00233848236338556,0,0.101213205204337,0,0,0,0.0599931255065381,0,0.0475891142948204,-0.189970050020288,0,0,0,0,0,-0.111181887597085
CVIX.INDEX,0,0,-0.050356197556606,0,-0.118610640817433,0.179921445996015,-0.0340727985247461,0,0.0751170330106899,-0.354593332949794,0,-0.263051899286554,-0.0194261440446404,0,0.111892667318215,-0.0867845745906459,0,0,-3.30917017418325,-0.171123189028955
DXY.INDEX,0,0,0,0,0,0,0.015502530171375,0.00932447131458222,0,0,0.0235193988144141,0.0123198815339992,0.0145594796866673,-0.0619856062500297,-0.0169118456499262,0,0.0212757212255731,0,0,0
SPX.INDEX,0,0,0,-0.0174116410294767,0.00508518445517295,0,-0.0000000000000000000067762635780344,0,-0.0323425032780284,0,0,0.0227899519850641,0,-0.00213458812945581,0.0327746097014947,0,-0.0256720923687078,0,0,-0.0765584692705132
VIX.INDEX,0,0,0,0,0.0247856593548157,-0.308528989810549,0.173211010437451,0.0163928820567227,0,0,0.225107929644059,0,-0.366302935037691,0,0.122342081579903,-0.185805080221701,0.00859832515646566,0,-3.64623963820747,0
