,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,XMR,NEO,EOS,ZEC,XLM,DOGE,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0936922037596911,-0.0385270357768345,-0.126649254453354,0.160761235885451,0.166189773534756,0.0969748853155183,-0.0196014293725801,0,0.0273576446711808,0.0575162610652952,0.0539628809535854,0,-0.0636768147961913,0.183338945584692,0,0,0,0,0.191571334319111
ETH,0,0,0,0,0,0,0.239515984410028,0.0190019904958119,0.0686137630961162,0.0614621586901095,0,0.0639498586877884,0.110055407218413,0,0.237273077688138,0,0,0,0,0.0632506633339856
XRP,-0.066539985621632,0.215546608654322,0,-0.130882057170373,0,0.276955500882339,0,0.270533617650423,0.0716923050037797,0,-0.0188194844199497,0.0208166017633838,-0.163255989512433,0.182800021063755,0.0392499742095907,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.1599698609399,-0.167059666363066,0,0,0.0271684229951507,0,0.161707147657623,0,0,0,0,0,-0.352713773990204
LTC,0.244065249715496,-0.0523631491383179,0,0,0,0,0.236975073550115,-0.13535298033039,-0.020733788162055,0.0542160532814868,0.125331936343339,0,0,0.0412806116346502,0.188820326699652,0,0,0,0,0
XEM,0.213016555638337,0.00000000000000000693889390390723,0.288001322076392,0,0.0980311442905825,0,0,0,0,0.147747860145673,0.0136446709496001,0.109384351565664,-0.105177972515216,0.194752398680196,0,0,0,0,0,0
ETC,0.00000000000000000173472347597681,0.204997778576691,0,0,0.247376926849079,0,0,0.178640784240797,0.0494717156838509,0.0783430584368068,-0.0418622278727782,0.0080327165886465,0,0,0,0,0,0,0,0
DASH,0.194310612618391,0.105780152777692,0,0,0.0568789218735931,0.158001218606013,0.171410672505874,0,0,0.130838374951653,0.0657110677428578,0,0,0,0,0,0,0,0,0
MIOTA,0.38550253602816,0,0.160910843113847,0,0,0,0,0,0,0,0,0.0272749155263087,0.26460962002232,0.283621561433809,0.13923637579885,0,0,0,0,0
XMR,0,0,0,0,0.079823241705112,0.130155374772509,0,0.450462722075983,0,0,-0.0106054078689307,0.0245453385696259,0,0.260362634023856,0.020089193288114,0,0,0,0,0
NEO,0,0.0852502954980592,0,0,0.113322884058964,0,0,0.12081570644383,0.0192747959565561,0,0,0.0233426549311128,0.687038271784553,0,0,0,0,0,0,0
EOS,0,0.333050244154634,0,-0.0982797744900564,-0.31258380634527,0.484331622066402,0.0827755197733052,0,0.0770904850628887,0,0.118698853111638,0,0.203885136313613,0,0,0,0,0,0,0
ZEC,0,0.14827127072581,0,0,0,0,0,0,0.15624317942399,0.0782356602436417,0.0325232238229945,0.0289868266109617,0,0.108209590191517,0.0721718516099854,0,0,0,0,0
XLM,0,0,0.0675553781323333,0,0,0,0,0,0.142059604256915,0.553647845359478,0.0122761340305355,0.101588403286595,0.0942586768014701,0,0.115645976142449,0,0,0,0,0
DOGE,0,0.10016476279437,0.224232977941068,0,0.0668173025797752,0.303874521221478,0.00574209970810136,0,0.0726979170367392,0.131844359267786,0.0127836271777478,-0.0602839557492817,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00257215126963374,0,-0.0160123467510855,0,0.00949996295609578,0,-0.0111967615411665,0.00619386598400873,0.015478396552895,0,0,0,0,0,0,0.0227622389201375
CVIX.INDEX,-0.0404219865567455,0,0.0603497413880829,0,0,-0.0203653713690746,0.0500502480486956,-0.131298435004467,0.0714091526591327,0.0231254461743174,0,0.0267282959966712,-0.116543246541616,0,0.0231280836725586,0,0,0,0,0.0293883491440968
DXY.INDEX,0,0,0,0,0,0,-0.00000000000000000010842021724855,0,0.00365724582482015,0,0,0.00424976614329466,0,-0.00325799937983624,0,0,0,0,0,0
SPX.INDEX,0,0.00452331042183152,0,0,-0.000275994577349089,-0.00268221478152529,-0.00424152268556783,0,0,0,-0.000446658970021325,0.00156045373122561,0.00059200206014898,0,0.000191578596809217,0,0,0,0,-0.0617184407241978
VIX.INDEX,0.203599440334475,0.337164859144951,0,0,-0.0519469629086347,-0.0614650751174422,0,0,-0.129417604602318,0.101930250401832,-0.041033456465419,0.0212051038294239,-0.07980210171605,0,0,0,0.166831960783374,0,-2.50439567526114,0
