,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0611568403751314,0.0236648848423498,0.0499106795124366,0,0,0.182110654057851,0.0701411557453067,0,0.07637596945275,0,0.111589358697383,0.000599976498773257,0,0,0,0,0
ETH,0,0,0.222614094698148,0.308846098016273,0,0,0,0,0.0972518692083233,0,0,0.0792761541277933,0,0.11713804988682,0.0747916118511888,0,0,0,0,0
XRP,0,0.367820105712685,0,0.00000000000000000693889390390723,0,0,0.0710602458004996,0,0.108951102329414,0.110443478489138,0.0448036426029813,0,0,0.010061893390238,0.0140875676482642,0,0,0,0,0
BCH,0,0.254346321574854,0,0,0.307304064133107,0,0,0.285152608782231,0,0.0181549322417165,0,0,0,0,0,0,0,0,0,0
EOS,0.747943715114124,0,0,0,0,0.00436722320859407,0.14633353122653,0,0,0.219378197162804,0.0339666049771307,0,-0.0690040403086177,0,0.399938696046783,0,0,0,0,0
XLM,0,0,0,0.112325001735372,0.19779506473499,0,0,0.289362708619291,0.0605625981159832,0.0450654228599239,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.150856431067803,0.336895712820184,0.00141363009939507,0,0,0,0,0,0.0484931053299462,0,0,0.0903253594941433,0.192669591080493,0,0,0,0,-0.00940847684581749
ADA,0,0,0,0.240173437547162,0.0468462395172128,0.241710246207084,0,0,0,0.0014090809022749,0.0862769877796953,0,0,0.0206262722272755,0.186946084194334,0,0,0,0,0
MIOTA,0,0,0,0,0.0693764595788123,0.181517888051941,0.18001519868311,0,0,0.0654075774110744,0.569001728450792,0,0,0.0284949419203174,0,0,0,0,0,0.0976963577210927
TRX,0,0.445102906387658,0.0524581230644409,0.213596783264947,0.208940200650444,0.0593046931964813,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172264507347133
NEO,0,0,0,0,0.0689013665015903,0,0,0,0.512154183934106,0,0,0,0,0,0.333413700373934,0,0,0,0,0.0718612886062712
XMR,0.288664201240609,0.175415734494435,0,0,0,0,0,0.15882957188478,0,0,0.184551538584859,0,0,0.0189798485701771,0.171622173672343,0,0,0,0,0
DASH,0,0,0,0.202694811439485,0,0.0753104007891743,0,0,0,0,0.0717933691236342,0,0,0,0.23897696542773,0,0,0,0,-0.064908075324419
ETC,0.435818442360123,0.0702035746992057,0,0,0.251710861150641,0,0,0,0.187082358407241,0,0,0,0,0,0.0864124416191021,-0.0611131870937569,0.430260972882924,0,0,-0.0468290843785213
XEM,0,0,0,0,0,0.27088692359395,0,0,-0.00000000000000000693889390390723,0.229823557123418,0.258154132733423,0,0,0.0704580860098898,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0588562084565532,0,-0.146678653897483,0.029990586826931,0,0,-0.0325135799194741,0.0353677304737681,0,0.175447460184138,0,0,0,0,0,0,0,-0.165073506368969
CVIX.INDEX,0,0,0,0,-0.00562175958480258,0.417019163462033,-0.0246253137755909,-0.1560836027324,0,0,0.143427962219683,0.172021276990616,-0.588135403235566,0.0603771034023325,0,0.192891007455283,0,0.45834437240907,0,0.111777063166641
DXY.INDEX,0,-0.0515581411304062,0,0,0.0345021611745322,0.0631200684870116,0,-0.0438476192961089,-0.00763224571285131,0.0348346781855898,-0.0108158462833042,0.0017161481941571,-0.0135799477843472,0.0307906011028348,-0.0407815223962707,-0.0259175964261442,0.0244533824873641,0,0,0.0128300232523926
SPX.INDEX,0,0,0,0.00890739553078046,0,0.0105867568626409,0,0.00349489420436929,-0.027436980061057,0.00461183261433448,0.00643399553273591,0,0,0,0,0,0,0,0,-0.0609478167981362
VIX.INDEX,0,0,0,0,-0.114895872751591,-0.0681337880368222,0,0,-0.205800055441283,0,0,0,0,0.13035036171294,0.116458212337638,0,0.307299092772789,0,-8.11933288479829,0
