,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,ETC,MIOTA,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0333464694543806,0,0.102562334278419,0.110790635943773,0.0125648152846409,0.192736149566927,0.126963471112232,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0593872061228873,0.180467955200078,0,0.155051947169436,0,-0.00000000000000000693889390390723,0,0.193721709634516,0,0,0.136801482748364,0.00668608277567985,0,0,0,0,0
XRP,0,0,0,0.104535412374107,0.0515138008477231,0,0,0.110684972888371,0.0810995175243882,0,0.0537187457817554,0,0,0.124599051446704,0,0,0,0,0,0
BCH,0.423335843574896,-0.54024128576399,0,0,0.389992416875133,0,0.284276870179,0,-0.127781593420251,0,0.0437300435336348,-0.163952585052391,0.314213824708399,0,0,0,0,0,0,0.047585861359829
LTC,0,0.205164641058647,0.0499168360653509,0,0,-0.0291231032096935,0,0,0,0.73620338082237,0,0,0,0.00341116948807638,-0.0332380471051549,0,0,0,0,0.00554931469515859
DASH,0.154714691681472,0,0.064730487384102,0.137113207977205,0,0,0.162624813855677,0,0.0517469059181336,0,0.168083019845605,0,0.0430075424215989,0,0,0,0,0,0,-0.0870531083292921
XEM,0,0.732819830941277,-0.037857247826359,0.0173785681961535,0.088847311293652,0.321450955243715,0,0.0772640618882947,-0.127573265351577,0.0000000000000000138777878078145,-0.00000000000000000346944695195361,0,0,0.0558327655671648,-0.00000000000000000693889390390723,0,0,0,0,0.0610566716031608
NEO,0,0,0,0.000808589807733885,0.114754094906288,0.0677744241242615,0.279202037634447,0,0,-0.0000000000000000138777878078145,0.0494545065103314,0,0,0.334373552136759,0.150011077656063,0,0,0,0,-0.270921861443483
XMR,0,0,0.280106082582318,0.0800047839787684,0,0.0593363606623358,0.0908585828330597,0.117481157481495,0,0.123631655477693,0,0,0.0800426094761267,0.0888901081647873,0,0,0,0,0,0
ETC,0,0,0,0,0.60049014306168,0,0,0,0.0696081721787068,0,0.100721775962626,0,0.00636241368803197,0.120936878524762,0,0,0,0,0,0
MIOTA,0,0,0,-0.0988397222884601,0,0.0364039305234324,0,0,0.0652807580647182,0.000132976894208057,0,0,0.438868160296844,0,0.325305632072608,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,-0.0777411887888535,0,0,0.27419612024448,0.278803624516914,-0.019231092122721,0,0.0219382282394099,0.123779095412731,0,0,0.158463059900349,0.196008421320707,0,0,0,0,0
XLM,0,0,0,0,0,0,0.307947903251243,0,0.175640438342588,0.183840609080626,0.0646782873998045,0,0,0,0,0,0,0,0,0
EOS,0,0.470246387416386,0.0292813409535009,0,0.233903500532357,0,-0.0909911689309637,0.182430085367416,-0.0000000000000000000542101086242752,0,0.0211495310597517,0,0.250554205953138,0.134274097260054,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0203723786673874,-0.0169486751538589,0,-0.00507724000108911,0.0531247017021749,0,0,0,-0.0480329235837036,0,0,0.00458047009852287,0.0697578366324141,0,0,0,0,-0.0537372262130013
CVIX.INDEX,0.207998209386855,-0.164364525794095,0,0.00164685470265201,0,-0.0352626531861692,0.0790788779659521,-0.026909518131943,0.0492436096111073,0,0,-0.0145570111022344,-0.0562278568916316,0,-0.00628047556773956,-0.354903875780789,0,0,0,0.0628929180435514
DXY.INDEX,0,0,0,0.000327037904094934,0.0020499418278455,-0.0288576099321568,0,0.00882003894722239,0.0055913837025709,0,0,0,0.00868559723700467,0,0,0,0,0,0,0
SPX.INDEX,0.00395378557704849,0,0.00115442855559318,-0.010816725386361,0,-0.00621555156554233,0,0.00143021427281254,-0.00646037096177994,0.00422105896770112,0.00110193317452753,0,-0.00203833613328698,0.00721066066427943,0,0,0,0,0,-0.0357888528420209
VIX.INDEX,0,0.390892087903542,-0.0178937633036025,0,0,-0.326641634448904,0.10545420263725,-0.0802424453120463,0,-0.0677421108609206,0,0,0.2485128559111,-0.00000000000000000346944695195361,-0.240492981304345,0,0.785647600824574,0,0,0
