,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,ETC,TRX,DASH,MIOTA,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0570041280923351,0,0.317831386047317,0,0.0198673999747528,0.118957486008965,0,0.0768826015167103,0,0.063607432658323,0,-0.00000000000000000346944695195361,0,0.0539137034557917,0,0,0,0,0.0251863691463983
ETH,0,0,0,0,0,0,0,0,0.1646869136934,0.173080169994558,0.139923586901206,0,0.168052589017958,0.098548064826324,0,0,0,0,0,0
XRP,0,0.0548063966708134,0,0,0.333604386377118,0.0675306746744679,0,-0.0892380117282151,0.0527712941223775,0.0908024427476557,0,0,0.232477532581156,0,0,0,-0.164574884952952,0,0,0.0932141151454906
BCH,0.196713834253304,0,0,0,0,0,0.332102456949178,0.1177354997029,0.124127123450284,0.0744766807918497,0.182594467497434,0,0,0.014918731337508,0,0,0,0,0,0
EOS,0,0,0,0,0,0.142430935940289,0.499917581795612,0,0,0.0565482822151741,0.191708974150567,0,0,0.147664103324965,0.224041470383,0,0,0,0,0.0053130325195386
XLM,0.0596881859985841,0,0,0,0,0,0,0.26771888607859,0.271466040083319,-0.067983039006657,0.16690582636337,0.135300215502615,-0.000000000000000000216840434497101,0.216272389987447,0.000398652922031013,0,-0.0918260370759741,0,0,0
LTC,0.108394939485562,0,0,0.410292305199678,0.324435590051084,0,0,0,0,0.0540879736695669,0,0,0.133621701218409,-0.120054437198057,0,0,0,0,0,0.0347486115619964
ADA,0,0,0,0.196197378622655,0,0.288102825782893,0,0,0,0.0349392473118598,0.198447422226182,0.145862130702352,0,0,0,0,0,0,0,-0.0514039592645954
XMR,0,0,0,0.249896636400199,0.0220670211375879,0,0,0.125913911125308,0,0.0972321749024756,0,0,0,0.152940397710752,0.222544630465908,0,0,0,0,0
ETC,0,0.608899774199451,0,0,0.23700789432647,0,0,0,0,0,-0.058521632149208,-0.254813636451307,0.223336452864764,0,0.105266799030417,0,0.408731005594959,0,0,-0.13885736367039
TRX,0,0.257280311284263,0,0,0.277330673681679,0,0,0.145927090912058,0,0,0,0.375029223948185,0,0,-0.0335510554087155,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.201770105701646,0.103662929720335,0.135394557395978,0,0,0.0157907778485381,0.292840490374876,0,0,0,0,0,0
MIOTA,0,0,0.384907798492847,0,0,0.0117971302776308,0,-0.0665386908851625,0.0990965347819455,0,0.221000142798146,0,0,0.587746652604457,0,0,0,0,0,0.0392806986746952
NEO,0,0.0590458701468296,0,0,0,0,0,0,0,0,0.270385185816587,0.070726332373638,0.487709040158845,0,0.210553381453584,0,0,0,0,0.0867612567076833
XEM,0,0.323033078352956,0,0,0,0.152136349608806,0,0.414717750201804,0,0.105159314628692,0,0,0,0.0912204310664285,0,0,-0.338746029825942,0,0,0.178689167819695
BV010082.INDEX,0,0,0,0,0,0.00104426034614006,0,0,0.0272541666015358,0,0,0,0,0,0.0163818659159559,0,-0.123721457514173,0,0,-0.0263982690416506
CVIX.INDEX,0,0,-0.102428502246033,0,0,0.0840857232671239,0.0663932420472916,0,0.22790844969132,0.037443378013907,0.037403982505273,-0.18556339013813,-0.164392954152196,0.17861824447887,-0.0620334048165114,-0.813006002066705,0,0.353265799471857,0,0.0721739666168052
DXY.INDEX,0,-0.0215450970071309,-0.0144888700617771,-0.0167612658167366,0,0,0,-0.00234328301464269,0.0276945046106715,0.0245280872332036,0,0,-0.0121604978644759,0,0.0137657647581127,0,0.121580987770289,0,0,-0.00337524191821167
SPX.INDEX,0,0,0,0,0,0,0,0.00815319920574179,0,0,0,0,-0.0145605590726379,0,0,0,0,0,0,-0.0601424998360932
VIX.INDEX,0,0,-0.645883122483494,0,0,-0.112588667392836,0,0,0,0,0,-0.151947649487102,0.119361143070429,0.0296718514619528,0.424147987313361,0,0,0,0,0
