,BTC,ETH,XRP,BCH,LTC,ADA,EOS,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.186718422786032,0.00000000000000000010842021724855,0,0,0.0617937429870636,0.137577972658941,0.0792399375343939,0.0295163578987867,0,0,0.0730141307380087,0,0,0,0,0,0
ETH,0,0,0.134162816570594,0.25654838612561,0.140219348598887,0.0246682825929616,0,0,0,0,0.0963536925739659,0.14117087573307,0,0,0,0,0,0,0,0
XRP,0,0.137026444644603,0,0.106986017288531,0.0922707565961932,0,0.0154659084036282,0,0,0.122626047491434,0.127679739399908,0.0516361844997572,0,0,0.0262868416378937,0,0,0,0,0
BCH,0,0.331182618392043,0.0718026468351464,0,0.169171128686821,0,0.0512312155601221,0.157871457229675,0.025417499978819,0.0230158122957749,0,0,0.0316982795748409,0.0803661520192055,0,0,0,0,0,0
LTC,0,0.268515207264554,0,0.305999926630962,0,0,0,0,0.0593171292117057,-0.000000000000000000867361737988404,0.0680061046906425,0,0.0526189031739372,0,0.208860646151081,0,0,0,0,0
ADA,0,0.527657530254579,0,-0.20662318817602,0,0,0.144064084133518,0.0127399692522627,0.257015680224634,0.103890423198915,0.171084761510679,0.125519659958762,0,-0.0513600290497298,0.051262854681932,0,0,0,0,-0.0217058609808866
EOS,0.183308412151789,0,0,0,0.17060946264882,0,0,-0.0375403409019929,0,0,0,0.115955766134665,0,0,0.260041209526287,0,0,0,0,-0.0787560914867649
XLM,0,0,0,0.152698721853138,0,0.191124656265714,0,0,0.230761530043561,0.0427682270132658,0.196722139286566,0,0.122215467341235,0.037195532453955,0,0,0,0,0,-0.0177692263720771
MIOTA,0,0,0.269812688156196,0,0,0.0515681925656591,0.0332166010672981,0.00456843238065975,0,0.287457546307056,0.0508334549196466,0.0214185862731283,0.0980720111361553,0.104262899114328,0,0,0,0,0,0
NEO,0,0.276000454889626,0,0,0.0360914902662852,0.0577818862861923,0,0,0.0987433846874925,0,0.0468129836269177,0.189947099772436,0,0,0.192266241059487,0,0,0,0,0
XEM,0,0.336896010323837,-0.03886523275705,0,0,0.296175450917486,-0.111925982777571,0.142663840775358,-0.182539642193447,0.386259548188265,0,0,0,0.220170948414215,0,0,0,0,0,-0.0174174742237006
XMR,0.818893684829435,0.132777139832013,0,0,0,0,0,0.0775101944689672,0.0837706968919475,0.0720356528765085,-0.0751314511904769,0,-0.00000000000000000693889390390723,0,0,0,0,0,0,0.0722243754282423
DASH,0.334013918636566,0.121801378396128,0,0.00393314491519359,0,0.0841578853845711,0,0,0.0977771159146701,0.0916638972730708,0.0437190494017233,0,0,0.0540126551251029,0,0,0,0,0,0.0711928747174888
TRX,0,0,0,0.0710121533989596,0,0,0,0,0.459717581343686,0,0.0478469006556607,0,0,0,0.113614357637246,0,0,0,0,0
ETC,0,0,0,0,0,0,0.23186303650457,0.0759874270705658,0.28122921423291,0,0.127857358269977,0,0,0.0912933025475253,0,0,0,0,0,-0.0378903839463753
BV010082.INDEX,0,0,0,0,0,0,0.0252581828947005,0.013985299298538,-0.000981839311011547,0,0,0,0.104388423008359,-0.0410225130760919,-0.0131920292206507,0,0,0,0,-0.0651754650153954
CVIX.INDEX,-0.0124968985763321,0,0,0,0,0.10055533424995,-0.0773390187161611,0,-0.0361376295858905,-0.0369317011231761,-0.19733254459198,-0.00762860634694308,0.151565888605796,0.0366675409776329,0,0,0,0,0,0
DXY.INDEX,0,0,0.0160975343984654,-0.00974658210001634,0,0.00961469669991083,-0.00434527636970625,-0.00172938176222219,0.00816625180738973,0,0,-0.0272235335985626,0.010710369410231,-0.0122466746722406,0.00560938892176311,0,0,0,0,0.00488529172300542
SPX.INDEX,-0.0448964963592711,0,0,0,0,0,0.0233843496320995,0.00322456751920619,0,0,-0.00266949239560749,0,-0.0104807938367791,-0.0334246076628961,0.0294953548980257,0.039863618329838,0,0,0,-0.0907178273139612
VIX.INDEX,0,-0.263656686879714,0,0,0,0,0,-0.0888410815302847,-0.222045023127528,0.228095446197153,0.0635728274492127,0,0.11969334311616,0.16125046892996,0,-0.687514268488701,0,0,-3.88071462557907,0
