,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,BSV,TRX,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.107988665641754,0.0229724898116932,0.153512736286005,0,-0.0108337422772009,0,0.00823775644610258,0,0.250078963286052,0,0,0,0,0,0,0,0.042678838872679
ETH,0.0152083506273408,0,0.411418488244395,0.067294423487965,0,0.073396591801094,0,0,0,0.0485802292673041,0,0.177349602740909,0.0116467537746419,0,0.0232708025542105,0,0,0,0,0
XRP,0.297508320465502,0,0,0.00000000000000000173472347597681,0.0624534841921861,0,0,0,0.0365516953465352,0.02939261295699,0.252609656921264,0.153473677929154,0,0,0.0686884131287344,0,0,0,0,0.00919034031422092
BCH,0.60140216934212,0,-0.0100580642758163,0,0.276015462270742,0,0,0,0.251299239393322,-0.0000000000000000138777878078145,0,0,0,-0.142930193490592,0.0225830638479399,0,0,0,0,-0.0459788887506309
LTC,0,0,0,0.117243107720377,0,0.241713243085937,0.0822728206386707,0,0.123519650791758,0.0203264290255446,0.0276654760369156,0.25139273376377,0,0,0.0975521259818714,0,0,0,0,0
EOS,0,0.388829785550398,0,0.254542102022384,0.0522240254543959,0,0,0.0438454360576153,0,0.0299157349979188,0.00968191172356415,0,0,0,0.0700405899908567,0,0,0,0,0.0587459857569664
BNB,-0.458371067383244,-0.29898718515817,0,-0.00519061247518085,-0.109023517948397,0,0,0,0.239973002733346,0.226623845784821,0,0.467790055135528,0.292190102843094,0,0.0313164581207221,0.380721992397295,0,0,0,-0.00463688562357176
XLM,0,0.0781056043601298,0.439648696310863,0.074543766159313,0,0,0,0,0.0715446853858794,0,0.0243913114838178,0.0794402873424506,0.0952516905340837,0,0.0334750047971796,0,0,0,0,0
ADA,0,0.0866034945259177,0.164274044816607,0.251383203401692,0.258622516613055,0,0,0.102668073843385,0,0,0.0612323963052037,0,0,0.0327605445424883,0.00774783397326274,0,0,0,0,0
BSV,0,-0.156139912200764,0,-0.264791832554384,1.00227256175841,0,0,0,0,0,0.0417490152197571,0.101259821636592,0,0,0,0,0,0,0,0
TRX,0,0.0130069848411253,0.305297925772498,0,0,0,0,0.104982294702333,0.0929950974486426,0.060867753377014,0,0.178568081853837,0.0701544081916572,0.0513731076961662,0.0450691003597603,0,0,0,0,0.0477296620755947
XMR,0.392250520844726,0.063648965545092,0.0762432496609783,0,0,0,0.100781557176033,0,0,0.0482879726596488,0.402426779796082,0,0,0.00709187883903612,0.0426388008948204,0,0,0,0,-0.0477256609330269
DASH,0,0.125741842797667,0,0.140717640188879,0,0,0,0.238182482815787,0,0.0158893009746553,0,0,0,0.185361863888585,0,0,0,0,0,0.00179035822808543
MIOTA,0,0,0,0,0,0,0.0674023414057179,0.0544753894270472,0.115796369505145,0.07788810362865,0.0229063962936509,0.289140190688425,0,0,0.00133079648852209,0,0,0,0,0
XTZ,0,0,0.39640984517666,0.00000000000000000693889390390723,-0.0986114075164469,0.00000000000000000693889390390723,-0.067114619804214,0.672413657407715,0,0,0,0,0,0,0,0,-0.362246158802131,0,0,0.00301681863422877
BV010082.INDEX,0.0621923023221562,0,0.0491837310157313,0.045807254912789,0.0602879145285186,0,0.0702521282397656,0,-0.165736020492215,0.045819614770722,0,0,0,0,-0.0360095945179332,0,0,0,0,-0.0484748870288115
CVIX.INDEX,0,0,0,0,0,0,0,0.448888732986299,-0.14060377906049,0.0126072845170382,0,-0.115429427974899,0,0,-0.280749850289835,0,0,0,0,0.0929529138038372
DXY.INDEX,0,0.0258849031776165,0,0,-0.0239434541212193,0,0.0129674293044576,0,0.0218839089709018,0.0010144882661975,0,0,0,-0.0159923529411852,-0.00872145811531613,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00544453916146377,0,-0.0273754991942233,-0.00321830143707961,0,0,0,0,0,0,0,0,0,-0.069653689396501
VIX.INDEX,0,-0.0792900391356796,0.0643015327114434,0,0,-0.168315782297172,0.017126205181374,-0.341927439714932,0,0.0142588858605301,0.829926498169689,-0.588314092183576,0,0,0,-0.272871072842157,0.201364109776867,0,-6.77599821657552,0
