,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0158240233800927,0,0,0.0225345862496246,0.0438625647679961,0.138564350117996,0.00478366953546835,0.227701475211749,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0650208979804558,0.181534005300898,0,0.125841337518984,0,0.162192269247604,0.0343160157772067,0,0.0452178866627733,0,0.113495585842381,0,0,0,0,0,0
XRP,0,0,0,0.0590278369704381,0.0442812308549407,0,0.0770831537633188,0,0,0,0,0,0,0.320788930847668,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.651545027323664,-0.0586080811401758,0,0.000000000000000000216840434497101,0.325215651237588,0.146412054473349,0,-0.386612427742476,0,0,0,0,0,-0.272323506434104
LTC,0,0.131446302083114,0.0560172151593298,0,0,0,0,0,0,0,0.744229679299091,0,0,0.0000000000000000138777878078145,0,0,0,0,0,0.00710171212763427
DASH,0.340561642655016,0,0,0.0904448408315956,0,0,0.152496562698563,0,0.078034984781033,0.0723179346292146,0,0.0583211545060074,0,0,0,0,0,0,0,-0.0277111708567065
XEM,0,0.152152914931894,0,0.0742229003040537,0.173106472542195,0.245652986060113,0,0.131470028064799,0.0205485113649143,0,0,0,0,0.122064081274731,0,0,0,0,0,0
NEO,0,0,0,0,0.283328422487752,0,0.0199963916790395,0,0.300768451926434,0.0851890053932211,0,0,0,0,0.0803324317165263,0,0,0,0,-0.304040114820986
MIOTA,0,0.093561513151155,0,-0.0924526108728006,0,0.0315332465130848,0,0,0,0.058233297621272,0,0.391909448942243,0,0,0.312169949536908,0,0,0,0,-0.0186275598609549
XMR,0,0,0,0.0801264304522143,0.0473395534410377,0,0.0702235540692093,0.063207794162511,0.0309151578447678,0,0.0288287909999297,0.171498419467375,0,0.211321584139806,0,0,0,0,0,0
ETC,0,0.0909955918428566,0.0158989461155939,0.0220416342804858,0.578246100916169,0.107221599589525,0,0,0.107230027815185,0,0,0.00611152793223415,0,0.00393882526533414,0,0,0,0,0,0
ZEC,0,0,0,0.0313389499119427,0,0,0.0764206755357257,0,0.221449745293401,0,0.0207256048214842,0,0,0.192429168523292,0.0174854353743722,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.336258889588867,0.384029964000659,0,0,0,0,0,0.000000000000000000216840434497101,0.17938291165488,0.0908018878897983,0.0825788519620249,0,0,0,0,0,0,0,0.0324435484039317
EOS,0,0,0,0,0.383935153676247,0.0190502726434728,0,0.200583706098952,0.199282784237834,0.127074071167445,0,0.0859838506930041,0,0.217824335451517,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0123659080773474,0,-0.0675321106953676,0.0355946416400096,-0.0141604168171352,-0.0344941372119839,0,-0.00310438216447228,0.0475406679360593,0,0,0.0478003139068881,0,0,0,0,-0.0634792459488315
CVIX.INDEX,0.118699844778495,0,0,0.00740444179862541,0,-0.130176279346217,0.0792856361368106,-0.000000000000000000867361737988404,0.0240832898537317,0.0578159335630045,0,-0.0119375243764207,0.00534245480936856,-0.0896954851515426,-0.0535820041327902,-0.109878041972178,0,0,0,0.0550886484763734
DXY.INDEX,-0.000000000000000000433680868994202,0,0,0.00165672422149327,0,-0.034822874503142,0,0.00667500738424781,0,0.00557090467119739,0,0.0144183519226747,0,0.00200467768451425,0.00567411993950351,0,0,0,0,-0.0038731390679371
SPX.INDEX,0,0.00682954025307042,0,0,-0.000609789355595608,-0.0102962806295289,0,0.00282654194856324,0.00144291224095577,-0.00573405859439842,0,0,0,0,0,0,0,0,0,-0.0507425780992108
VIX.INDEX,0,0.0517049474257028,-0.0466014641428509,0,0,-0.459911599899386,0.12754532489206,0,0.0664069221256004,0,-0.0801129370378359,0.363410041208251,0,0.111075722524814,-0.265036745233476,0,0.660942532398589,0,0,0
