,BTC,XRP,ETH,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.203252391993017,0,0,0.0283005188580931,0,0,0.334818700134511,0.025776865904509,0,0,0.0984966910481036,0.00737712050090352,0,0,0,0,0,0
XRP,0,0,0.732676022648212,0.0747973109176441,0.0892532220118854,0,0,0,0,0,0,0.036717385308382,-0.388998246600855,0.297644547664217,0,0,0,0,0,0
ETH,0,0,0,0.0913335859120121,0.150297281007335,0,0,0.0307525790222282,0.00376747590831567,0.106835478317548,0.378865536394952,0.125918126455894,0,0,0.0623396856208667,0,0,0,0,-0.0391840138239018
BCH,0,0,0.282300601665512,0,0,0,0.285339235753996,0.252052572826859,0,0,-0.222789249457587,0.443854542760724,0.233365475676918,0,0,0,0,0,0,0
EOS,0.0267799192402147,0,0.271165966851111,0.0840875448431532,0,0.093957396230517,0.20185496167924,0,0,0.0859720961796783,0,0,0,0.052924293298201,0,0,0,0,0,-0.0228814045500097
XLM,0.20317903610069,0.0963505626348472,0,0,0,0,0,0.611636091872351,0,0,0,0,0.0502576235846125,0,0,0,0,0,0,0
LTC,0,0,0.157207971200386,0.155151459269733,0,0.07691534933115,0,0,0,0.0766419661480055,0.161033789568505,0.151034459082347,0,0,0.090193678980061,0,0,0,0,0
ADA,0,0,0.242640725542145,0.0697698315357109,0,0.157523635962809,0,0,0.0884850812321894,0.203561312960361,0,0.170415897242908,0,0,0,0,0,0,0,0
XMR,0.618638285381511,0,0,0,0,0,0.116239206943567,0,0,0.00516873487503364,0.0718314012579632,0.0470395971956105,0,0,0.288952534592512,0,0,0,0,0.00565221535821745
TRX,0,0,0.396169155248701,0,0,0,0,0.0744164773675946,0.00687352341521974,0,0.035495996751638,0.188386974086075,0.143971077759624,0,0.094472391083706,0,0,0,0,-0.0581170014865676
DASH,0,0,0.307768136366234,0.0153702303166663,0,0,0,0.201846882162304,0,0,0,0,0.121417292324327,0,0.109734292422401,0,0,0,0,0.00227182292942905
MIOTA,0,0.017348643110155,0,0.0234024540411778,0,-0.0875242929780915,0,0.394707743367221,0.408202390451236,0.155447205858052,0,0,0.0518720754693476,0.00000000000000000173472347597681,0.166162594536692,0,0,0,0,0
BNB,0.141124854519634,0,0.406866652777112,0.0534749386983126,0,0,0,0,0,0.242209869852422,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0282427993770474,0,0.291444120398708,0,0.127371625864132,0,0,0.224194522549611,0.173739277874788,0,0,0,0,0,0,0,0.0172735432830747
ETC,0,-0.0226899570177356,0.328203281128818,0.0390617883783238,0,0,0,0,0.2209436280975,0.088913869841983,0.15125093621329,0.122199765285771,0,0,0,0,0,0,0,-0.0138685980659567
BV010082.INDEX,0,-0.0108082069473609,0,-0.0466837728430224,0,-0.102021173552429,0,0,0,0.0153873680692111,-0.0196107448654883,0,0.101019300722862,0.0159527945328653,0.103350992418055,0,-0.0642589315276024,0,1.06106938791453,0.0691151560563111
CVIX.INDEX,-0.300135341254817,0,0.222516753613448,-0.0667751285976193,0.225260859492071,-0.0697177102579593,-0.388779825807059,0,0,0.0320072893865262,0,0.222293973275994,0.0612259535038647,-0.00232843393480363,0,0,0,0,0,0.0696347089429122
DXY.INDEX,0,-0.00593816300985852,0,0.00920170245555875,0,-0.0151999061751696,-0.0610562655354707,0,0.032501357295069,-0.00140431578645847,0.00988052674124456,0.0135415746095707,0,0.00863830168507538,0,0.0361085312315826,0.03740963060095,0,0,0.00390407588822717
SPX.INDEX,0,-0.0570585184067807,0,0.00182048032392336,0,0,0,0,0,0,0,0,0,0.0399134264439735,0,0.00916093435002206,0,0,0,-0.121405655160971
VIX.INDEX,0,-0.082498948943502,-0.188024032550029,0.18400958567612,0,0,0,0,-0.205152804017676,-0.115164342298523,0,0.204479786463991,0,0.215392309375536,0,0.217693705107194,1.38595640951152,0,-5.89335464919304,0
