,BTC,ETH,BCH,XRP,LTC,MIOTA,ADA,DASH,XEM,BTG,XMR,EOS,NEO,XLM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.598014460047627,-0.141860409877313,-0.0739306857160755,0,0,0,0,-0.0249464050203808,0.0226195239413918,-0.0458578689912824,0.105024431592574,0.0985458947781563,0.110408311114266,0.147529683055031,0,0,0,0,0
ETH,-0.140084841715118,0,-0.0531677635402823,0,0.160822311020479,0,-0.0149360221467548,0,0.0232045031543332,0.0468336477105811,0.0640917551770304,0.0833269055175865,0.15167140131614,0,0.0741575260626975,0,0,0,0,0.112302291930127
BCH,0,0,0,0.114187589081358,0,0,-0.00000000000000000173472347597681,0,0,0.10021861333201,0,0.0313576389752573,0.112290569319466,0,0,0,0,0,0,0
XRP,0,0.311055472593479,0.167632921378392,0,0.0365177823606314,-0.0234046611431846,0.0484274761260159,-0.152103563782558,0.12503800232959,-0.0509338185359591,0.0990661834270911,0.0218479609103156,0,0,0.10957128599295,0,0,0,0,0
LTC,0,0.0721706117462014,-0.1215487074507,-0.0671880590109992,0,0.0173685885510953,0,0,0,-0.0236787208497971,0,0,0,-0.00558276506517957,0.266515332714702,0,0,0,0,0
MIOTA,0,0,-0.0538962456314083,-0.115519764045813,0.107972899260753,0,-0.124425469918797,0,0.160860421468309,-0.162301949917793,0.255827321934927,-0.0862918600786917,0,0.175408665917353,0.267032801950489,0,0,0,0,0
ADA,-0.20638710007405,0,-0.228460469310445,0.442631103356644,0,0.110123614526806,0,0,0.0557961988377798,0,0,-0.254767823783945,0.205430170476734,0.00000000000000000693889390390723,0.364609295726022,0,0,0,0,0
DASH,-0.147571634667411,0,0.0688562768472062,-0.0324518153503143,0.119995535240029,0.018515238059138,0.0264775548462923,0,0.0210899898943756,0,0.115672806153522,0,0.0628018451981902,-0.0704452119132108,-0.000000000000000000867361737988404,0,0,0,0,0
XEM,-0.108819248744895,0.0960804217571966,0,0.0178918803374936,0,0.0000000000000000138777878078145,0.148912584726122,0.136909679011691,0,0,0,0.0830655924729563,0.141785282568677,0.101538559939175,0.0515108093928302,0,0,0,0,0
BTG,0.351225300084233,0,0.995982506336165,0,0.700395359536986,0,0,-0.287449819525571,0,0,0,-0.678032166078924,0,-0.0941700929558487,0.403908333136793,0,0,0,0,-0.107406707351664
XMR,0.0614228050074585,0,-0.0480293782608074,0.0186925132147596,0,0.106846781589994,0.0937269799939526,0,-0.0159368997786838,0,0,0,0.232836375489191,0.100910854821278,0.0823614228511368,0,0,0,0,0
EOS,0,0.359137678612754,0,0.297332769894872,0.10540425061107,-0.0686162751866608,-0.0569531860467439,0.0602443130200539,0.0666304256048937,-0.0228117972925179,0,0,0,0.129390761173594,0,0,0,0,0,0
NEO,0,0.400133541240387,0.0413041649298582,0,0.156143477044672,-0.173320481573213,0,0,-0.000000000000000000867361737988404,-0.0963444119219459,0.14301152699681,0.0322223829675969,0,0.0350477704276228,0.140002376605977,0,0,0,0,0
XLM,0,0,0,0,0.186277344454533,0.146807085582461,0.296969798423402,0,-0.00000000000000000693889390390723,-0.0405856455296015,0.159108471363284,0.0143980529792364,0,0,0.162701747878633,0,0,0,0,0
ETC,0,0,0.0377769128850381,0,0.190916404592281,0.0888343630940572,0.220407252418574,-0.23248941341867,0.0400571085720985,0.11167405858582,0,0.00972994240227785,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.033105303195487,0,-0.0510902563999276,-0.0137077262482174,0.0149914429916501,0.0054834778954922,-0.011107515816165,0,0.00486577081071337,0,0,0.0153130942592168,0,0.0210685097850681,0,0,0,0,0,-0.0147327726712237
CVIX.INDEX,0,0,0,0,0,0,0.00895563072337014,0.0365763516288087,0.0302683846023122,0,0,-0.0156281126611601,-0.00312046449136679,0,0,0,0,0,0,0.091891837155191
DXY.INDEX,-0.00996107125057103,0,-0.00174512247526748,-0.014575078096908,-0.00700880034278332,-0.0036107200953226,0,-0.00404145703150096,0.00725715667461911,-0.00321559484778907,0,-0.000204246992390284,-0.000972726502419013,0.0127590570302818,0.0086651502559841,0,-0.066742812624347,0,0,0
SPX.INDEX,-0.000413555763640204,0.0115131845111012,0.00149736674430806,0,0,0,0.00437119378607088,0,0.00194005664696696,0,0,0.002077579824105,0,-0.00446847843050134,0,0,0,0,0,-0.0242896344473529
VIX.INDEX,0,0,-0.224748389228546,0.0576751208274012,0,0.137372722364658,-0.0575257364305054,0,-0.0457406371381027,0,0,0.196567661091588,-0.0131787691809082,-0.0789346534602546,0.0519379411230143,0,0,0,0,0
