,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0128323272348546,0.061595657591551,0.176790251593473,0.10050595014063,0,0,0.0267964101322778,0.00000000000000000693889390390723,0.0559406503892953,0,0,0,0.0639890416457109,0,0,0,0,0
ETH,0,0,0,0.0804745294111383,0,0,0.0352156247678381,0.0925930902715621,0.0928870620223188,0.150195434616299,0,0,0,0.0622638370297546,0.175017263332685,0,0,0,0,0
BCH,0,0,0,0.130010330409592,-0.172416910834622,-0.0000000000000000138777878078145,0.86625332984322,0.25189531513445,-0.60543332420554,0.425787790714037,-0.0554568830495817,0.550844160542943,-1.13690065239763,0.365519569855691,0,0,0,0,0,0
XRP,0,0.259289231270368,0,0,0,0,0.129640173453752,0.0760391573779046,0,0,0,0,0.0453238949976261,0.0507971707623894,0.0792059909795337,0,0,0,0,0
LTC,0.0655420058713529,0,0.074949990163934,0.0337689174158187,0,-0.0187778601071483,0,0,0.0258406244470695,0.181888988443675,0.0318731833480571,0,0.053981051789002,0.132320632566515,0,0,0,0,0,0.0247442906086412
DASH,0,0.00146572759617534,0,0,0,0,0.141854152748465,0,0,0,0,0.249792383832263,0,0.198634674408858,0.0699966645472764,0,0,0,0,0
XEM,0,0.170449763508742,0,0.09069051523087,0,0.405700723827391,0,-0.14832811038831,0,0,0.074690755201472,-0.0949634951124214,0.276605861478891,0,0.0418642471312151,0,0,0,0,0
XMR,0,0,0.0584146440833126,0.282893224260714,0,0.148915750736663,0.0361703901185846,0,0.0986771413273137,0,0.0356795907358867,0.0782787897636132,0.115472674334695,-0.00000000000000000173472347597681,0,0,0,0,0,-0.0485691046245058
MIOTA,0,0.297301013896991,-0.0625781778747654,0,0,0.25158452248595,0.0844305727544524,0.0378128857215239,0,0,0,0.252757246673761,0.250135710145893,0.148485921109952,0,0,0,0,0,0
ETC,0,0.348878257630378,0,0,0.379031191379307,0,0,0.0584239501176088,0.00878723611045319,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0915250244201265,0,0,0,0,0,0,0.670983538159549,0,0,0,0,0,-0.178320590846981
ZEC,0,0.0727071933618032,0.014602024867577,0,0,0.0402622380579664,0,0.045183629702196,0.219977991795746,0.086175955652709,0,0,0.159395399617093,0.00000000000000000693889390390723,0.0185884009264275,0,0,0,0,0
XLM,0,0.00117138354996499,0,0.132672230112872,0,0,0.227128815378976,0,0.0471003703795371,0,-0.045936025054081,0.221725150427144,0,0.253100231273505,0.18341442639728,0,0,0,0,0
EOS,0,0.113542320775032,0,0,0.342358070846611,0,0,0.12562113163335,0.147664715055396,0,0.152501974991822,0.100176831404127,0.0866700501474579,0,0.0645535322402243,0,0,0,0,0
BAT,0,0.107006064248312,-0.00981128554544561,0,0,0,0.118162592150816,0,0.0240418505061028,0,0.19711445640033,0.241375694962546,0.285800725750629,0.0564651214289007,0,0,0,0,0,-0.150949639515093
BV010082.INDEX,0,0.049735776042972,-0.0095862908200049,0,0.0746478201339484,0,0,0.00641989807150076,-0.0346480918236521,-0.0509769209671898,-0.00106266622894552,0.0462554495984273,0,0,0.0127984166499813,0,0,0,0,-0.0747982643699024
CVIX.INDEX,0,0,0,0.0574659587028704,0.0462262402795418,0,0.0388886192483174,0.056709867597559,0.0356345373138523,0.000777678444684061,0,-0.0493422888623931,-0.125149388057006,-0.0523305719838858,0.0193957530438233,0,0,0,0,0.0512660593695127
DXY.INDEX,0.00150235455487148,0,0.00408967509573595,0.00175727134143653,0.0130779080284222,-0.00417167000425968,0,0,0.0000105980623538726,0,0.00832241186943312,0,-0.0105782787863914,-0.00557124742877752,0.000616198373560456,0,-0.0183439378246871,0,0,0
SPX.INDEX,0,0,0,0,0,-0.00469406882247892,0,-0.00470083210102834,0,0,0,0,0,0,0.00169304874415285,0,0,0,0,-0.0411413213929758
VIX.INDEX,0,0.281906395146855,0,-0.0673032834722996,0,-0.26391707749913,0.00785046596348398,0,0.104711422742037,-0.0589179815580348,-0.0721848009906089,0,-0.0297617103679561,0,0.0308687326254834,0,0.691470657581826,0,0,0
