,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.426555635704702,0.24601825434478,0.167947784505064,0,0,0,0,-0.0304352898899876,0.022626320273467,0.0845636692429065,0,0,0,0,0
ETH,0.0582614764276274,0,0,0.185033305489901,0.16476861044295,0.0215952159255726,0.0653724860872685,0,0,0,0.0139200177730628,0.124614617854013,0.202700387083603,0,0,0,0,0.0227301686636189
XRP,0,0,0,0,0,0.0550038460110064,-0.0880286120080877,0.0697975449618686,0.48171809501157,0.0621015463076143,0,-0.00563447379345727,0.0674869514353083,0,0,0,0,0.0948346609364014
LTC,0.613279990159983,0,-0.120613900152409,0,-0.0997627302566149,0,0.0953411537197534,0.09066108556322,0.0501874591502532,0.105824565747873,0.118167060495371,0.0757607813037336,0,0,0,0,0,0.0649401952034856
DASH,0.546467938414071,0,0,-0.00000000000000000693889390390723,0,0.125005814042094,0.287076455253668,0.0422609048491726,0.171106647682989,0.112454706464758,0.0333698496275401,0,0,0,0,0,0,0.0995058944993035
XMR,0.734654191976373,0.202557304633822,-0.163756108386573,0,0.0790668455229327,0,-0.0579417299031163,0,0,-0.28580587413666,0.204102444487114,0,-0.0687945161702634,0,0.522445515879593,0,0,-0.138332244285138
ETC,0.21544045740454,0.310048477955983,0,0.201346625298007,0,0,0,0,0,0.252177534292644,0.169257437762844,0.0486333219705935,0.0296860813038067,0,0,0,0,0
XEM,0,0,0.152123741774454,-0.0625764383015006,0,-0.0192121419826519,0.126525255389552,0,-0.575054798927441,0.292578236661294,0.293652867038447,0.316519807366279,-0.212193541358661,0.981841352434829,-0.237005830139921,0,0,0
DOGE,0,0,0,0.141108259729911,0,-0.000000000000000000867361737988404,0.0979221244496476,0,0,0.0307517933192421,0.161097243985887,0,0,0,0,0,0,0
ZEC,0.435092677812636,0.132252285817615,0,0.147545015349431,0.0540210183747942,0,0,0,0,0,0,-0.0925723240758954,0.0978371559153839,0,0,0,0,0
XLM,0,0,0,0.0282879039465069,-0.0223888793847688,-0.0115035933595881,0.262458934256079,0,0.0606980747903539,0,0,0.20344610217672,0,0,0,0,0,-0.0821001112684898
NEO,0.22810037325524,-0.208492774081591,0.380066446848627,0.210766785913407,-0.164316728423521,0,-0.147717692465405,0,0,-0.0215877459128702,0.413208826759474,0,0.27723832520272,0,0,0,0,-0.244742935903366
DGB,0.622569192884996,0,0,-0.990287510825784,-0.000358452334082403,0.0510697218374324,0.0299271615101776,0.15695588978324,0,0.529845288488447,0,0.415683545398073,0,0,-0.393974664905618,0,0,0.341408219505932
BV010082.INDEX,-0.246957967180429,0.0232528595820664,0,-0.03529608420837,0.092345836053077,0.115411632814934,-0.0301564511674184,-0.0229771778919463,0.182272467090352,0,0,-0.0106662645947914,-0.0403235630637869,0,-0.0628262201932356,0,0,-0.0550573496013037
CVIX.INDEX,0.07841978606591,0.128909695029841,0,0.0383421440404817,0,0.0449155450535521,0.0505104222045132,-0.0646586716786505,0,-0.123449740416177,0,0,0,0,0,0,0,0.0587640675952693
DXY.INDEX,0,0.0210056915713634,-0.00646399787488849,0,0.00916116418293046,0,0,0,0,0,0,-0.00737602630102164,-0.0130271079230463,0.149432774983306,0.0145267400883931,0,0,0
SPX.INDEX,0,0,-0.00433467328270723,0,0.000000000000000000433680868994202,0,-0.00683909346354635,0.00369091663450948,0,0,0,0.00516404644522777,-0.000244805861539993,0.0483988720067255,0,0,0,-0.0531812780889289
VIX.INDEX,0,-0.202290925988881,0.236521047774987,0.438582105021731,0,0.126738692011729,-0.300990941637235,-0.239832372131567,0,0,0,0.188857247207948,0,0,0.186610167829154,0,0,0
