,BTC,ETH,BCH,XRP,LTC,MIOTA,ADA,DASH,XEM,BTG,XMR,EOS,NEO,XLM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.599848655795248,-0.129812942587594,-0.0404006812205086,0,0,0,0,-0.0217147717733826,0.0204453707858034,-0.0244778139249329,0.0961509931994271,0.0696843160223668,0.117345979307777,0.108582594222739,0,0,0,0,0
ETH,-0.193166665559942,0,-0.068709557999159,0.0360104424635218,0.179780961419195,0,-0.0301688019767268,-0.00000000000000000173472347597681,0.0033615001529289,0.0524816249958905,0.088521084620319,0.0625277830069286,0.114161942219131,0,0.0821387410295624,0,0,0,0,0
BCH,0,0,0,-0.118455015083583,0,0,0.00000000000000000173472347597681,0,0,0.165213085325056,0.139487195839548,0.175014728791034,0.27267372804107,0,0,0,0,0,0,0
XRP,0,0.294459189620487,0.155230960130115,0,0.0556588648803477,0,0.0524725256585834,-0.140792796732494,0.116172288875459,-0.0489573176843819,0.0686984030789395,0.0147502747896099,0,0,0.110890441880316,0,0,0,0,0
LTC,0,0.11533710416099,-0.123690697394213,-0.0588394810724619,0,0.0357888544663813,0,0,0.0226987585411938,-0.0279582071917658,-0.0391957283871192,-0.014791624089212,0,-0.0126734691486332,0.25262995991246,0,0,0,0,0
MIOTA,0,0,-0.057708231512777,0,0.0399400832885592,0,-0.131622974421903,0,0.247421160478199,-0.155103503417189,0.256127996630218,-0.0630825131279594,0,0.158191182526179,0.198424571992389,0,0,0,0,0
ADA,0,0.263811108088624,-0.288332219097142,0.111740150943678,-0.00000000000000000693889390390723,0.0589747846137894,0,0.23610994799381,0.116093970824145,0,0,-0.104559992993742,0.314916492161553,0.137155792500376,0.325490128307452,0,0,0,0,0
DASH,-0.161500194863533,0,0.0730552472723565,-0.0731617620957873,0.0697705285850295,0.0171151398497503,0.035502434409914,0,0.0361005408207214,0,0.0989371061926826,0,0.058805202182312,-0.0582831614042078,0,0,0,0,0,0
XEM,0,0,0,0.120230936816968,0,0,0.133105495271725,0.163887666682352,0,0,0,0.0593884677275111,0.154903370493393,0.0736622299173393,0.0681696001815268,0,0,0,0,0
BTG,0.361836310568094,0,0.978831905463714,0,0.666736284758574,0,0.0000000000000000138777878078145,-0.382022767149497,0,0,0,-0.691038916537178,0.00175481469685869,0,0.303103365254853,0,0,0,0,-0.190231739746319
XMR,0.267933156583684,0,0,0,0.105089873139718,0.0734726743122576,0.0721794301744416,0.0632845736694557,-0.0253850101191021,-0.000000000000000000867361737988404,0,0,0.28557723963965,0,0.176191106591541,0,0,0,0,0
EOS,0,0.339994598140996,0.0351456217599658,-0.116156978348352,0.172460253880129,-0.0535531899764281,0,0.124226610133026,0.0973582936074231,0,0,0,0,0.203412952544019,0,0,0,0,0,0
NEO,0,0.357918866366716,0.0378480207931444,0.0511207495534354,0.183300404914561,-0.145369848527964,-0.00736328112156913,0,0.00946737317163934,-0.0765750212928077,0.147483947332374,0,0,0,0.11821975831644,0,0,0,0,0
XLM,0,0,0,0.192531467308893,0.00000000000000000173472347597681,0.129829375573324,0.273207458261624,0,0.0195317405419729,-0.0446237219021607,0.163191298850143,0.0104699556838195,0.0786451999358085,0,0.1686942371063,0,0,0,0,0
ETC,0,0,0.0214142184113694,0.0154311030704497,0.1860615733363,0.0921105556772894,0.205472277457777,-0.187825785727297,0.0335028338968664,0.126220123842443,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.0446000095567529,0,0,0,0,0.00550432584957203,0.0311702564056913,0.00780586525733973,0,0,0,0,0,0
CVIX.INDEX,0,0.0234500441024348,0,0.00225879502760045,-0.00565945244582267,0.0182751873797269,0,0.0156752585797634,0.0299435749661719,0,0.0471537370050661,-0.0146705890399932,-0.00407466906019206,0,-0.0332628476072386,-0.280800536803664,0,0,0,0.0751216734688689
DXY.INDEX,-0.0119855148489245,0,-0.00333389566831432,-0.0105507003319225,0,0,0,0,0.0013715398587086,-0.00276637443357988,0,-0.00016153428262696,0,0.00847347815420712,0.00562570628609053,0,-0.0169814429379195,0,0,-0.000595137365768298
SPX.INDEX,-0.00731974231445664,0.0118588800463632,0,0.0000451193508564019,0,0,0.00298707715608538,0,0.00125139633963454,0.000644267570219643,-0.00117375081930342,0.00187280795152063,0,0,0,0,0,0,0,-0.0245225492592275
VIX.INDEX,0,0,-0.196012000745799,0.0522561789679752,0,0.14761926903612,-0.05969893138186,0,-0.0525167438505411,0,-0.0244871557792773,0.184242740739905,-0.0261086042300505,-0.0587982375628119,0.0925958919242598,0,0,0,0,0
