,BTC,ETH,XRP,LTC,DASH,DOGE,XEM,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0373599587056769,0.0625405521006476,0.309772441176177,0.0166555403000854,-0.045636317240611,0.012121169920961,0.0434108327132494,0,0.0146674916994226,0,0,0,0,0
ETH,-1.61258381286715,0,0.259810163092074,0.786569916899859,0.190014192953815,-0.761091156161903,0.503221412625732,0.297001440247703,0.0937928093565388,-0.000848407888059451,1.13977050036566,0,0,0,0.253826221410999
XRP,0.0203575514643153,0.114842512771493,0,0.231833986963637,0.18478730578,0.141473445226894,0,0.137753798982202,0.0476595905017008,-0.149410327185137,-0.362737145571155,0,0,0,0
LTC,0.604087662861852,-0.0364165872622624,0,0,0,0.0657301437361309,0,0,0.00841586502016515,0.0014128557819826,0,0,0,0,0
DASH,0,0.0238902164224248,-0.167304760966267,-0.330602302031554,0,0,0,0.217447774338093,0.0601157058423474,-0.0209492714066716,0.041801012597926,0.222302579907998,0,0,0.119438709172062
DOGE,0,0,0,0.43249223608301,-0.130310780458658,0,0.0928202738749015,0.221678471614608,-0.0851546878372975,0.0346373809592412,0.419633349459287,0,0,0,0.12723082649001
XEM,0,0.0387537293034855,0,0,0,0,0,0,0.0601997800840275,0.141890963417917,0,-0.265461865584955,0,0,0
XLM,0,-0.0022458690597809,0.434001953708342,0.528721685383152,-0.00292863909608703,0.22177329106158,0.0312486410596719,0,-0.152337429141355,0.118709167652029,-0.352477941411643,0.469962363002006,0,0,0
XMR,0,0.484179867975803,0,0.756815450599324,0.25304065557621,0.201264068483378,-0.0223032784896402,0.164865343334255,0,0,0,-0.278775252425908,0,0,-0.615635909386541
DGB,0,0.458660708743052,-1.43831249037574,-0.443224702888247,0.403173366162386,0.690795057976276,0.221580910561397,0.549697073639273,0.0920141819470048,0,-1.28582074723325,-1.20070023885925,0,-3.95987394180867,-0.278396918607504
BV010082.INDEX,0,0.0443716966977021,0,0.212776886932036,0.140729188483309,0.136649747886501,0,0,-0.0338073631639151,-0.091553870410588,0,0.216256534983747,0,0,-0.142284390877936
CVIX.INDEX,0,-0.00710436951000297,0,-0.268978049461164,0,0.0518869371411856,-0.0791212749019029,-0.0432917835796085,0.0334578003960305,-0.00972238116700046,0,0,0.268297175907042,0,0.196319350055445
DXY.INDEX,0,-0.00459268008023998,-0.0510417447912073,0.0561625812682003,0,0.0208474098966601,0.0496615739422221,0,0.0276895923989032,-0.0138796562521688,0,0.0457922134905647,0,0,0
SPX.INDEX,0,-0.0135991316087814,0.00977642013530147,-0.0418602828335337,0,0.0212431594605058,0.0135493771455052,0,-0.00168988281455224,-0.00565509206427121,0.0198632445904793,-0.00945183539369186,0,0,-0.0812535581928551
VIX.INDEX,0,0,0.142302903110946,0,0.262484969671832,0.156381531788275,0.00000000000000000693889390390723,-0.0931005303970453,-0.101465965883494,-0.0409125862213603,-0.00000000000000000173472347597681,0.0702799827848039,0,-3.96786324182293,0
