,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,TRX,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.171074689665996,0,0,0.08988441313527,0.124629818352798,0.0225227049453187,0,0,0,0.064491453210244,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0419437508879465,0.107073455566799,0.0940303773650909,0.317366976788455,-0.000000000000000000867361737988404,0,0.0763565072732892,0.0327527505374901,0,0,0.160323298083565,0,0.127293038381514,0,0.0464665487675153,0,0,-0.00807444111400718
XRP,0,0,0,0.0751963840132032,0.138140618516109,0.182093468460778,0.0181903744530176,0,0,0.00000000000000000010842021724855,0.153609108276967,0,0,0,0,0,0,0,0,0
LTC,0,0.139385134410219,0,0,0.0921394730775091,0.288032318032675,0.0627749728960733,0.0896210449458929,0.100463944353255,0,0.0426992102160675,0.484156967672662,0,0,-0.235952622015311,0,0,0,0,0.0341096082531131
EOS,0,0,0,0.147092079673364,0,0.394610148744878,0.20838670766815,0,0,0,0.246670333160084,0.0487826287037998,0,0,0.168062251164162,-0.0867025233703989,0,0,0,0
BCH,0,0.0598243350246923,0,-0.000000000000000000216840434497101,0.347823292703933,0,0.028732166554405,0,0,0.26320517959309,0,0,0.103890735589646,0,0,0,0,0,0,0
BNB,0,0,0,0.337857393908338,0,0,0,0.0169841022748664,0.42569148194584,-0.0704319877100829,0,0.0928545064107459,0,0,0,-0.14902672971266,0,0,0,0.0423035878246957
XLM,0,0,0.166331347350359,0.0391906648590622,0,0.0937947984346393,0,0,0.0110921624884037,0.0619049389687759,0.305409467564821,0,0.0554105204366108,0,0,0,0,0,0,0
TRX,0,0,0.139834761900865,-0.0914153057541664,0.177705458595034,0,0.0963154534621038,0.0260703304211151,0,0,0.178788565177841,0,0.255915850475137,-0.173145149585794,0.117099266600458,0.293149287469786,0,0,0,0.228229513539166
BSV,0,0.058576704618421,0,0,0,0.45212464216994,0,0,0.0157775152129735,0,0.140535020162571,0,0,0,0.0740621566889667,0,0,0,0,0
ADA,0,0.193983163908517,0,0.117553331685817,0.103856546537011,0.192975762919662,0.0651509797459581,0,0.0720401174014423,0,0,0,0.187396272559654,0,0,0,0,0,0,0
XMR,0,0.0506195119771821,0,0.221181369780104,0,0,0,0,0,0.0916490427969366,0.0106193549495496,0,0.149370819123456,0.304256995487004,0,0,0,0,0,0.0371459485638863
MIOTA,0,0.246066635771194,0,0,-0.00000000000000000693889390390723,0.21112668656795,-0.00000000000000000173472347597681,0,0,0,0.125053150395751,0.224029613575477,0,0.0914514034796379,0,0,0,0,0,-0.00657271846834196
DASH,0,0,0,0,0,-0.0000000000000000138777878078145,0,0,-0.0511082793247027,0,0.445225022695441,0.126403565566059,0.296152451602324,0,0,0,0,0,0,0
MKR,0,0.653130874834069,-0.441796382736789,0,0,0,0,0,0.0314055172785396,0.345836492864634,0,0.344347816115707,0,0,0,0,0,0,0,-0.0747739068804981
BV010082.INDEX,0,-0.270052304332303,0.13423393879704,0.0000000000000000000271050543121376,0,0,-0.0250104145159768,0,0.035798292657979,0,0,0.0140744168352311,0,0.146403765086316,0.0494722868592014,0,0,0,0,0
CVIX.INDEX,0,0,0.158631348097064,0.0478336284370342,0,0,0,0,-0.195203777243213,-0.0585404862929256,0,0,0,0,0,-0.0990775729281824,0,0,0,-0.11273782866577
DXY.INDEX,-0.0194301554107043,0,-0.00209760461964518,-0.00478091590922301,-0.000295439888670235,-0.00201991811834528,0.00677534869817943,0,-0.0331001575064842,0.0228920114216574,0,0.0314354479171173,0,0.0142471109176905,0.00197137883702231,0.0594831639652446,0.0352197026467669,0,-0.135748172757394,0.0048641899982744
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.01223436561622,0,0,0,0,0,0.0904730001104982,0,0,0,-0.0666621477247585
VIX.INDEX,0,0,0,-0.410914890362845,0,0,0.330898059797093,0,0,-0.178635695051159,0.330878902464037,0,0,0,0,-0.114358231558319,0,0,-2.8730870760019,0
