,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.132135944810244,0,0.291344744080466,0.242345795585472,0.155818791971795,0,0,0,0,0,0.0278178353203093,0,0,0,0,0
ETH,0,0,0.203765116138245,0,0,0.203357998902022,0.153017822324995,0.0437353695550962,0,0,0,0.0618251226085788,0.239550280863524,0,0,0,0,0
DASH,0.638396761478985,0,0,0,0,0.3548101224699,0,-0.0801285903718735,0.127374105726912,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,-0.0195386689667964,-0.13136926831945,0,0.011970971227243,0.493624356828719,0.0541946021310323,-0.0833726942408473,0.0707818559615843,0.27990979438889,0,0,0,0.130290168029787
LTC,0.459587469662016,0,0,0,0,0.0404878136724639,0.128898962485506,0.0161178305503614,0,0,0.137273270142394,0,0,0,0,0,0,0
XMR,0.591203527844828,0.705904601635975,0,-0.0265527924663091,0,0,0,-0.136518945808974,0,0,0,-0.12179239755283,-0.192859527736211,0,0,0,0,-0.0514139032631371
ETC,0.245609303654038,0.174286779579648,0.0221508885049783,0,0.313449882187795,0.0288167521321088,0,-0.103347126974627,0.0602487024321751,0,0.17599488718119,0.18623475304525,0,0,0,0,0,0
XEM,0,0.244966321402704,0,0,0.170523851746355,0,0,0,0.226862932189317,-0.335389580684376,0.0710372253790567,0,-0.12058657596156,0,0,0,0,0
ZEC,0.000364870515882848,0.154041931209362,0.202028282033106,0,0,0,0.174827308213606,-0.0835644007732567,0,0.269147126768216,0,0.0454059127134315,0,0,0,0,0,0
DOGE,0.253030818032939,0,0,0.10143623074448,0,0.0625733233841712,0,-0.0475073205941696,0.145008452350744,0,0.0977728815719929,-0.00929573079904297,0.0109271754610534,0,0,0,0,0
XLM,0,0.0205571755388561,-0.0500370199918768,0.141903130236566,0.186144506889788,0.25486401069234,0,0,-0.102902736615516,0,0,0.0597412798417508,0.110301070248754,-0.479996079422819,0,0,0,0
NEO,0,-0.372724489909584,0,-0.202027084187214,0,0,0.423832709438892,0,0.191750344419832,0,0.0235202138306108,0,0.258453661163947,0,0,0,0,0
DGB,1.03134880720066,-0.164473110324153,-0.234706125530208,0,-0.820297099837283,0.00000000000000000173472347597681,0.208164129590604,0,0,0.00615970039394081,0,0.469208896076113,0,0,0,0,0,-0.0847241202698798
BV010082.INDEX,-0.084609388713234,0,0.048375350099981,0,-0.013808925414498,0.0375840730077591,-0.0213360931332034,0,0,0.166031224914644,0.0466959789212084,-0.0406501817587018,0,0,0,0,0,0.000184052853389413
CVIX.INDEX,0,0.191697583955326,0,0.121026723018521,0,0,0,-0.109089427188819,-0.176641087542966,0,0,0,0,0,0,0,0,0.148058039335565
DXY.INDEX,0,0,0.0149560491842953,-0.00882730565602701,0.027249372835149,0.00180685513982989,0,-0.0125016170151839,-0.00529616425212521,0,0,-0.00992491225956561,-0.00679905357402074,0.102311472582806,0.0298256737808883,0,0,-0.0148776435926014
SPX.INDEX,0,0.0189806893336708,0,-0.00942902631879873,0,0,-0.0140491633054164,0,0,0,0.0134933396448093,0,0.00260026623728994,0,-0.0145848971003796,0,0,-0.02953304990396
VIX.INDEX,0,0,0.0213785636927895,0,0.264295340284981,0,-0.37392116349339,-0.161298010784941,0,0,0.159620322917883,0,-0.121046170992052,0,0.294182444546414,0,0,0
