,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.168261929620912,0,0.0327605643259426,0,0.0514374783932066,0.0412034507545047,0.25804204977578,0.0289977250409815,-0.0303479318973745,-0.146123969319936,0,0,0,0
LTC,0.475050377391785,0,0.0756340605398592,-0.0113555412863744,0.303502119924468,0.00465907908352508,0,0,-0.00403630505081181,0.00500026541148569,0.122916605632472,0.152103093414942,0,0,0.0678648138717106
XRP,1.44077248806218,-0.493927563821272,0,-0.104924552622806,1.07575565487929,-0.13317099041536,0.510897418192175,-0.798091390069995,0.0218093030806099,-0.146405496675894,0,0.258522514516728,0,0,-0.151789404479616
ETH,0,-1.74247001894507,-0.137189175171658,0,1.39511439689931,-0.180405338216925,0.295195568118119,0.497165506039976,-0.0507657746335693,-0.272576577802459,0.176942903112736,0,3.60822882463812,0.0416553337797563,0.0000000000000000138777878078145
DOGE,0,0.139566265168078,0.0939559024947824,0.0490708438137826,0,0,0.0223569123343311,0.279444193311137,0.0132341416194193,-0.00412524384685445,0,0,0,0,0.0268061306075211
DASH,0,0.482522163124044,-0.117008403024607,-0.0155212324665705,0.408888646212745,0,-0.21564237303761,-0.112911643832986,0.0205283444432124,0.0292348732394254,0,0,0,0,-0.0802918801796446
XLM,0,0.331137965950477,-0.231741545079788,0.0125198825084816,0,-0.0365769335508489,0,0,-0.041525241567992,0.0495389474202736,0,0,0,0,0
XMR,0.983902103950623,-0.107335360014526,-0.232134037714471,-0.0496106810631222,0.600878950002215,-0.271975833859589,0.0165567576298557,0,0.00509099596670656,-0.054788074614096,-0.0921848243640536,0,0,0,0
DGB,0,-0.600654074942296,0,0.104940275699272,0,0,1.07324883430645,0,0,0.390456101140081,0,0,0,0,-0.25509204073049
XEM,1.14268978255847,-1.89401304870298,-0.124338874431239,-0.166225304854003,3.08580644953632,-0.827713717720888,1.16116614959737,-1.00677319426886,0.12981950716449,0,0,1.03298990208171,1.22751437641532,1.87888436278045,-0.107048368004858
BV010082.INDEX,0,0.207231977145824,0,0,0,0,0,0,0,0.0792645908854488,0,0,0,0,0
CVIX.INDEX,0,0.212948411799222,-0.0379077861515274,0,0,0,-0.155534825377858,-0.198204317639359,0.0192236958552629,0.052226571102854,0.0398594333749356,0,0,0,0.0297038359829159
DXY.INDEX,0,0.0296417548146009,-0.0215681894135321,0.0155947011299252,-0.012290351659767,-0.000000000000000000433680868994202,-0.03884635642451,0.0396417160722201,-0.00399081000791692,0.0205410248925779,0.0369457246437895,0,0,0,-0.0204529279068749
SPX.INDEX,0,0,-0.0428740495546584,0,0.0214692775970237,0,0,0,0.013499967995262,0,0.0481125429906431,0,0,0,-0.147681038358163
VIX.INDEX,0,0,-0.222489349507928,0.152133165974631,0,-0.0896088250783796,0.39405863565868,0,0.0460802750535547,-0.141705800829532,0.457059372918314,-0.0415511824582454,0,-4.9530228058796,0
