,BTC,ETH,XRP,BCH,LTC,BSV,EOS,BNB,STO,XTZ,LEO,XLM,LINK,ADA,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0924148161489442,0,0.0510760995382655,0,0,0.193210327561713,0,0,0.0579192308989438,0,0,0.08649582023679,0.0461653755483517,0,0,0,0,0,0
ETH,0,0,0,0.210917442984868,0.109627668879898,0,0.150967744042167,0.00649876633066538,0.00463778718009041,0.148653683664318,0,0,0.0365783408049547,0,0.331866184964358,0,0,0,0,0
XRP,0,0.191832710261663,0,0.0887015309353208,0.149614831036456,0.00000000000000000173472347597681,0.0571869546074033,0,-0.00398242741454749,0.0812993718145064,0,0.0249190063003215,0.000000000000000000867361737988404,0,0.133398803694485,0,0,0,0,0.0130211624194432
BCH,0,0.250446612483392,0,0,0,0.243699692416188,0,0.143406546036884,0,0.054354733171227,0,0,0.0269675097029394,0.08994093205156,0.159932527834963,0,0,0,0,0
LTC,0,0.155198626908128,0.024144136582429,0.0984433282167801,0,0.0473180345805454,0.199927371698856,0,0,0,0,0,0,0.274889867744757,0.108454974743775,0,0.00649362327909144,0,0,0
BSV,0,0,0,0.642981533475879,0,0,0.587024580364316,0,0.0180834826922461,0.338112665887959,0,-0.8524791136258,0,0,0,0,0.135149934501265,0,0,-0.00870973733667347
EOS,0,0.0338453157893764,0,0.177055193223205,0,0.119711877948895,0,0.200691554084071,0.0256838297357757,0,0,0,0,0.263666326576899,0.149044409337448,0,0,0,0,0
BNB,0,0.164523390364673,0,0.214084022032,0,0,0,0,-0.0000000000000000000271050543121376,0.164018861110519,0,0,0.0678652594804234,0,0.169278283854104,0,0,0,0,0
STO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0.0877470714661474,0.0982709118748676,0,0,0,-0.0267041982054879,0,0,0,0,0,0,0.501429582251281,0,0.327200543463223,0,0,0,0,0
LEO,0,0,-0.108310804233018,0,-0.204357385961381,-0.0442814139659659,0,0.160696056764526,-0.00514898024809134,-0.0304403584340771,0,-0.138517588402559,0,0.404247577570901,0,-0.0548596054989461,-0.0215313971885705,0,0,-0.069682128453285
XLM,0,0.0453242003514914,0,0.286410625777408,0,0,0,0,-0.0000000000000000000135525271560688,0.0289923261970138,0,0,0,0,0.193640692476747,0,0,0,0,0
LINK,0,0,0,0.245479100270891,0,0.0237001449196995,0,0.14610657799457,-0.00493941949646069,0.258740892765574,0,0,0,0.0459064666303343,0,0,0,0,0,0
ADA,0,0.0780402446650885,0,0.0686482936232681,0.193446466432889,0,0.180991497481686,0.0627490859072948,0.00132606092629465,0,0,0,0.102359917691018,0,0.235773789422497,0,0,0,0,0
TRX,0,0.122937735044076,0,0.240423521939747,0,0,0.210431912004419,0,0,0.058386046093471,0,0,0,0.230662183936443,0,0,0,0,0,0
BV010082.INDEX,0,0.582343745028754,0.00000000000000000173472347597681,0,0,0.0420378120374446,-0.0972531526574705,-0.95635286828651,0.00756584275171132,0,0,0,0.0594814584917644,0,0.229094782564332,0,-0.0934000482494506,0,0,-0.130334401666359
CVIX.INDEX,0,-0.569809259766091,0.138517265294721,0,0.0933970463765834,0.0482057760584519,0,0,-0.0369807438526595,0,0,0,0,0.362742370961829,0,0.468800075686947,0,0,-1.2584818054667,0.180889253239387
DXY.INDEX,0,-0.01817610813568,0,0,0,0.00184582701848534,0,0,0.00243968181793668,0,0,0,-0.00992105605826009,0,0.018544304007653,0.0414147696451123,-0.0385109056542794,0,0,-0.00447236279926016
SPX.INDEX,0,0,0,-0.0150504266576424,0,0,0.0719656773619164,-0.00000000000000000173472347597681,-0.0032493073435777,-0.0212456341229973,0,0,0,0,0,0.0721145680035992,-0.126667047612443,0,0,-0.143694761230306
VIX.INDEX,0,0.231682233091331,-0.404857178264411,-0.526855738191619,0,0.113687264828514,0.396346372840835,0.0880822943460064,0.0319584757246547,0.0949949154911906,0,-0.170626129309435,0,0,0.0599766117679098,-0.0860212188509687,-0.0502333256883546,0,-3.32685959579094,0
