,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,MIOTA,BSV,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0643597095732567,0.0965826833591891,0.0384937518179892,0,-0.0563133358184881,0.0797568295227812,0,0.280149094686298,0,0,0,0,0,0,0,0,0
ETH,0.0164952313541618,0,0.328992048111707,0.00384797853950797,0.165730096203279,0,0.0740416997484591,0.125654716363338,0,-0.00000000000000000173472347597681,0.045284835408854,0,0,0.0573754107445227,0.00450432665306834,0,0,0,0,0
XRP,0.0585106773632273,0,0,0,0.0730975497058641,0,0.0226011241283544,0.133011248921383,0.0300219289519366,0.242177143788892,0.0949940925008562,0,0,0.0946448964921632,0.0557343393542385,0,0,0,0,0
BCH,0.569136951720847,0,-0.0418656187005481,0,0.0740845915595193,0.325841047054854,0,0,0.286393375901786,0,0,0,-0.179754274967413,0,0.00171921751166471,0,-0.0513741102872853,0,0,-0.0374323037851175
EOS,0,0.377729547881026,0.0699055690452267,0.239334315036259,0,0.0699337316271223,-0.0192242221322866,0,0,0,0,0,0,0.059567007468259,0.0649393277055942,0,0,0,0,0.0593439693555622
LTC,0,0,0.0368033907327821,0.209122295657467,0.183597503804998,0,0.0237206226463215,0,0.180281714245241,0,0.0517335032001716,0,0,0.155483444634029,0.0659054692998269,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0,0.0847511564181168,0,0.482338557155583,0.0259884372845486,0.0427579305708243,0.2263407195305,0.0433370161872656,0,0,0,0,-0.0567578898215867
XLM,0,0,0.307311321602395,0.109379996638745,0,0,0,0,0.0190144839633398,0.18376721523494,0,0,0,0.0638367528725932,0.00375079074590669,0,0,0,0,-0.0368208907228326
ADA,0,0,0,0.180057955089362,0,0.276544437808706,0.0391236170999463,0,0,0.142335136018939,0,0,0,0,0.00123329846089329,0,0,0,0,0
TRX,0,0,0.272086592157095,0,0,0,0,0.311122571508295,0,0,0.128229564581265,0.0366295205735441,0.0574952900124287,0.158864310015288,0.052496469724682,0,0,0,0,0.0560042089395674
XMR,0,0,0.127946382694357,0,0,0,0.208459993282378,0,0,0.290931352468937,0,0.110634551926252,0,0.0831538240131604,0.0489734768736588,0,0,0,0,0
DASH,0,0.132403123354391,0,0,0,0,0.119175469181701,0.0391593744059696,0.117150300152225,0,0.0398662493587669,0,0.12436964551541,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.151635009329054,0.144923243034998,0.0522442629985197,0.0340644142909744,0.210118378936584,0,0,0.0358255099690555,0,0,0,0,0,0
BSV,0,-0.154450540597959,0,-0.285524823090088,0,1.05939801226934,0,0,0,0,0.070518851069668,0,0.041527793283949,0,0,0,0,0,0,0
XTZ,0,0,0.1921382074951,-0.189112876388132,0.30232024828399,0,-0.135283213138067,1.06133990535684,0,-0.279110240166738,0,0,0,0,0,0,-0.333073294304571,0,0,0
BV010082.INDEX,0,0,0.0390452211690891,0,0,0.169460418269849,0.0635601101375297,0,-0.150578805231291,0,0,0,0,0.00951026104935551,-0.036240478409875,0,-0.0276664005303131,0,0,-0.0544134125486233
CVIX.INDEX,0,0,0,0,0,0,0,0.411745899532767,-0.132405666025467,0,-0.0655618151886802,0,0,0,-0.279910481924279,0,0,0,0,0.0991265249175357
DXY.INDEX,0,0.0249820879133075,0,0,0,-0.0190652009272001,0.00632542695462647,0,0.0219906332149233,0,0,0,-0.0153222242868046,0,-0.00899273253888816,0,0,0,0,0
SPX.INDEX,-0.018359029871161,0,0,0,0,0,0,0,-0.0269158661968663,0,0,0,0,0.0110668295220651,0.00474046999621017,0.0669513608490822,0.00449049493802589,0,0,-0.064918793039486
VIX.INDEX,-0.18756776207195,0,0,0,-0.223535605528654,0,-0.0324461683180093,-0.946582593865891,-0.137912231123449,0.950288972660944,-0.124521573998051,0,0,0.171084501267572,0.104065009725722,0,0.0753892181236419,0,-4.23332804010004,0
