,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.13068958005261,0,0.302798538721381,0,0,0.0149112042150719,0.127006595646198,0,0,0,0,0,0,0.0500016400312982
ETH,0.0682300332726866,0,0,0.0404377808501611,0,0,0.149334339313776,0.0119667258344849,0.0870972378367725,0,0.0867436962546594,0.137466119275758,0.0733220006909504,0.147971499764651,0.12313603033452,0,0,0,0,0
XRP,0,0,0,0,0.209432620173509,0,0.156621083734986,0,0,0.247754633130607,0.0240155416499883,0.137203184047362,0,0,0.0237704897105554,0,0,0,0,0.0488789066129164
BCH,0,0,0,0,0,0,0.382594016171697,0.123953400167257,0.113653440696198,0,0.261351510578555,0.0530704080139897,0.0480404450022977,0.000000000000000000867361737988404,0,0,0,0,0,0.010549211492981
EOS,0,0,0,0.150306707428696,0,0,0,0,0.312267360967125,0,0.310992762471573,0,0,0.250876924321004,0.0905649543304305,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.347932477878827,0.279253656626189,0.0306909899480267,0,0,0,0.205761707744045,0,0,0,0,0,0
LTC,0.106987334304698,0,0,0.464252620700457,0.039159981180792,0,0,0,0.0532091097560152,0.11837700611084,0,0.0387957425681614,0,0,0,0,0,0,0,0
ADA,0,0,0,0.321109727995568,0,0.318590712584912,0,0,0,0.136717257183824,0.0803542441491081,0,0.0339771190166223,0,0.0600372301839333,0,0,0,0,-0.0374909685194013
XMR,0.204226652383637,0,0,0.259072493342414,0,0.0308495197456945,0,0.162911279308425,0,0,0,0.150161026965047,0,0.150360993178714,0,0,0,0,0,0
MIOTA,0,0,0.0485804617338949,0,0,0.176915438376005,0.386953853994917,-0.24507312353546,0,0,0.105095675883026,-0.0602026909811895,0,0.727507700939167,0,0,-0.0671556184218283,0,0,0
TRX,0,0.0626369452791062,0,0,0.178068996424036,0,0,0.114850093949969,0,0,0,0,0.268630501070922,0.160012329344739,0.202828577493978,0,0,0,0,0
ETC,0.231066675868412,0.0537440243680357,0,0,0,0.080484863472987,0,0,0,0.348654908847936,0,0,0,0,0,0,0,0,0,0.035685805982985
DASH,0,0.0867923711730713,0,0,0,0,0,0.283134174953484,0,0,0.346374721616086,0.041813327773411,0,0.0198587233581709,0.0494716662024693,0,0,0,0,0
NEO,0,0,0,0.265975433050594,0.00967637159680263,0,0,0.158666628156178,0,0.362910115929193,0.217790794077325,0,0,0,0.0939790042797443,0,0,0,0,0.0305063860887474
BNB,0,0.515433579424883,0,0,0,-0.0682798895624686,0,0.114232865688563,0,0.213544622761994,0,0,0,0,0,0,0,0,0,-0.123110830640016
BV010082.INDEX,0,0,0.0415338463373117,0,0,-0.0155253006241049,-0.158622186889377,0.105242403267271,0.0624912227310264,0,0,0.0356376973342482,0.0128728697520502,-0.0309633800089802,0,0,-0.0723763223401538,0,0,-0.0361937680913247
CVIX.INDEX,-0.155579260949821,0,0,0,0.0737527764404589,0,0,0,0,0,-0.0615537211742952,0.110916228921781,0.0589033298506349,0.0425855207419326,0.148324396366869,-0.320697282814422,0,0.709574644944076,0,0.141716987233628
DXY.INDEX,0,-0.0286366422693846,0,-0.0543938408469751,0,0.00173495936181728,0,0,0.0478278672889683,-0.00954276070878298,0,0.0297626296015134,-0.0121033996674963,0.0178001870524306,0.0062082445423853,0,0.141965284728482,0,0,-0.00486886907871622
SPX.INDEX,0,0,0,0,0,0,0,0.00338437095774908,0,-0.0144234265554017,0,0,0,0,0,0,0,0,0,-0.062377425582935
VIX.INDEX,0.935459857296231,0,0,0,0,-0.131814749782311,0,0,-0.377987520689189,0,0,-0.147353929514496,-0.234647148266683,0.0492902419187127,0,0,0.360574175089818,0,-1.08261250397154,0
