,BTC,ETH,XRP,EOS,LTC,BCH,TRX,XLM,BNB,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0471353374730666,0.0248137343566543,0.090950049402862,0.0236859560642129,0,0,0.0532152204547093,0,0,0.187740088407878,-0.0231515124995747,0.182776051710875,0,0,0,0,0,-0.0170150141017183
ETH,0,0,0.133121631942882,0.281107875010717,0,0.145323649721903,0.0284629145112807,0,0.144779592371824,0.0979433673290473,0,0,0,0.0866484799926617,0.0331627414722273,0,0,0,0,0
XRP,0,0.157644998885911,0,0.250605339899601,0.0339581518868691,0.0452158363604688,0,0.0994089424186117,0,0,0,0,0,0.0420901650124728,0,0,0,0,0,0
EOS,0,0,0,0,0.168684338365883,0,0,0,0.234023569322716,0.0181744839560997,0.360436856893401,0.159818862358548,0.0475401926895998,0,0.073454455293907,0,0,0,0,0
LTC,0,0.344490672174176,0,0.285749979200447,0,0.0308572234449226,0,0,0,0,0,0.124410390377934,0.0802654624474823,0,-0.186797845390647,0,0,0,0,0
BCH,0,0,0,0.163653035228274,0.170075388253114,0,0.169970282005306,0,0,0.582928645286122,0,0.17014787820067,0.0627590761935748,0,-0.120551158790085,0,0,0,0,0
TRX,0,-0.0336358738820815,0,0,-0.118880484121302,0.0923058640347738,0,0,0.0492250044823424,0,0.7476939268304,0,0,0,0,0,0,0,0,0.157167502694321
XLM,0,0.224872213957175,0.235228565869443,0,0,0.00714191521403446,0.022432931515791,0,0.0935236588461581,0.176547380379832,0.123507606620879,0,0.0295146506741987,0,0,0,0,0,0,0
BNB,0,0,0,0.03219188535475,0.26262667614981,-0.0201198364417019,0,0.17628726856884,0,0,0.418449725720541,0,-0.0638856156291416,0,0.0476709122509884,0,0,0,0,0
BSV,0,-0.021684356983113,-0.182261389093423,0,0,0.308702463731236,0.0831605221998702,0.390717217200822,0.0404131364421745,0,0,0.196427028089383,0,0,-0.0669392249477216,0,0,0,0,0
ADA,0,0.453570942354979,0,0.117612965494213,0.101313080060601,0.0632446868762177,0.058529386146723,0,0.0392230583346541,0.0533886119332678,0,0.00897112193407502,0,0.0450596123408635,0,0,0,0,0,0
XMR,0,0.0813088392289309,0,0.294654520412798,0.151790886442264,0.0894650184584889,0,0,0,0,0.0448205772051184,0,0,0.0670041946370918,0.00769670437971285,0,0,0,0,0
MIOTA,0,0.140054930625145,0,0.443847141342751,0,0.0804699398501695,0,0,0,0,0,0.126114210121603,0,0.0590295937222132,0,0,0,0,0,0
DASH,0,0.231611451741044,0,0.0446274559677186,0.116027796184996,0.0210647423555425,-0.0152837124735141,0.129421428685667,0,0.105900700943639,0,0.186266399673282,0.0578071152226845,0,0,0,0,0,0,0
MKR,0,0.41013471327575,-0.27842203243176,0.393837606274801,0.028975519748927,-0.0846361201428709,0,0.179314878659615,0,0,0,0.270521195777449,0,-0.192569871536355,0,0,0.238177790303992,0,0,0
BV010082.INDEX,0,-0.20157388551283,0.163278330695993,0.0124570605516446,0,-0.0389083339489702,0,0,-0.121234189530282,0,0,0,-0.0032706402951035,0.173361321401637,0.0827837916826257,0,0,0,0,-0.0685154662199903
CVIX.INDEX,0,0.248850942504856,0,-0.225342833596933,0,0,-0.264006151368703,0,0,0.0973254719183527,0,0,0.1123464337616,-0.0179643048294899,0.0403724910363627,0,0,0,0,-0.00207203223077479
DXY.INDEX,0,0,0,0,0,-0.0126901233497312,-0.0355061674396197,0,-0.000989353240202125,0,0.0292377918511135,0,0,0.0252972902965753,0,0.072116569078654,0,0,0,0.0180785413427316
SPX.INDEX,0,-0.0219724161602731,0.0725572930280846,0,0,0,0,0,0.00755732485592328,-0.0104588002689973,0,0.0152998473499341,0,-0.0406823451983417,0,0.111312869756286,-0.0469004836427689,0,0,-0.12517671541196
VIX.INDEX,0,0,0,0.200679328747665,-0.330249392620409,0,0,0,0.431731558841281,-0.0704903257117571,0,0.150436533130859,0,0,0,-0.107467087890077,-0.172577550513789,0,-2.50663628431752,0
