,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.488955147937351,0,0.399369286021178,0.0483673277512873,0.0835064916527804,0,0,0,0,0,0,-0.0436503140260468
XRP,0,0,0,0.20499996535292,0,0,-0.0375910635866784,0,0.117046361737366,0,0,0,0,0
LTC,0.711827432204006,-0.0901979888091861,0,-0.122460403016168,0,0.157178908028876,0.0582117536041505,0.19142222929338,0.0678622441480675,0,0,0,0,0
DASH,1.9092458607092,0.00865513894451739,-1.73796291352801,0,0.0882414464419227,0.259743268832367,-0.227899338882622,0.789096219831689,0.100011760017843,0,0.0946944188655551,0,0,0
DOGE,0.456919662456916,0,0.0599198559234925,0.0360230786845092,0,0,0.00000000000000000173472347597681,0,0.0119241244227382,0,0,0,0,0.0543086250858885
XLM,0.277215990300061,0.796556492953806,0.718108580918918,0.102400811200288,0,0,-0.229868328274525,-0.260603813928054,-0.0822155547512368,0,0,0,0,0
XMR,1.05053041528961,0,0,-0.0411177818009166,0,0,0,-0.0461014357725423,-0.000000000000000000867361737988404,0,-0.334876431794645,0,0,-0.158026149431674
XEM,0,0,0,0,-0.0134191744669703,0,0,0,0,0,-0.0203016862348663,0,0,-0.00805944321142809
DGB,-1.97111724787564,-0.0705932656650647,2.46728522563362,-0.249605749989691,1.20081674313086,0.24211806952771,0.234625971897699,0.881436854124969,0,3.11655285869697,0.324271577263227,-6.75000955222512,0,-0.0185548764334771
BV010082.INDEX,0.315313061450059,0,-0.123722804643401,-0.0299072798586334,-0.162962254954884,-0.0551085983329922,-0.0713342855484765,-0.0109029753972524,-0.0105226187548622,0,0,0.545460918889046,0.656898266065997,0.0898778815724034
CVIX.INDEX,0.842600568023538,0,-0.484273101261083,0,-0.962904764998159,-0.0653390507290906,0.0223440342533208,0.0576381202879479,0.0578074872467705,-0.202489595970776,0,1.19838271411898,0,0.110369466456549
DXY.INDEX,0,-0.0124860680070251,-0.0233751270306401,-0.024065228637033,0.0857925470044239,0,0.0149421409154173,0.0323010202252554,0.00556170968272134,0,0.0738789498416528,0,0,0.0178225039871592
SPX.INDEX,0,0,0,-0.00889743647455283,-0.0145662235087407,0,0.00185057773370504,-0.00347628140702482,0.00671220232335957,0,0,0,0,-0.129073979742856
VIX.INDEX,0,-0.168450019639895,0,-0.152335364684267,0,0,0,0,0,0,0.382798679970681,0,-3.68967048411398,0
