,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.183704294369546,0.0734250729044151,0.000899895854399689,0.000000000000000000433680868994202,0,0.0442875732325825,0.0997284953543508,0,0,0.146870356167181,0.0177549442557304,0.102762585815116,0,0,0,0,0
ETH,0,0,0.148396611098296,0.148588451589233,0.179735900504304,0,0.0258931254150284,0,0,0,0.104844629480817,0.0515814628342289,0,0.0787727582170081,0.0247228060679206,0,0,0,0,0
XRP,0,0,0,0.137153387122841,0.0446348867380339,0,0,0.186305271639091,0,0,0,0.0497334920747719,0,0.045033380603157,0.0802040327181848,0,0,0,0,0
BCH,0.136080922345144,0.509289789318278,0,0,0.00908127182099809,0,0,0.0470035271648355,0,0,0,0,0.0573851099596582,0,0.0804707460610664,0,0,0,0,-0.0436071480823996
LTC,0,0.215288046249919,0.0245525352579885,0.18695229487819,0,0,0,0.175754424219058,0.0601939189799024,0.15877230258152,0,0,0.0199617761982328,0,0,0,0,0,0,0
EOS,0,0.391152881969934,0.179673035183937,0,0.126247485391026,0,0,0,0.157015757081727,0,0,0,0,0,0.126033588978551,0,0,0,0,0
ADA,0,0.117953554381291,0.0978172320322986,0,0,0.245831549874196,0,0.542748632099501,0.0283780944811767,0,0.0598094089116659,-0.0420627650773028,0,0,0,0,0,0,0,-0.0209953971211771
XLM,0,0,0,0.10396209934124,0,0,0.209860028370541,0,0.162952769719499,0.214911556448875,0.0122083715538193,0.0557065268891494,0,0.134270944425371,0.0676827218640338,0,0,0,0,-0.000649208124191802
NEO,0,0,0,0,0.111162298653317,0.111537610495382,0,0.313495973449351,0,0.0642919794038566,0.0797815547089654,0.00000000000000000693889390390723,0,0.0268472267410686,0.0636540193817725,0,0,0,0,0
MIOTA,0.0907519743676276,0,0.0922408239594934,0,0,0.0469277132671723,0,0,0.340737836177295,0,0.0220395723975569,0.0985957901798129,0.10982329883126,0.0613339998152024,0.0216575384610516,0,0,0,0,0
XMR,0.549368993996761,0,0,0,0.198236242257519,0,0,0.173323331226937,0.0478554729906081,0.0784445008735944,0,0,0,-0.0679035274558564,0.00399714723156312,0,0,0,0,0.0610550551521818
TRX,0,0,0,0.0177863868861897,0,0.375959738128586,0,0,0,0.573850113196715,0,0,0,0,0,0,0,0,0,0
DASH,0.31185919377251,0,0,0.0694482582434965,0.0475137347851589,0,0.0769262726377101,0,0.106992369346642,0.0517629865041348,0,0.101049819364716,0,0.0559751912644831,0,0,0,0,0,0.0280998515579205
XEM,0,0.220433893149327,0,-0.0820481584360267,0,-0.138398467793514,0.354177526930281,0,0.400415003394623,0,0,0.197892200967062,0,0,0,0,0,0,0,-0.0204687675616637
BNB,0,0,0,0.192339619910439,0,-0.026897145904343,0,0.10530873373945,0,0.068636340853774,0.0667144731146099,0.191659717745903,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00138570993297906,0.0239719820636883,-0.00828722517118586,0,0,0.000000000000000000867361737988404,0,-0.0406232643805667,0.0903788892734365,0,0.0236642284832662,0,0.0949020105632973,0,0,-0.05721146989956
CVIX.INDEX,0,0,0.0818892011234034,-0.0548492700485384,-0.0220775219608121,-0.0358819675586371,0,0,0,0.0613993391804644,0,0.0376941782072875,0,-0.0117346319475788,-0.198702019085921,0,0,0,0,0.0206747822143809
DXY.INDEX,0,0,0.0166759575498804,-0.00443076248816518,-0.0156118417220293,0.0132406038796572,0,-0.00992431958600403,0,0,-0.0101826677367681,-0.0136141192040562,0.0258496091174177,0,0,0,0,0,0,0.0108555162290222
SPX.INDEX,0,0,-0.0228355219526606,0,0,0,-0.0275658174360141,-0.00493476460528991,0.0415662595922751,0,0,-0.0328234502257733,0,0.00211499326537112,0,0,0,0,0,-0.0861121468910513
VIX.INDEX,-0.322504847450546,0,-0.0440370048757237,0,0,0.183814834390937,-0.0277423266645897,0,0.226433378346595,-0.264118392299748,-0.0000000000000000138777878078145,0.16723425689352,0,0.131908197489958,-0.0723905228857845,-0.969688785095298,0,0,-4.9305399009574,0
