,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XEM,XMR,DASH,MIOTA,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.209940727316728,0.0889649242155183,0,0.110874762948577,0,0.0756417438640686,0.0263487895335255,0.043935163651592,0,0.0248654630253406,0.01463624500988,0.0391683027259647,0,0,0,0,0
ETH,0,0,0,0.00647304694689865,0.0877680969942967,0.141826738176025,0.0525129365271573,0,0,0,0.0421371686915689,0.307075543061722,0,0.000000000000000000867361737988404,0.141655999891987,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.258426870183257,-0.0541969147456796,0.168082766117665,0.0656534523773143,0.0883246237207488,0.0830916026733124,0.258695059182831,0.137291354502452,0,0,0,0,-0.0146466977282802
BCH,0,0,0,0,0,0,0.16792042655859,0,0,0.0207085719499386,0.216290550140577,0,0.211736863264732,0.0422648854375314,0.198244973055163,0,0,0,0,0
LTC,0,0,0.0660177539255541,0.159592976449653,0,0.0203481932818052,0,0,0.135766692892633,0,0,0,0.0192994645774139,0.045140267372819,0.193897529157112,0,0,0,0,0
ADA,0,0,0,0.0380904999708665,0,0,0.0614013706217331,0,0.0564409225986033,0,0.186095360511886,0,0,0.180710462694804,0.135014419748235,0,0,0,0,0
NEO,0,0,0.0134984702718202,0.102033760686439,0,0.168304341611434,0,0,0,0,0.0516575088589026,0,0.0887740516111812,0,0.290730150046983,0,0,0,0,0
XLM,0,0,0.40898164122928,0.0104049710416051,0,0,0.0501099649817505,0,0.0967177019222549,0,0,0,0,0.120750300031022,0.124043843839324,0,0,0,0,0
EOS,0.0864172108540635,0,0,0,0,0,0,0.22484557839333,0,0.116265136413882,0.14082357523741,0,0,0.0103565027345485,0.357791217843252,0,0,0,0,0
XEM,0,0,0,0,0.229463913828348,0.22664829292891,0.137194402628822,0.218572153513292,0.0357635206522638,0,0,0,0.0000000000000000138777878078145,0.104203416930491,0,0,0,0,0,0.0134084230295785
XMR,0,0,0,0.0461443423026429,0.29199469318692,0.112247691379656,0.248462622991284,0.0099004099215633,0.0691862349022487,0,0,0,0.122988364380971,0,0,0,0,0,0,0.0537967031156663
DASH,0,0,0,0.105911415931412,0,0.0688530640764249,0,0,0.0499898209132833,0.0744758903201602,0,0,0.0901270775852276,0.15657612377833,0.0711093867102875,0,0,0,0,0
MIOTA,0,0,0.144058852068842,0.274333999405411,0.0831755539594736,0,0.00479991672094286,0,0.0332438459282016,0.132787381225074,0.176645622209543,0,0,0,0,0,0,0,0,0
TRX,0,0,0.0378706033286052,0.310768752153873,0,0,-0.0567382910417895,0.0337134821796713,0,0.316216973546836,0.0425692457149049,0.15577112288309,0.0598897845707093,0,0,0,0,0,0,0
ETC,0,0,0.158791251859037,0.241805091071815,0,0,0.217058210073066,0,0,0.181123365141813,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0298843454338393,0,0.0236679185277563,0,-0.00536251518937125,-0.012271271996039,0,0.0188934596848426,0.0195172607877659,0,0,0.0518430443950039,-0.0666792225081029,0.0133421926451571,0,0,0,0,-0.0367035971934599
CVIX.INDEX,0,0,0,-0.00920910470832016,0.0200761535646959,0.115880541594992,0,0,0,0,0,0,0,-0.047015025300557,-0.077005669551051,0,0,0,0,0.063452519655463
DXY.INDEX,0.0136505550180375,0.0162284422488951,0.016472035441772,0,0,0.0277224145987522,-0.00867965625801722,-0.0102594412549479,-0.0366299510188817,0.000108058909174651,-0.011303794071392,0,0,-0.0129805150876857,0,0,0,0,0,0.00985439869006917
SPX.INDEX,0,0,0,0,0,0,0,-0.00123087742386826,-0.00555001413642018,0.0262864395852529,0.0143939785243391,0,0,-0.0388329957293592,-0.00814830364042446,0,0,0,0,-0.0592262214022093
VIX.INDEX,-0.541109880564728,-0.346814453575266,-0.315215670346261,0,0,0,0.346904085265546,0.113328113785212,0.169869604098274,0.154753930636809,0.149688979502585,0,-0.310284086855406,0.408395638161589,0.00000000000000000346944695195361,-1.13140509994314,0,0,-4.02795809851285,0
