,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.17993816031638,0,-0.0397807653677758,0.163562074640745,0.245853909059554,0.14503208767877,0.202638254274559,-0.173401308215986,-0.00000000000000000693889390390723,0.216149704878491,-0.297752722400644,0.0857526359603631,0,0,0,0,0
ETH,0,0,0,-0.0580058902161504,0.0220278271014346,0.187990887520902,0,0.792738884572851,0,0,0.145866189272962,0,0,0,0,0,0,0
XRP,0,0.0612955494870576,0,-0.0802401643714619,-0.223085051170595,0,-0.0254988965138079,0,0,0,1.00570802802076,0,-0.382498498386753,0,0,0,0,0
LTC,0,0,-0.0186751677272016,0,0.0595534761234424,0.0449530893884407,0,0,0,0.397619908826513,0.0467489083369646,0,0.125751896540506,0.756458629762862,0,0,0,-0.0505340305683351
DASH,-0.142246005025984,0,-0.0314684910602391,0,0,0.130958049584176,0.0880777936918117,0,0.092305695064818,0,-0.148258004093,0,0.0598648777313016,0,0.48273648601959,0,0,-0.0735204400108091
ETC,0,0.238356327800741,-0.0269895312904569,0.243885939169078,0.0790847819612142,0,0,0,0.0692051253768653,0.0477539250116234,0,-0.103964814759391,0.0867398614627861,-0.39771518043454,0,0,0,0.0205007294584556
XEM,0,0.133123173011023,0,0,0.0292299611000581,0,0,0.0914853842790587,0.0636034535118285,0,0,0,0.367502748937766,0,0,0,0,-0.53251348911707
XMR,0.292038626625455,0.281324295447492,0.0254002385748744,-0.0931714054017518,0,-0.142015635023115,0.0635295846812201,0,0.094546784997153,-0.0889728705634516,-0.0141418829877315,0,0,0,0,0,0,0
ZEC,-0.102656695068241,0,0,-0.0888946691585931,0.211526773490346,0,-0.0771066644997171,0.149613728193583,0,0.24496810150413,0,0,-0.0104719991419998,0,0.134834731261248,0,0,-0.0999335651994746
DOGE,0,0.109400798796274,0,0.264819664881023,0.0858380854296978,-0.0988760302340637,-0.122377541640285,0,0.205034160798568,0,0.268234702418423,0.0863520918151733,0.0610861359254056,0,0,0,0,0.23924937420094
XLM,0.408072639494233,0.0664540912629756,0.329968377932329,0.192333614781999,-0.00041289049509203,0.013758648854938,0,0,0,0.388266515101184,0,0,0.0736789188786179,0,0,0,0,-0.125929859459338
NEO,0,-0.165440363476282,-0.0257675111077506,0,0.19655770430684,0,0,-0.0556907166782483,0.277601013998203,0.0796639101999131,0.077946991547924,0,0,0,0,0,0,0.0760754475514522
DGB,0.220913926952094,0.0583817565228342,-0.0377635921542841,0,0,0,0.0388964471100967,0,0,0,0,0.163836087628174,0,0,0,0,0,-0.00580574598276909
BV010082.INDEX,0.189218955537775,0,0.00171793558265688,0,0.0478492202400181,-0.116290633516215,0.0000814979133194748,-0.110266398246538,0,0.0122812308081296,0,-0.0318828038317758,0.0180891152866856,0,0,0,0,-0.0628945384284087
CVIX.INDEX,0,-0.0359835823282002,0,0.045112611511423,0,0,-0.152189915104927,0,0.189062664488865,0.0502825439237308,0,0,0.0401247344667364,0,0,0,0,0.274592131290813
DXY.INDEX,0.0218092849480133,0.00444193100061002,0,0,-0.00475809319905732,0,-0.00654573731248682,0,0,0,0.00368967617608824,0,-0.00311985736604613,0.0822718380075706,0,0,0,0.0279558329656935
SPX.INDEX,0.011969148837495,0.0126448868288692,0,0.00162703742838018,-0.00518788503379863,-0.00465000951732333,-0.00290457659346517,0,-0.00779216425031398,0,0.00133641463240056,-0.00120103661919275,0,0,0,0,0,-0.0405030435130997
VIX.INDEX,0,0,-0.00000000000000000346944695195361,-0.0959800563706409,0.0464703172991069,-0.0683354393310605,-0.294457142998676,-0.0921417994440035,0,0,0,0,0.0630662540564347,-0.251107065112781,0,0,0,0
