,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00474730311509846,0,0,0.0788513882757396,0.0140147290825609,0.131159511010145,0,0.209306144846294,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0601493393806725,0.131671031463627,0,0.153118301853141,0,0.204247813275272,0,0.0353863208937423,0,0,0.143355896161666,0,0,0,0,0,0
XRP,-0.208851237933482,0,0,0.105136811792122,0.146157958684359,-0.0653901499545516,-0.0955912066708957,0.0863468887484464,0.207683362926704,0.0998468393363252,-0.0319217794191983,0,0,0.196885483944326,0.0529160783364213,0,0,0,0,0
BCH,0,0,0,0,0.326487265437048,0,0.0966237467363614,-0.0306774871425294,0.335494878979425,-0.248743095625616,0,0,0.380127651205642,0,0,0,0,0,0,-0.00895114185471164
LTC,0,0.170515895828009,0.0479178961329563,0,0,0,0,0,0,0,0.732456574882973,0,0,0,0,0,0,0,0,0.0195234430567926
DASH,0,0,0,0.0937104620872363,0,0,0.19078587185223,0.0244670384024707,0.236134949801886,0.0316993567315042,0,0,0,0.121300395492338,0,0,0,0,0,0
XEM,0.0763090867945491,0.201701652132214,0,0.0724779677977664,0.174070568013542,0.281393423109295,0,0.132825642931092,0,0,0,0,0,0.0871079711877704,0,0,0,0,0,0.116637597600155
NEO,0,0,0,0,0.0581868696385543,0,0.231403606222774,0,0.227020135935708,0.0172564125259393,0,0,0,0.295106349562967,0.0704662754678285,0,0,0,0,-0.340624058195382
MIOTA,0.0742583224367609,0.00671470100212195,0,-0.0973712585692326,0,0,0,0,0,0.0747338610680869,0.0159707994677362,0,0.356513215587066,0,0.34414556882269,0,0,0,0,0
XMR,0,0,0.216213650680633,0.0782443355396967,0.0268556026815551,0,0.0598037307162755,0.0586565274358513,0,0,0.0820320107839001,0,0.154207096673366,0.104968739735732,0.0184268491429862,0,0,0,0,0
ETC,0,0,0,0,0.603435655205049,0,0,-0.00000000000000000346944695195361,0.099702908774841,0.0659060281363485,0,0,0.0093309396862255,0.119141190079168,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.0948580400128019,0,0,0,0.0779429307707071,0.0494153476683254,-0.0102770294704938,0.192818179016175,0,0,0,0,0.177908992879745,0.0274092408241966,0,0,0,0,0
XLM,0,0,0,0,0,0,0.342363955006463,0.0396296127591862,0,0.199747114050551,0.14622542126795,0,0,0,0.0110329165343725,0,0,0,0,0
EOS,0,0.378529596131456,0,0,0.178160396704174,0,0,0.179485841354098,0.033789554178508,0,0,0,0.236773208431077,0.142496228872268,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00735164949863321,-0.0187032438050262,0,-0.0376470380139613,0.0225937109438492,-0.0193382129356913,-0.0314607675402443,0,0,0,0.0127228583183611,0.00365213781378854,0.0565476459898522,0,0,0,0,-0.0583163749899111
CVIX.INDEX,0.0831830695006405,0,0,-0.00694313254685639,0,0,0.00680155970133184,0,0,0.0360495312248646,0,0,-0.037874232396866,0,-0.0623519434179912,0,0,0,0,0.0776290708457138
DXY.INDEX,-0.00463922674958012,0,0,0.0007865260349672,0,-0.0273845048637635,0,0.00440862109271465,0.00419669349241207,0.00120699203326549,0,0,0,0.00517262151986548,0.0165625604123593,0.0241269263170282,0,0,0,-0.00537901914973067
SPX.INDEX,0.00391577073634494,0,0.000575445275561579,-0.00699658227165352,0,-0.00819274873559163,0,0.000908912094248534,0.00139037684571869,-0.00806823879135635,0.00234414849332738,0,-0.00277313487954166,0.0103070814147338,0,0,0,0,0,-0.041655578316036
VIX.INDEX,0,0.257842876231005,-0.00506853955941154,0,0,-0.43679515261788,0.0998170842529614,0,0,0,-0.0726955175628266,0,0.363727886432208,0,-0.264955786507768,0,0.607841172363446,0,0,0
