,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LEO,XTZ,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0304457142501477,0.030737643964729,0.205606471241318,0,0.134825798419428,0.0370020564123149,0,0,0,0.167917497012453,0,0.0433794900012765,0,0,0,0,0,0
ETH,0,0,0,0.115172313814868,-0.000000000000000000433680868994202,0.381386364577,0.255590476721762,0,0.0714338247725316,0.0000651466032208902,0,0,0,0,0.00738031129871796,0,0,0,0,0
XRP,0,0,0,0.273256721068728,0,0,0.0931367223115504,0.0305996408844081,0,0.038862221376926,0.138349065818012,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.145863649420574,0.19545790287208,0.170374397385826,0,0.255809755032059,0,0.0528517414434183,0,0,0.0218126271186425,0,0,0,0,0
LTC,0.25220897422688,0.0571409668764662,0.0356382844961336,0,0,0.443499495496082,0,0.0794652133801685,0,0,0.0663522438206797,0,0,0.0131091836223918,0,0,0,0,0,0
EOS,0.101938408950175,0.281604462892832,0,0,0.172994973115722,0,0,0,0,0.220743131575944,0.214668972978728,0.0143319134488105,0,0,0.0396518456075385,0,0,0,0,0
BNB,0,0.489982515520354,0.0664445376790239,0.0737272055726366,0.0493699057328751,0,0,0.0328375503429421,0,0.116900514038707,0,0.0599404810473579,0,0.0535658050858681,0,0,0,0,0,0
BSV,0,0,0,0.35973389891096,0,0,0.0584361689388525,0,0.245687911934778,0.0611814312398085,0.127408345720935,0,0,0.0806445862588131,0,0,0,0,0,0
XLM,0,0,0,0,0,0.218276948960123,0,0.203585603977134,0,0.0186670838774082,0.0185910462774867,0,0,-0.0677698008774402,0,0,0,0,0,0
TRX,0,0,0,0.11437692644389,0,0.500408964546218,0,0,-0.00000000000000000173472347597681,0,0.112252129604204,0.123707469196949,0,-0.0281887881569064,0,0,0,0,0,0
ADA,0,0.00570797823514226,0,0.0251771628062098,0,0.487356845522552,0.203581650338861,0.000000000000000000867361737988404,0.0436129642996371,0,0,0,0,0.0396675981231625,0.0856362332700708,0,0,0,0,0
XMR,-0.113203655710482,0,0,0.105756548882499,0,0.196297775717848,0.285751486454674,0,0.0198778339394801,0.0708779373588132,-0.0274874694414202,0,0,0.0961795807195652,0.0315530463913858,0,0,0,0,0
LEO,0.206136812195101,0,0,-0.0817216968803437,0.253386873165371,0,0,-0.019687990638441,-0.0887123598179599,0,0,-0.0332102594324643,0,0.135795308638448,-0.276950849565057,-0.0358325446823376,0,0,0,0.0260577219062431
XTZ,0.2682637294186,0,0.493924038622539,0,0,0,0,0.130843996284388,0,0,0.0395598176285181,0,0.238939144163816,0,0,0,0,0,0,0.0248112997711393
LINK,-0.185062207244701,0.473354218330765,0.336900744158164,0.122625500471515,0,0.226527133207435,-0.229201060183838,0,0,-0.1024327910296,0,0,-0.122403871769202,0,0,-0.426018213287966,-0.144620597482445,0,0,0
BV010082.INDEX,0,0.417269686785122,0,0,-0.0166081520811082,-0.241360057574753,0,0.16725588100157,-0.167650494680798,0,0,-0.0810693163902525,-0.526426478569574,0.00619181910065144,-0.10331196597885,0,0,0,0,-0.192461722117021
CVIX.INDEX,0,0,0.067171448788427,0.0941083555138817,0,0,-0.17015692639185,0,0.051472696858305,-0.0553245216164307,0,0.147538914609235,0.0771368635464748,0.0252403180024525,0.151733912116332,-0.2105382234202,0,0,0,0.0311567513559097
DXY.INDEX,0.000000000000000000433680868994202,0.0817103271215404,-0.0115188547052593,0.0124673385138601,0,-0.035937925652817,-0.0258203820400229,0,0.017230848731236,-0.0237629815477168,0,0.0163891752662836,-0.0033150302695515,0.013136673127945,0.00351629574677958,0.0317513870401537,-0.00690418731906032,0,0,0.00539415807034443
SPX.INDEX,0,0,0,0,0,0.0278781926377184,-0.0350931862138266,-0.0059805763852281,0,0,0.0275071328398513,0,0,-0.00661869318364145,0,0.0328430448006012,0,0,0,-0.0807510142276637
VIX.INDEX,0,0,0,0,0,0,-0.100320935903327,-0.106035504686977,0,0.193755817033756,0,0,-0.566624117211715,0.0588544195024343,0.0688731704544562,-0.0354012895826127,0,0,-4.12006849196251,0
